3370.1.1 = { liege = d_solitude_league }
3370.1.1 = { holder = 17950 }
3421.1.1 = { holder = 17951 }
3426.1.1 = { holder = 17953 }
3469.1.1 = { holder = 17954 }
3518.1.1 = { holder = 17955 }
3526.1.1 = { holder = 17956 }
3561.1.1 = { holder = 17957 }
3617.1.1 = { holder = 17958 }
3624.1.1 = { holder = 17959 }
3663.1.1 = { holder = 17964 }
3699.1.1 = { holder = 17965 }
3739.1.1 = { holder = 17966 }
3775.1.1 = { holder = 17967 }
3789.1.1 = { holder = 17968 }
3812.1.1 = { holder = 17969 }
3849.1.1 = { holder = 17973 }
3888.1.1 = { holder = 17974 }
3891.1.1 = { holder = 17975 }
3930.1.1 = { holder = 17976 }
3970.1.1 = { holder = 17977 }
