3337.1.1 = { liege = d_burising }
3337.1.1 = { holder = 127525 }
3368.1.1 = { holder = 127526 }
3406.1.1 = { holder = 127528 }
3448.1.1 = { holder = 127529 }
3498.1.1 = { holder = 127531 }
3517.1.1 = { holder = 127533 }
3552.1.1 = { holder = 127535 }
3591.1.1 = { holder = 127536 }
3614.1.1 = { holder = 127537 }
3660.1.1 = { holder = 127538 }
3687.1.1 = { holder = 127539 }
3717.1.1 = { holder = 127540 }
3767.1.1 = { holder = 127541 }
3797.1.1 = { holder = 127542 }
3812.1.1 = { holder = 127543 }
3836.1.1 = { holder = 127544 }
