3338.1.1 = { liege = d_lampang }
3338.1.1 = { holder = 128150 }
3361.1.1 = { holder = 128151 }
3394.1.1 = { holder = 128152 }
3413.1.1 = { holder = 128153 }
3458.1.1 = { holder = 128154 }
3488.1.1 = { holder = 128155 }
3534.1.1 = { holder = 128156 }
3556.1.1 = { holder = 128157 }
3598.1.1 = { holder = 128158 }
3652.1.1 = { holder = 128159 }
3690.1.1 = { holder = 128160 }
3727.1.1 = { holder = 128161 }
3770.1.1 = { holder = 128162 }
3800.1.1 = { holder = 128163 }
3821.1.1 = { holder = 128164 }
3860.1.1 = { holder = 128165 }
3877.1.1 = { holder = 128166 }
3922.1.1 = { holder = 128167 }
3953.1.1 = { holder = 128168 }
