420.1.1 = { liege = d_skingrad }
420.1.1 = { holder = 6055 }
478.1.1 = { holder = 6058 }
479.1.1 = { holder = 6057 }
3320.1.1 = { holder = 6050 }
3373.1.1 = { holder = 6052 }
3399.1.1 = { holder = 6053 }
3408.1.1 = { holder = 6059 }
3460.1.1 = { holder = 6060 }
3490.1.1 = { holder = 6061 }
3519.1.1 = { holder = 6065 }
3548.1.1 = { holder = 6066 }
3556.1.1 = { liege = d_roebeck holder = 7055 }
3584.1.1 = { holder = 7056 }
3601.1.1 = { holder = 7057 }
3630.1.1 = { holder = 7058 }
3662.1.1 = { holder = 7059 }
3695.1.1 = { liege = d_skingrad }
3704.1.1 = { holder = 7060 }
3722.1.1 = { holder = 7061 }
3768.1.1 = { holder = 7062 }
3805.1.1 = { holder = 7063 }
3825.1.1 = { holder = 7064 }
3855.1.1 = { holder = 7065 }
