3368.1.1 = { liege = d_tangyala }
3368.1.1 = { holder = 126600 }
3417.1.1 = { holder = 126601 }
3447.1.1 = { holder = 126602 }
3464.1.1 = { holder = 126604 }
3495.1.1 = { holder = 126606 }
3499.1.1 = { holder = 126608 }
3530.1.1 = { holder = 126611 }
3579.1.1 = { holder = 126613 }
3583.1.1 = { holder = 126614 }
3619.1.1 = { holder = 126615 }
3655.1.1 = { holder = 126616 }
3696.1.1 = { holder = 126617 }
3734.1.1 = { holder = 126618 }
3774.1.1 = { holder = 126619 }
3822.1.1 = { holder = 126620 }
3856.1.1 = { holder = 126621 }
3898.1.1 = { holder = 126622 }
