3312.1.1 = { liege = k_langdin }
3312.1.1 = { holder = 127700 }
3339.1.1 = { holder = 127701 }
3386.1.1 = { holder = 127702 }
3400.1.1 = { holder = 127703 }
3432.1.1 = { holder = 127704 }
3465.1.1 = { holder = 127705 }
3482.1.1 = { holder = 127706 }
3503.1.1 = { holder = 127707 }
3543.1.1 = { holder = 127708 }
3581.1.1 = { holder = 127709 }
3630.1.1 = { holder = 127710 }
3656.1.1 = { holder = 127711 }
3694.1.1 = { holder = 127712 }
3738.1.1 = { holder = 127713 }
3770.1.1 = { holder = 127714 }
3797.1.1 = { holder = 127715 }
3838.1.1 = { holder = 127716 }
3871.1.1 = { holder = 127717 }
3910.1.1 = { holder = 127718 }
3953.1.1 = { holder = 127719 }
