3328.1.1 = { liege = k_langdin }
3328.1.1 = { holder = 127800 }
3356.1.1 = { holder = 127801 }
3375.1.1 = { holder = 127802 }
3404.1.1 = { holder = 127803 }
3452.1.1 = { holder = 127804 }
3481.1.1 = { holder = 127805 }
3526.1.1 = { holder = 127806 }
3562.1.1 = { holder = 127807 }
3586.1.1 = { holder = 127808 }
3611.1.1 = { holder = 127809 }
3649.1.1 = { holder = 127810 }
3665.1.1 = { holder = 127811 }
3693.1.1 = { holder = 127812 }
3726.1.1 = { holder = 127813 }
3757.1.1 = { holder = 127814 }
3795.1.1 = { holder = 127815 }
3818.1.1 = { holder = 127816 }
3855.1.1 = { holder = 127817 }
3890.1.1 = { holder = 127818 }
3923.1.1 = { holder = 127819 }
