3355.1.1 = { liege = k_langdin }
3355.1.1 = { holder = 127350 }
3373.1.1 = { holder = 127352 }
3394.1.1 = { holder = 127354 }
3416.1.1 = { holder = 127356 }
3449.1.1 = { holder = 127358 }
3465.1.1 = { holder = 127360 }
3488.1.1 = { holder = 127366 }
3502.1.1 = { holder = 127371 }
3538.1.1 = { holder = 127374 }
3582.1.1 = { holder = 127375 }
3605.1.1 = { holder = 127376 }
3643.1.1 = { holder = 127377 }
3669.1.1 = { holder = 127378 }
3695.1.1 = { holder = 127379 }
3733.1.1 = { holder = 127380 }
3779.1.1 = { holder = 127381 }
3801.1.1 = { holder = 127382 }
3833.1.1 = { holder = 127383 }
3860.1.1 = { holder = 127384 }
3895.1.1 = { holder = 127385 }
