3277.1.1 = { liege = d_ratchata }
3277.1.1 = { holder = 126000 }
3308.1.1 = { holder = 126002 }
3331.1.1 = { holder = 126004 }
3378.1.1 = { holder = 126006 }
3392.1.1 = { holder = 126012 }
3412.1.1 = { holder = 126014 }
3452.1.1 = { holder = 126016 }
3491.1.1 = { holder = 126020 }
3518.1.1 = { holder = 126025 }
3519.1.1 = { holder = 126289 }
3569.1.1 = { holder = 126290 }
3605.1.1 = { holder = 126291 }
3637.1.1 = { holder = 126292 }
3671.1.1 = { holder = 126293 }
3724.1.1 = { holder = 126294 }
3749.1.1 = { holder = 126295 }
3787.1.1 = { holder = 126296 }
3809.1.1 = { holder = 126297 }
3855.1.1 = { holder = 126298 }
3887.1.1 = { holder = 126299 }
3933.1.1 = { holder = 126300 }
