3370.1.1 = { liege = d_frostcrag }
3370.1.1 = { holder = 9006 }
3423.1.1 = { holder = 9012 }
3446.1.1 = { holder = 9013 }
3486.1.1 = { holder = 10500 }
3509.1.1 = { holder = 10501 }
3531.1.1 = { holder = 10503 }
3603.1.1 = { holder = 10504 }
3618.1.1 = { holder = 10505 }
3644.1.1 = { holder = 10506 }
3665.1.1 = { holder = 10507 }
3698.1.1 = { holder = 10508 }
3741.1.1 = { holder = 10509 }
3757.1.1 = { holder = 10510 }
3785.1.1 = { holder = 10511 }
3808.1.1 = { holder = 10512 }
3827.1.1 = { holder = 10513 }
3867.1.1 = { holder = 10514 }
3914.1.1 = { holder = 10515 }
3940.1.1 = { holder = 10516 }
