3247.1.1 = { liege = d_sharnhelm }
3247.1.1 = { holder = 15353 }
3274.1.1 = { holder = 15354 }
3300.1.1 = { holder = 15355 }
3343.1.1 = { holder = 15357 }
3369.1.1 = { holder = 15358 }
3403.1.1 = { holder = 15359 }
3424.1.1 = { holder = 15360 }
3432.1.1 = { holder = 15361 }
3466.1.1 = { holder = 15362 }
3487.1.1 = { holder = 15414 }
3499.1.1 = { holder = 15417 }
3541.1.1 = { holder = 15418 }
3552.1.1 = { holder = 15421 }
3596.1.1 = { holder = 15422 }
3612.1.1 = { holder = 15423 }
3638.1.1 = { holder = 15424 }
3672.1.1 = { holder = 15425 }
3703.1.1 = { holder = 15426 }
3730.1.1 = { holder = 15427 }
3755.1.1 = { holder = 15428 }
