420.1.1 = { liege = d_skingrad }
420.1.1 = { holder = 6055 }
478.1.1 = { holder = 6058 }
479.1.1 = { holder = 6057 }
3250.1.1 = { holder = 6062 }
3315.1.1 = { holder = 6063 }
3340.1.1 = { holder = 6050 }
3373.1.1 = { holder = 6052 }
3399.1.1 = { holder = 6053 }
3408.1.1 = { holder = 6059 }
3460.1.1 = { holder = 6060 }
3490.1.1 = { holder = 6061 }
3519.1.1 = { holder = 6065 }
3548.1.1 = { holder = 6066 }
3588.1.1 = { holder = 6067 }
3620.1.1 = { holder = 6068 }
3633.1.1 = { holder = 6069 }
3662.1.1 = { holder = 6070 }
3698.1.1 = { holder = 6071 }
3731.1.1 = { holder = 6072 }
3764.1.1 = { holder = 6073 }
3776.1.1 = { holder = 6074 }
3830.1.1 = { holder = 6075 }
