3300.1.1 = { liege = d_tangyala }
3300.1.1 = { holder = 126500 }
3329.1.1 = { holder = 126502 }
3374.1.1 = { holder = 126504 }
3389.1.1 = { holder = 126506 }
3395.1.1 = { holder = 126510 }
3418.1.1 = { holder = 126516 }
3456.1.1 = { holder = 126532 }
3470.1.1 = { holder = 126518 }
3474.1.1 = { holder = 126552 }
3476.1.1 = { holder = 126534 }
3494.1.1 = { holder = 126536 }
3521.1.1 = { holder = 126539 }
3543.1.1 = { holder = 126541 }
3589.1.1 = { holder = 126542 }
3624.1.1 = { holder = 126543 }
3646.1.1 = { holder = 126544 }
3688.1.1 = { holder = 126545 }
3724.1.1 = { holder = 126546 }
3765.1.1 = { holder = 126547 }
3796.1.1 = { holder = 126548 }
3829.1.1 = { holder = 126549 }
