3320.1.1 = { liege = d_lampang }
3320.1.1 = { holder = 126275 }
3361.1.1 = { holder = 126277 }
3368.1.1 = { holder = 126175 }
3430.1.1 = { holder = 126177 }
3456.1.1 = { holder = 126225 }
3504.1.1 = { holder = 126227 }
3511.1.1 = { holder = 126229 }
3560.1.1 = { holder = 126230 }
3591.1.1 = { holder = 126231 }
3612.1.1 = { holder = 126232 }
3657.1.1 = { holder = 126233 }
3685.1.1 = { holder = 126234 }
3711.1.1 = { holder = 126235 }
3755.1.1 = { holder = 126236 }
3776.1.1 = { holder = 126237 }
3812.1.1 = { holder = 126238 }
3832.1.1 = { holder = 126239 }
3866.1.1 = { holder = 126240 }
