3300.1.1 = { liege = k_langdin }
3300.1.1 = { holder = 127900 }
3331.1.1 = { holder = 127901 }
3376.1.1 = { holder = 127902 }
3409.1.1 = { holder = 127903 }
3450.1.1 = { holder = 127904 }
3478.1.1 = { holder = 127905 }
3506.1.1 = { holder = 127906 }
3518.1.1 = { holder = 127907 }
3557.1.1 = { holder = 127908 }
3599.1.1 = { holder = 127909 }
3625.1.1 = { holder = 127910 }
3665.1.1 = { holder = 127911 }
3715.1.1 = { holder = 127912 }
3741.1.1 = { holder = 127913 }
3776.1.1 = { holder = 127914 }
3793.1.1 = { holder = 127915 }
3827.1.1 = { holder = 127916 }
3855.1.1 = { holder = 127917 }
3891.1.1 = { holder = 127918 }
3921.1.1 = { holder = 127919 }
