EVTDESC500;[New.GetTitledFirstName] and [From.GetTitledFirstName] have got married. We can collect a Royal Aid Duty to pay for the ceremonies.;[From.GetTitledFirstName] et [From.Spouse.GetTitledFirstName] se sont mariés. Nous pouvons lever un impôt royal pour financer les cérémonies.;[From.GetTitledFirstName] und [From.Spouse.GetTitledFirstName] haben geheiratet. Wir können für die Zeremonie eine Königliche Hilfesteuer eintreiben.;;[From.GetTitledFirstName] y [From.Spouse.GetTitledFirstName] se han casado. Podemos recaudar un tributo real para sufragar la ceremonia.;;;;;;;;;x
EVTOPTA453;It's good to be the [This.GetTitle]!;C’est bon d’être le(la) [This.GetTitle]!;Es ist gut, [This.GetTitle] zu sein!;;Es agradable ser el [This.GetTitle]!;;;;;;;;;x
EVTOPTA2100;No, [From.GetSheHe] has reason to be proud.;Non, [From.GetSheHe] a bien raison de ressentir de la fierté !;Keineswegs, [From.GetSheHe] ist zurecht stolz.;;No, [From.GetSheHe] tiene razones para sentir orgullo.;;;;;;;;;x
EVTOPTC2100;Tell [From.GetHerHim], 'Pride goeth before a fall'.;Dites-lui que « L'arrogance précède la chute. » ;[From.GetHerHim] erklären, dass 'Hochmut für gewöhnlich vor dem Fall' kommt.;;Decirle a [From.GetHerHim], 'El orgullo precede a la caída'.;;;;;;;;;x
EVTOPTA2120;Even I am impressed.;Un tel aplomb m’impressionne!;Selbst ich bin beeindruckt.;;Incluso estoy impresionado.;;;;;;;;;x
EVTOPTA2090;Good, I cannot abide recklessness.;Bien, je ne supporte pas l’imprudence.;Gut. Ich kann Draufgängertum nicht ausstehen.;;Bien, no tolero la irreflexión.;;;;;;;;;x
EVTOPTC2120;Talk to [From.GetHerHim] about honesty.;Parlez-lui d’honnêteté.;Mit [From.GetHerHim] über Ehrlichkeit sprechen.;;Háblale sobre la honradez.;;;;;;;;;x
EVTOPTB2150;Some fears are good, but there are limits.;Certaines peur sont saines, mais il y a des limites.;Manche Ängste haben ihren Sinn, aber es gibt Grenzen.;;Algunos temores son adecuados, pero hay límites.;;;;;;;;;x
EVTOPTC2150;Fear is the mind killer.;La peur nuit à la raison.;Furcht tötet die Seele.;;El miedo es el asesino de la mente.;;;;;;;;;x
EVTOPTA2200;It suits [From.GetHerHis] position.;Cela sied à sa position.;Das ist nur standesgemäß.;;Eso concuerda con su posición.;;;;;;;;;x
EVTDESC3242;True humility is about showing humility when it is against our desires. A humble [Root.GetManWoman] submits to the Gods, even if [Root.GetSheHe] may dislike their clergy.;Être vraiment humble, c'est faire preuve d'humilité contre son gré. Un[Root.Get_E] [Root.GetManWoman] humble se soumet à Dieu, même lorsqu'[Root.GetIlElle] n'apprécie pas le Pape.;Wahre Ergebenheit ist nur diejenige, die sich gegen das eigene Verlangen richtet. Ein demütiger [Root.GetManWoman] unterwirft sich Gott, selbst wenn [Root.GetSheHe] den Papst nicht mag.;;La verdadera humildad consiste en ser humilde en contra de nuestros deseos. Un [Root.GetManWoman] humilde se somete a Dios, aunque no le guste el Papa.;;;;;;;;;x
EVTOPTA3367;I'll teach you but I've got to charge you.;Je vais vous aider, mais moyennant finance.;Ich kann's Euch beibringen, aber Ihr müsst dafür zahlen.;;Te enseñaré pero te cobraré.;;;;;;;;;x
EVTOPTA3421;Good.;Bien.;Gut.;;Bien.;;;;;;;;;x
EVTOPTA3430;It was worth it.;Ça en valait la peine.;Das war es wert.;;Valió la pena.;;;;;;;;;x
EVTDESC4000;A farmer told me how his boar had managed to break into his neighbour's hoggery and the result was seven small piglets. Now his neighbour has demanded compensation he can't afford and they need me to tell them what to do.;Un fermier me raconte que son verrat s’est introduit dans la porcherie de son voisin. Résultat : sept porcelets ! Son voisin lui ayant réclamé un dédommagement qu’il ne peut pas payer, il fait appel à moi pour le conseiller.;Ein Bauer erzählte mir, wie sein Eber in den Schweinestall des Nachbarn eingebrochen war und sieben Ferkel gezeugt hatte. Jetzt verlangt sein Nachbar Schadensersatz, den er sich nicht leisten kann, und er bittet mich um Rat.;;Un granjero me dijo que su cerdo se coló en la porqueriza de su vecino y el resultado fueron siete lechones. Ahora el vecino le exige una compensación que no puede permitirse y me necesita para que les diga qué hacer.;;;;;;;;;x
EVTOPTA4000;He should pay his neighbour.;Payez le voisin !;Er sollte seinem Nachbarn das Geld geben;;Debería pagar a su vecino;;;;;;;;;x
EVTOPTB4000;Give the neighbour four of the piglets.;Donnez quatre porcelets au voisin !;Überlasst dem Nachbarn vier der Ferkel;;Dale al vecino cuatro lechones;;;;;;;;;x
EVTOPTC4000;Keep one piglet each - the rest belong to me.;Gardez un porcelet chacun. Je prends le reste.;Jeder behält ein Ferkel, der Rest geht an mich;;Un lechón para cada uno y los demás para mí;;;;;;;;;x
EVTOPTA4008;Good.;Bien.;Gut.;;Bien.;;;;;;;;;x
EVTOPTA4018;Good.;Bien.;Gut.;;Bien.;;;;;;;;;x
EVTOPTA4021;I should let them go.;Je devrais les relâcher.;Ich sollte sie freilassen;;Debería dejarles ir;;;;;;;;;x
EVTOPTB4021;Let [From.GetTitledFirstName] deal with them.;Laissons [From.GetTitledFirstName] s’occuper d’eux.;[From.GetTitledFirstName] soll sich ihrer annehmen;;Deja que [From.GetTitledFirstName] se ocupe de ellos;;;;;;;;;x
EVTTOOLTIP4022;The poachers are dragged before [This.GetTitledFirstName].;Les braconniers sont traînés devant [This.GetTitledFirstName].;Die Wilderer werden vor [This.GetTitledFirstName] gebracht;;Los furtivos son llevados ante [This.GetTitledFirstName];;;;;;;;;x
EVTOPTA4022;Deal with them yourself.;Occupez-vous d’eux vous-même.;Kümmert Euch selbst um sie;;Ocúpate de ellos tú mismo;;;;;;;;;x
EVTOPTB4022;The law demands their death by hanging.;La loi exige leur mort par pendaison.;Das Gesetz verlangt Tod durch den Strang;;La ley exige su ejecución en la horca;;;;;;;;;x
EVTOPTC4022;They must be starving! Release them.;Ils doivent avoir faim ! Libérez-les.;Sie müssen halb verhungert sein! Lasst sie frei;;¡Deben tener hambre! Libérales;;;;;;;;;x
EVTOPTE4022;Cut off their ears!;Coupez-leur les oreilles !;Schneidet ihnen die Ohren ab;;Córtales las orejas;;;;;;;;;x
EVTOPTA4023;Good. They will be hanged.;Bien. Ils vont être pendus.;Gut. Sie werden gehängt;;Bien. Serán colgados;;;;;;;;;x
EVTTOOLTIP4024;That is an acceptable punishment.;C’est un bon châtiment.;Das ist eine akzeptable Bestrafung;;Es un castigo aceptable;;;;;;;;;x
EVTOPTC4023;I hope that the loss of their ears learnt them a lesson.;J’espère que le fait de perdre les oreilles leur servira de leçon.;Hoffe, der Verlust ihrer Ohren wird ihnen eine Lehre sein;;Espero que la pérdida de sus orejas les enseñase una lección;;;;;;;;;x
EVTOPTE4023;The only good poacher is a dead poacher.;Un bon braconnier est un braconnier mort.;Nur ein toter Wilderer ist ein guter Wilderer;;El único furtivo bueno es el furtivo muerto;;;;;;;;;x
EVTOPTA4024;Good.;Bien.;Gut.;;Bien.;;;;;;;;;x
EVTOPTD4115;I don't like the merchants, but their wares are fine.;Je n’aime pas les marchands, mais ils ont de bons produits.;Ich mag die Kaufleute nicht, aber ihre Waren sind gut;;No me gustan los mercaderes, pero sus productos son buenos;;;;;;;;;x
EVTOPTF4115;I think fairs should be banned!;Les foires devraient être interdites.;Ich finde, Jahrmärkte sollten verboten werden;;Creo que las ferias deberían estar prohibidas;;;;;;;;;x
EVTOPTA4120;Good fight.;Beau combat.;Guter Kampf.;;Buena lid.;;;;;;;;;x
EVTOPTA4140;Requiescat in pace!;Requiescat in pace!;Requiescat in pace!;;Requiescat in pace!;;;;;;;;;x
EVTOPTB4140;One less mouth to feed!;Une bouche de moins à nourrir!;Ein Maul weniger zu stopfen!;;Una boca menos que alimentar!;;;;;;;;;x
EVTOPTA4175;The pain... but it was worth it!;Ça fait mal... Mais ça en valait la peine.;Die Schmerzen ... aber es war es wert.;;Dolió... pero valió la pena.;;;;;;;;;x
EVTDESC6041;The world will not weigh me down any more. I have a new spring in my step, joy in my heart and a smile on my face.;Le monde ne m’accablera plus. Je ressens à nouveau de la légèreté et de la joie, et j’ai envie de sourire.;Die Welt wird mir nicht mehr auf dem Gemüt lasten, ich habe zu neuer Lebenslust gefunden und bin allzeit guter Dinge!;;El mundo ya no me abrumará más, mi caminar es más vigoroso, tengo alegría en el corazón y una sonrisa en la cara.;;;;;;;;;x
EVTOPTA6041;Life isn't too bad.;La vie n’est pas si mal.;Das Leben ist gar nicht so schlecht;;La vida no es tan mala;;;;;;;;;x
EVTOPTA20410;Let us hope so.;Espérons qu’il en soit ainsi.;Hoffen wir es.;;Esperemos que así sea.;;;;;;;;;x
EVTOPTA36080;I will find the White Stag.;Je trouverai le cerf blanc.;Ich werde den Weißen Hirsch finden;;Hallaré al Ciervo Blanco;;;;;;;;;x
EVTOPTC38204;Teach [From.GetHerHim] some humility.;Enseignez-lui l’humilité.;[From.GetHerHim] ein wenig Bescheidenheit beibringen.;;Enséñale humildad.;;;;;;;;;x
EVTOPTB38220;Be just to all its children.;Soit juste avec tous ses enfants.;Sei gerecht zu ihren Kindern.;;¡Se justo con todos sus hijos!;;;;;;;;;x
EVTDESC38221;[From.GetFullName] was supposed to work on her embroidery, but she clearly fancied another kind of pin. Her swordsmanship was not too bad, for a girl.;Au lieu de broder, [From.GetFullName] préfère manier l’épée. Elle est très habile pour une fille.;[From.GetFullName] sollte an ihrer Stickerei arbeiten, aber sie hat eindeutig eine andere Art Nadel bevorzugt. Ihre Schwertführung war gar nicht so schlecht ... für ein Mädchen.;;[From.GetFullName] debía dedicarse a bordar, pero obviamente fantaseaba con una aguja más grande. Su habilidad con la espada no estaba mal, tratándose de una chica.;;;;;;;;;x
EVTOPTA38221;There's no harm letting in her learn how to use a sword.;Il n’y a aucun mal à la laisser apprendre à manier une épée.;Es kann nichts schaden, sie den Umgang mit dem Schwert lernen zu lassen;;No hay nada malo en que aprenda a usar la espada;;;;;;;;;x
EVTOPTB38221;This is not seemly for a woman.;Ce n’est pas convenable pour une femme.;Dies ziemt einer Frau nicht;;No es cosa de mujeres;;;;;;;;;x
EVTOPTA38227;I'll teach [From.GetFirstName] about the joys of money.;Je vais enseigner les joies de l’argent à [From.GetFirstName].;Ich werde [From.GetFirstName] die Freuden des Geldes beibringen.;;Aleccionaré a [From.GetFirstName] sobre las alegrías del dinero.;;;;;;;;;x
EVTOPTA38233;This is a sign of sin!  Make the child fast to atone for its sins!;C’est un signe de péché. Obligez l’enfant à expier ses péchés !;Das ist ein Zeichen der Sünde! Lasst das Kind fasten, um für seine Sünden zu sühnen!;;¡Es una señal de pecado, haz que el chico lo expíe!;;;;;;;;;x
EVTOPTB38233;A doctor might be able to cure [From.GetFirstName].;Un médecin pourrait peut-être guérir [From.GetFirstName].;Ein Arzt könnte [From.GetFirstName] vielleicht heilen.;;Un médico podría curar a [From.GetFirstName].;;;;;;;;;x
EVTOPTB38227;I'll tell [From.GetFirstName] about the joys of giving money.;Je vais enseigner à [From.GetFirstName] les joies du don d’argent.;Ich werde [From.GetFirstName] die Freuden des Geldverschenkens beibringen.;;Hablaré a [From.GetFirstName] de las alegrías de dar dinero.;;;;;;;;;x
EVTOPTC38227;Money is for [This.Religion.GetRandomGodName].;L’argent est pour [This.Religion.GetRandomGodName].;Geld ist für [This.Religion.GetRandomGodName].;;El dinero es para [This.Religion.GetRandomGodName].;;;;;;;;;x
EVTDESC39220;I am forced to languish in this dungeon, where the evil fiends of [Root.Host.GetTitledFirstName] is torturing my soul.;Me voilà réduit[Root.GetNoneE] à languir dans ce cachot où les démons [Root.Host.Get_du_Title][Root.Host.GetTitledFirstName] torturent mon âme.;Ich muss hier in diesem Kerker schmachten, wo die bösen Unholde von [Root.Host.GetTitledFirstName] meine Seele foltern.;;Me obligan a languidecer en esta mazmorra donde los diablos de [Root.Host.GetTitledFirstName] torturan a mi alma.;;;;;;;;;x
EVTOPTA39220;Write a letter to the [Root.RelHead.GetTitle];J'écris une lettre au [Root.RelHead.GetTitle].;Dem [Root.RelHead.GetTitle] einen Brief schreiben;;Escribe una carta al [Root.RelHead.GetTitle];;;;;;;;;x
EVTOPTB39220;Pray for Divine Help;Je prie pour recevoir une aide divine.;Betet um göttliche Hilfe;;Pide ayuda a Dios;;;;;;;;;x
EVTTOOLTIP39221;The [Root.RelHead.GetTitle] will read my desperate plea...;Le [Root.RelHead.GetTitle] va lire mon appel désespéré...;Der [Root.RelHead.GetTitle] wird meinen verzweifelten Appell lesen ...;;El [Root.RelHead.GetTitle] leerá mi desesperada súplica...;;;;;;;;;x
EVTTOOLTIP39222;[Root.Host.GetTitledFirstName] will learn of our communication.;[Root.Host.Get_Le_Title][Root.Host.GetTitledFirstName] va être informé[Root.Host.GetNoneE] de notre communication.;[Root.Host.GetTitledFirstName] wird von unserer Korrespondenz erfahren.;;[Root.Host.GetTitledFirstName] se enterará de nuestra comunicación.;;;;;;;;;x
EVTDESC39221;We have received a letter from [From.GetTitledFirstName] asking us to intervene on [From.GetHerHis] behalf and ask [From.Host.GetTitledFirstName] to release [From.GetHerHis] from [From.GetHerHis] prison.;Nous avons reçu une lettre [From.Get_du_Title][From.GetTitledFirstName] nous priant d'intercéder en sa faveur pour que [From.Host.Get_le_Title][From.Host.GetTitledFirstName] le libère de sa prison.;[From.GetTitledFirstName] bittet uns in einem Brief, [From.Host.GetTitledFirstName] seinethalben um Freilassung aus dem Kerker zu ersuchen.;;Hemos recibido una carta de [From.GetTitledFirstName] para que intervengamos en su nombre y pidamos a [From.Host.GetTitledFirstName] que le libere.;;;;;;;;;x
EVTOPTA39221;The [Root.RelHead.GetTitle] must be obeyed!;Il faut obéir au [Root.RelHead.GetTitle] !;Dem [Root.RelHead.GetTitle] muss gehorcht werden!;;¡El [Root.RelHead.GetTitle] debe ser obedecido!;;;;;;;;;x
EVTOPTB39221;This is a secular matter...;C'est une affaire profane...;Dies ist eine säkulare Angelegenheit ...;;Este es un asunto secular...;;;;;;;;;x
EVTTOOLTIP39224;[From.GetHerHisCap] captor will listen to our demand.;Son ravisseur va écouter notre demande.;Sein Geiselnehmer wird unserer Forderung Gehör schenken.;;Su captor escuchará nuestra petición.;;;;;;;;;x
EVTTOOLTIP39225;[From.GetTitledFirstName] will get disappointed.;[From.Get_Le_Title][From.GetTitledFirstName] éprouvera de la déception.;[From.GetTitledFirstName] wird enttäuscht sein.;;[From.GetTitledFirstName] se sentirá decepcionado.;;;;;;;;;x
