pprovisions;Purchase provisions.;;;;;;;;;;;;;x
dontneed;I don't need the provisions.;;;;;;;;;;;;;x
dontneedwealth;I can't afford the provisions.;;;;;;;;;;;;;x
fadetoblack;(Fade to black);;;;;;;;;;;;;x
yip;Yippee!;;;;;;;;;;;;;x
halfbreed_hidden;Halfbreed;;;;;;;;;;;;;x
halfbreed_hidden_desc;An individual of mixed heritage.;;;;;;;;;;;;;x
EVTDESC36000horker;I am out with a party scouring the wilds, and I see a mighty Horker laying upon the banks of icy waters.;Je suis dans les bois et je vois un puissant cerf pendant que mon groupe chasse.;Ich bin im Wald und sehe einen prächtigen Hirsch, während meine Gesellschaft jagt.;;Estoy aislado y veo un gran ciervo mientras mi grupo está cazando.;;;;;;;;;x
EVTDESC36000kagouti;I am out in the wilds, and I see a mighty Kagouti while my party is hunting.;Je suis dans les bois et je vois un puissant cerf pendant que mon groupe chasse.;Ich bin im Wald und sehe einen prächtigen Hirsch, während meine Gesellschaft jagt.;;Estoy aislado y veo un gran ciervo mientras mi grupo está cazando.;;;;;;;;;x
adventures1desc;An adventure can take a long time, and can often take you into unpredictable places where even the most basic of supplies are scarce and you may not come across a civilised settlement for many days. Purchasing dried rations and keeping them stowed in your pack will ensure you don't starve to death in some random dungeon, your only companions the restless undead...;;;;;;;;;;;;;x
adventures2desc;You never know what situation you might find yourself in, perhaps you're a mage and you like to stand a good distance lobbing fireballs, but what happens if you run out of magicka? Or perhaps you're a knight in heavy plate who likes to swing his sword about, but what should you do if your trusty sword should shatter or break? Purchasing additional sidearms and offhand weapons for your adventure will ensure you're equipped for any situation.;;;;;;;;;;;;;x
adventures3desc;Any adventurer knows that a good stock of potions, restore health, restore magicka, perhaps an invisibility potion or two could save your life at the last moment, the magickal essences within mending broken bone and torn flesh. While you could perhaps always come across potions while adventuring, it's a risky proposition, and purchasing a few bottles now before you set off could save your life later.;;;;;;;;;;;;;x
adventures4desc;The time draws near when you must pack up the last of your supplies and head out of the door into the cold night, setting out on your main quest. Before you leave, your spouse draws you close, and you spend one last night together, the chance that you might not return bringing out a passion in your partner you had not before experienced...;;;;;;;;;;;;;x
adventures5desc;The time draws near when you must pack up the last of your supplies and head out of the door into the cold night, setting out on your main quest. Before you leave, your lover draws you close, and you spend one last night together, the chance that you might not return bringing out a passion in your partner you had not before experienced...;;;;;;;;;;;;;x
adventures200desc;The time has come, your supplies are packed and your heart is full of wanderlust and a sense of excitement as you begin the first steps of your adventure.;;;;;;;;;;;;;x
adventures195desc;Alas, by curse of illness or other hardship I have been forced to cancel my adventure before it has begun!;;;;;;;;;;;;;x
goblins;Goblins Attack!;;;;;;;;;;;;;x
EVTOPTB36000;RUN AWAAAY;Un cerf ? FUYEZ !;Ein Hirsch? NIX WIE WEEEEG;;¿Un ciervo? CORREEEE;;;;;;;;;x
adventures201desc;You have encountered a small group of Goblins while journeying to your destination. They have spotted you and you have only a few moments to prepare yourself!;;;;;;;;;;;;;x
martialattack;I shall meet them head on in martial combat!;;;;;;;;;;;;;x
magicattack;I will smite them with my magick.;;;;;;;;;;;;;x
