### Nedic
nedic;Nedic;Nedic;Nedic;;Nedic;;;;;;;;;x
imperial;Imperial;Imperial;Imperial;;Imperial;;;;;;;;;x
nibenean;Nibenean;Nibenean;Nibenean;;Nibenean;;;;;;;;;x
colovian;Colovian;Colovian;Colovian;;Colovian;;;;;;;;;x
nord;Nord;Nord;Nord;;Nord;;;;;;;;;x
skaal;Skaal;Skaal;Skaal;;Skaal;;;;;;;;;x
breton;Breton;Breton;Breton;;Breton;;;;;;;;;x
atmoran;Atmoran;;;;;;;;;;;;;x
reachmen;Reachmen;Reachmen;Reachmen;;Reachmen;;;;;;;;;x
cyronord;Cyro-Nord;Cyro-Nord;Cyro-Nord;;Cyro-Nord;;;;;;;;;x
### Yokudan
yokudan_group;Yokudan;Yokudan;Yokudan;;Yokudan;;;;;;;;;x
yokudan;Yokudan;;;;;;;;;;;;;x
forebear;Forebear;Forebear;Forebear;;Forebear;;;;;;;;;x
crown;Crown;Crown;Crown;;Crown;;;;;;;;;x
lhotunic;Lhotunic;;;;;;;;;;;;;x
### Aldmeris
aldmeris;Aldmeris;Aldmeris;Aldmeris;;Aldmeris;;;;;;;;;x
bosmer;Bosmer;Bosmer;Bosmer;;Bosmer;;;;;;;;;x
ayleid;Ayleid;;;;;;;;;;;;;x
altmer;Altmer;Altmer;Altmer;;Altmer;;;;;;;;;x
maormer;Maormer;Maormer;Maormer;;Maormer;;;;;;;;;x
falmer;Falmer;Falmer;Falmer;;Falmer;;;;;;;;;x
dwemer;Dwemer;Dwemer;Dwemer;;Dwemer;;;;;;;;;x
### Chimeris
chimeris;Chimeris;Chimeris;Chimeris;;Chimeris;;;;;;;;;x
orsimer;Orsimer;Orsimer;Orsimer;;Orsimer;;;;;;;;;x
ashlander;Ashlander;Ashlander;Ashlander;;Ashlander;;;;;;;;;x
dunmer;Dunmer;Dunmer;Dunmer;;Dunmer;;;;;;;;;x
chimer;Chimer;;;;;;;;;;;;;x
### Argonian
argonian;Saxhleel;;;;;;;;;;;;;x
agaceph;Agaceph;Agaceph;Agaceph;;Agaceph;;;;;;;;;x
archein;Archein;Archein;Archein;;Archein;;;;;;;;;x
paatru;Paatru;Paatru;Paatru;;Paatru;;;;;;;;;
sarpa;Sarpa;Sarpa;Sarpa;;Sarpa;;;;;;;;;
naga;Naga;Naga;Naga;;Naga;;;;;;;;;x
lukiul;Lukiul;;;;;;;;;;;;;x
### Khajiit
khajiit;Khajiit;Khajiit;Khajiit;;Khajiit;;;;;;;;;x
pellitinian;Pellitinian;Pellitinian;Pellitinian;;Pellitinian;;;;;;;;;
anequinan;Anequinan;Anequinan;Anequinan;;Anequinan;;;;;;;;;x
### Tsaesci
tsaesci_group;Tsaesci;;;;;;;;;;;;;x
tsaesci;Tsaesci;Tsaesci;Tsaesci;;Tsaesci;;;;;;;;;
### Kamal
kamal_group;Kamal;;;;;;;;;;;;;
kamal;Kamal;;;;;;;;;;;;;
### Tang Mo
tangmo_group;Tang Mo;;;;;;;;;;;;;x
tangmo;Tang Mo;Tang Mo;Tang Mo;;Tang Mo;;;;;;;;;x
### Po Tun
potun_group;Po Tun;;;;;;;;;;;;;x
potun;Po Tun;Po Tun;Po Tun;;Po Tun;;;;;;;;;
### Islander
islander_group;Islander;;;;;;;;;;;;;x
akaviri;Akaviri;Akaviri;Akaviri;;Akaviri;;;;;;;;;x
quey;Quey;;;;;;;;;;;;;x
### Sload
sload_group;Sload;;;;;;;;;;;;;x
sload;Sload;;;;;;;;;;;;;x
### Undead
undead;Undead;Undead;Undead;;Undead;;;;;;;;;
draugr;Draugr;Draugr;Draugr;;Draugr;;;;;;;;;
skeleton;Skeleton;Skeleton;Skeleton;;Skeleton;;;;;;;;;
outsider;Outsider;;;;;;;;;;;;;x
### Culture features
altmer_FEATURES;§YSpecial features§!:\n§Y*§! Characters need to maintain an untainted blood to stay Pure;;;;;;;;;x
colovian_FEATURES;§YSpecial features§!:\n§Y*§! Has access to Imperial Bureaucratic Policies;;;;;;;;;x
imperial_FEATURES;§YSpecial features§!:\n§Y*§! Has access to Imperial Bureaucratic Policies;;;;;;;;;x
nibenean_FEATURES;§YSpecial features§!:\n§Y*§! Has access to Imperial Bureaucratic Policies;;;;;;;;;x
argonian_FEATURES;§YSpecial features§!:\n§Y*§! Argonian provinces are expected to follow the Hist, and have trouble being converted away from it\n§Y*§! Hist worshippers can refocus their connection to the Hist, increasing one of their characteristic at the expense of the others;;;;;;;;;x
yokudan_group_FEATURES;§YSpecial features§!:\n§Y*§! Followers of the Yokudan Pantheon can join the Sword-Singers;;;;;;;;;x
nord_FEATURES;§YSpecial features§!:\n§Y*§! Has access to the Nordic Moot succession law;;;;;;;;;x
atmoran_FEATURES;§YSpecial features§!:\n§Y*§! Has access to the Nordic Moot succession law;;;;;;;;;x
skaal_FEATURES;§YSpecial features§!:\n§Y*§! Has access to the Nordic Moot succession law;;;;;;;;;x
cyronord_FEATURES;§YSpecial features§!:\n§Y*§! Has access to the Nordic Moot succession law;;;;;;;;;x
