EVTDESC1000109101;I am extremely lazy, and I never want to do anything. Today, I don’t feel like attending to my official duties.;;;;;;;;;;;x
EVTOPTA1000109101;A nap sounds good.;;;;;;;;;;;x
EVTOPTB1000109101;I think I’ll go eat some tasty food.;;;;;;;;;;;x
EVTOPTC1000109101;The work I’ve already done is good enough, anyway.;;;;;;;;;;;x
EVTOPTD1000109101;I’m just scared of interacting with others to be honest.;;;;;;;;;;;x
EVTDESC1000109102;I apparently fell asleep while working hard last night. Perhaps I am overworking myself too hard.;;;;;;;;;;;x
EVTOPTA1000109102;Maybe I should take a break…;;;;;;;;;;;x
EVTOPTB1000109102;No! I am not working hard enough!;;;;;;;;;;;x
EVTOPTC1000109102;I will pray to [Root.Religion.GetRandomGodName] for strength.;;;;;;;;;;;x
EVTOPTD1000109102;This is nothing, I feel as strong as ever!;;;;;;;;;;;x
EVTDESC1000109103;While looking for cheap merchandise at the summer fair, you notice a large coin purse lying on the ground. Nobody seemed to notice it, and its owner didn’t seem to be around. You are very much tempted to take it…;;;;;;;;;;;x
EVTOPTA1000109103;Yes! Free money! All mine, all mine!;;;;;;;;;;;x
EVTOPTB1000109103;I should find the purse’s owner and give it back.;;;;;;;;;;;x
EVTOPTC1000109103;I’m too lazy to take it.;;;;;;;;;;;x
EVTOPTC1000109177;I was about to find who stole my sweetroll!;;;;;;;;;;;;;x
EVTOPTD1000109177;Hmm... Let's hold court.;;;;;;;;;;;;;x
EVTOPTD1000109103;In the name of justice, I can’t steal this.;;;;;;;;;;;x
EVTDESC1000109104;While browsing merchandise at the summer fair, you come across a young, sweet beggar girl. Her plight moves your heart and you wish to help her in whatever way you can.;;;;;;;;;;;x
EVTOPTA1000109104;Give the lass my entire purse.;;;;;;;;;;;x
EVTOPTB1000109104;Bring the girl to a local temple, where the clergy will take care of her.;;;;;;;;;;;x
EVTOPTC1000109104;Bring her some of the food from yesterday’s feast immediately!;;;;;;;;;;;x
EVTOPTD1000109104;Hire her as a serving girl. She'll be better off this way.;;;;;;;;;;;x
EVTDESC1000109105;Although I am suffering greatly from an ailment, I don’t really mind it one bit. Strange as some may think of this, I am absolutely content with my current situation.;;;;;;;;;;;x
EVTOPTA1000109105;I’ll be happy, whatever comes my way.;;;;;;;;;;;x
EVTOPTB1000109105;This is will of [Root.Religion.GetRandomGodName], after all!;;;;;;;;;;;x
EVTOPTC1000109105;Bah, this affliction is nothing.;;;;;;;;;;;x
EVTOPTD1000109105;Everyone suffers, eventually. Why feel anxious about it?;;;;;;;;;;;x
EVTDESC1000109106;I want to improve my image as a [Root.GetTitle]. If everyone knows me as a great ruler, it will be much easier for me to achieve my ambitions. Thus, I want to be known as a great ruler because of…;;;;;;;;;;;x
EVTOPTA1000109106;My glory and honour.;;;;;;;;;;;x
EVTOPTB1000109106;My good and benevolent rule.;;;;;;;;;;;x
EVTOPTC1000109106;My favour.;;;;;;;;;;;x
EVTOPTD1000109106;The fear I strike into the hearts of my subjects and enemies.;;;;;;;;;;;x
EVTDESC1000109107;A silence enveloped the room when I judged the felon to death. It was a sentence I handed out on a whim, even if it was perhaps a bit harsh.;;;;;;;;;;;x
EVTOPTA1000109107;He... he did deserve it, right?;;;;;;;;;;;x
EVTOPTB1000109107;I’ll... I’ll just remain silent like everyone else.;;;;;;;;;;;x
EVTDESC1000109108;Throughout the land, the peasants are singing songs in praise of your just rule. Your capable leadership has made the realm a prosperous and affluent place.;;;;;;;;;;;x
EVTOPTA1000109108;Good.;;;;;;;;;;;x
EVTOPTB1000109108;Justice is blind!;;;;;;;;;;;x
EVTDESC1000109109;Because of your notorious rage, no one in your court dares to criticize you for anything.;;;;;;;;;;;x
EVTOPTA1000109109;I rule my realm as I please.;;;;;;;;;;;x
EVTOPTB1000109109;A good ruler listens to others. Maybe I should control myself.;;;;;;;;;;;x
EVTOPTC1000109109;But… I want people to trust and love me.;;;;;;;;;;;x
EVTOPTD1000109109;In fact, my enemies fear me too!;;;;;;;;;;;x
EVTDESC1000109110;Being a very patient person, I always try to hear other's opinions before making a decision, because…;;;;;;;;;;;x
EVTOPTA1000109110;Every opinion is flawed. Might as well hear them all.;;;;;;;;;;;x
EVTOPTB1000109110;Everyone deserves to be heard.;;;;;;;;;;;x
EVTOPTC1000109110;I am such a great [Root.GetTitle].;;;;;;;;;;;x
EVTDESC1000109111;I’ve started noticing that everyone is better than me. This isn’t fair! I want to be as good as everyone else – no, even better than everyone, rather. Why am I not the best in everything?;;;;;;;;;;;x
EVTOPTA1000109111;I am worthless.;;;;;;;;;;;x
EVTOPTB1000109111;I don’t try hard enough.;;;;;;;;;;;x
EVTOPTC1000109111;No one cares about me, that’s why.;;;;;;;;;;;x
EVTOPTD1000109111;Maybe I shouldn’t worry about this.;;;;;;;;;;;x
EVTDESC1000109112;An impoverished knight had recently died, leaving behind an orphaned child. I really feel pity for the unfortunate youth, who has no family left. I’ll try to find the child a good place to live in.;;;;;;;;;;;x
EVTOPTA1000109112;Send the child to live with one of my trusted knights.;;;;;;;;;;;x
EVTOPTB1000109112;Bring the child to a temple.;;;;;;;;;;;x
EVTOPTC1000109112;Invite the child to my court.;;;;;;;;;;;x
EVTDESC1000109113;You’ve made a fool of myself while sparring, acting like a full coward in front of the other men.;;;;;;;;;;;x
EVTOPTA1000109113;I can’t help it!;;;;;;;;;;;x
EVTOPTB1000109113;I mustn’t embarrass myself like this!;;;;;;;;;;;x
