rumored_weak_ruler;Rumour: Weak ruler;;;;;;;;;;;;;x
rumored_weak_ruler_desc;[Root.GetFirstName] is rumoured to be a weak ruler.;;;;;;;;;;;;;x
rumored_night_monster;Rumour: Night monster;;;;;;;;;;;;;x
rumored_night_monster_desc;[Root.GetFirstName] is rumoured to be a creature of the night.;;;;;;;;;;;;;x
rumored_treasonous_bastard;Rumour: Treasonous bastard;;;;;;;;;;;;;x
rumored_treasonous_bastard_desc;[Root.GetFirstName] is rumoured to be a treasonous bastard.;;;;;;;;;;;;;x
rumored_tried_starting_rumours;Tried starting rumours;;;;;;;;;;;;;x
rumored_tried_starting_rumours_desc;[Root.GetFirstName] tried starting viscous rumours.;;;;;;;;;;;;;x
opinion_tried_to_usurp;Tried to usurp my position;;;;;;;;;;;;;x
opinion_usurped_position;Usurped my position ;;;;;;;;;;;;;x
opinion_relieved;Relieved;;;;;;;;;;;;;x
opinion_traitor_scum;Traitor;;;;;;;;;;;;;x
opinion_informed_about_treason;Informed about treason;;;;;;;;;;;;;x
opinion_stingy;Stingy;;;;;;;;;;;;;x
opinion_falsified_evidence;Falsified evidence;;;;;;;;;;;;;x
plot_replace_regent_decision_75;Send regent appointment request;;;;;;;;;;;;;x
plot_replace_regent_decision_100;Send regent appointment request;;;;;;;;;;;;;x
EKplots.1_desc;[From.GetTitledFirstName] claims [From.GetSheHe] would be more suitable to be your regent than [event_target:target_current_regent.GetTitledFirstName].;;;;;;;;;;;;;x
EKplots.1_OPTA;Indeed.;;;;;;;;;;;;;x
EKplots.1_OPTB;No, I don't think so.;;;;;;;;;;;;;x
EKplots.2_desc;I agree, you, [Root.GetFirstName], are more suitable to the position of regent.\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.2_OPT;Excellent!;;;;;;;;;;;;;x
EKplots.3_desc;Your request to be named regent is refused, [Root.GetFirstName].\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.3_OPT;I understand, my liege;;;;;;;;;;;;;x
EKplots.4_desc;[Root.liege.GetTitledFirstName] appointed [FromFrom.GetTitledFirstName] as [Root.liege.GetHerHis] new regent in your place.;;;;;;;;;;;;;x
EKplots.4_OPT;My title...;;;;;;;;;;;;;x
EKplots.5_desc;[FromFrom.GetTitledFirstName] tried to pressure me into appointing [FromFrom.GetHerHim] as my regent, but I decided to let you keep the title.\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.5_OPT;Thank you, my liege.;;;;;;;;;;;;;x
EKplots.12_desc;[From.GetFirstName] asked me to help with his plot to falsify some evidence against [plot_target.GetFirstName].;;;;;;;;;;;;;x
EKplots.12_OPT;Let's see what I can come up with.;;;;;;;;;;;;;x
EKplots.12_OPTdesc;See if your network of spies can discover a way to help.;;;;;;;;;;;;;x
EKplots.13_desc;I think I can create a credible enough evident of [plot_target.GetFirstName] misdeeds.;;;;;;;;;;;;;x
EKplots.13_OPTA;Now, where's my pen?;;;;;;;;;;;;;x
lets_try_something_else;On second thought, let's try something else.;;;;;;;;;;;;;x
EKplots.14_desc;I found a [Root.GetManWomanOpp] who says [Root.GetSheHeOpp] is an expert at forging documents and [Root.GetSheHeOpp] will immediately get to work. But before [Root.GetSheHeOpp] gets to work [Root.GetSheHeOpp] asks for payment up front.;;;;;;;;;;;;;x
EKplots.14_OPTA;I'm sure [FromFrom.GetFirstName] will cover my expenses.;;;;;;;;;;;;;x
EKplots.15_desc;I found a [Root.GetManWomanOpp] who claims to be an excellent actor and could provide a false testimony so convincing that nobody would take into question. All [Root.GetSheHeOpp] asks for is a little monetary compensation...;;;;;;;;;;;;;x
EKplots.15_OPTA;I'm sure [FromFrom.GetFirstName] will cover my expenses.;;;;;;;;;;;;;x
EKplots.16_desc;What fortunate find! While I was looking for opportunities to falsify evidence, I found out that [plot_target.GetFirstName] is actually leader of a plot!;;;;;;;;;;;;;x
EKplots.16_OPTA;I should immediately notify [FromFrom.GetFirstName]!;;;;;;;;;;;;;x
EKplots.17_descA;After days of practicing [plot_target.GetFirstName]'s handwriting I believe I created the perfect evidence.;;;;;;;;;;;;;x
EKplots.17_descB;After days of working in [Root.GetHerHisOpp] private room, the forgerer presented me with a rather convincing letter.;;;;;;;;;;;;;x
EKplots.17_descC;After days of rehearsing the actor feels fully prepared to give [Root.GetHerHisOpp] false testimony. [Root.GetHerHisOpp] acts is rather convincing, I would say.;;;;;;;;;;;;;x
