saplettingofthehist;Sapletting of the Hist;;;;;;;;;;;;;x
saplettingofthehist_desc;Perform the Sapletting Ritual;;;;;;;;;;;;;x
sapleting_timer;Sapleting Timer;;;;;;;;;;;;;x
saplettingofthehistevt;You have decided the Sapletting must begin. In a great ceremony all the Tribe will gather about as your Shaman punctures the sacred Hist. The sap will be collected in to bowls for consumption, first yours, then the remainder of your clan, then the common folk. Beware, however, for none can predict how the Hist shall command the People of the Root when they drink from the ancient trees;;;;;;;;;;;;;x
saplettingofthehistopt;Assemble the Tribe and pick the Hist;;;;;;;;;;;;;x
sweetsapflowingevt;Glorious flavour has filled the mouths of you and your clan. Drums are beaten as the mood mellows and a slow dance breaks out amongst your people there in the glade. The Hist have blessed your Tribe.;;;;;;;;;;;;;x
sweetsapflowingopt;Praise be;;;;;;;;;;;;;x
wrathfulrampageevt;Unsettling rage fills your very scales and the Tribe experiences the same. Standing together the restless shoving and bumping soon breaks out in a violent riot that your Shaman and guards are unable to quell.;;;;;;;;;;;;;x
wrathfulrampageopt;Spear them and drown them!;;;;;;;;;;;;;x
ultimatedisfavorevt;It isn't a half hour before you find yourself vomiting the otherwise flavourless sap; some cannot even finish swallowing the sap before violent illness befalls the gathering. Some go rigid and perish where they stand, even members of your court; and the survivors are very clear of what the Hist thinks of your rule.;;;;;;;;;;;;;x
ultimatedisfavoropt;Sacred Hist, forgive me!;;;;;;;;;;;;;x
sweet_sap;Sweet Sap;;;;;;;;;;;;;x
hist_disfavor;Hist Disfavour;;;;;;;;;;;;;x
finebrewofaleevt;The brewer has been bragging to the whole Tribe for days about the quality of his latest batch. Finally a vessel is brought to you, and there is no denying the fine quality of brew in your neck of the Marsh.;;;;;;;;;;;;;x
finebrewofaleopt;Delicious, my lands are the most fertile of all the Marsh.;;;;;;;;;;;;;x
tribesmendisgruntledevt;It has become no secret that members of your tribe of every affluence have become increasingly dissatisfied with your rule. Your spies tell you of gatherings around fires where treacherous words are spoken.;;;;;;;;;;;;;x
tribesmendisgruntledopt1;Let's "gift" the clan leaders for their loyalty.;;;;;;;;;;;;;x
tribesmendisgruntledopt2;I must do better to keep the peace.;;;;;;;;;;;;;x
tribesmen_disgruntled;Tribesmen Disgruntled;;;;;;;;;;;;;x
foulwatermarshevt;Something is fouling the waters of the Marsh; a discolouration has seeped in and a nasty odour raises from the pools. Even breathing beneath has become difficult and some find themselves getting ill from being submerged for too long or devouring fish.;;;;;;;;;;;;;x
foulwatermarshopt1;Investigate;;;;;;;;;;;;;x
foulwatermarshopt2;Leave it be;;;;;;;;;;;;;x
necromancerspollutingevt;Tribesmen Disgruntled;;;;;;;;;;;;;x
necromancerspollutingopt1;Befriend them!;;;;;;;;;;;;;x
necromancerspollutingopt2;Root them out!;;;;;;;;;;;;;x
necromancerspollutingopt3;Let them be...;;;;;;;;;;;;;x
corpseofgreatbeastevt;Early one morning you send out your scouts and swift-swimmers to scour the swamp and find the culprit. It takes them little time to report back that a great Swamp Leviathan has been found decaying, making a fine meal for fish and vermin alike.;;;;;;;;;;;;;x
corpseofgreatbeastopt1;It will get eaten soon enough;;;;;;;;;;;;;x
corpseofgreatbeastopt2;Let's remove it;;;;;;;;;;;;;x
amoroushistevt;The Hist works in mysterious ways. After recent ingestion, you cannot seem to get your eyes - or your heart - off another in your Court.;;;;;;;;;;;;;x
amoroushistopt1;Let's get my lusty Argonian maid;;;;;;;;;;;;;x
amoroushistopt2;I belong to nobody but myself;;;;;;;;;;;;;x
molagbalevt1;A priest, follower of Molag Bal, King of Rape, Harvester of Souls, Prince of Domination and Enslavement, came to your court with an offer... He says his lord is willing to reward you well shall you dominate Tamriel under his name.;;;;;;;;;;;;;x
acceptoffer;I accept it!;;;;;;;;;;;;;x
refuseoffer;Arrest him!;;;;;;;;;;;;;x
missionaccomplished;I'm proud of myself!;;;;;;;;;;;;;x
molagbalevt2;You accomplished it! You dominated a good part of Tamriel under Lord Molag Bal's name! Not coincidentally, an old servant rushes into your court carrying an odd object. Apparently this old weapon was found in last battle's field among the dead man. It's none other weapon than the Mace of Molag Bal.;;;;;;;;;;;;;x
greatmootevt;As the old High King dies and you raise to the throne of Skyrim, the Great Moot is summoned to either confirm your rule or disapprove your coronation. Jarls from all over Skyrim gather at your capital for the secret meetings that shall determine your right to rule.;;;;;;;;;;;;;x
greatmootopt;Let the Great Moot do their work...;;;;;;;;;;;;;x
mootapprovesevt;After a few days of debates, the Great Moot has officially chosen you as High King of Skyrim! Rejoice as the Jarls gift their new High King, you.;;;;;;;;;;;;;x
mootapprovesopt;The throne is mine!;;;;;;;;;;;;;x
mootdisapprovesevt;After a few days of debates, the Great Moot has officially denounced you as unfit to rule Skyrim! They elect another Jarl instead and give him full claim over your High Kingdom.;;;;;;;;;;;;;x
mootdisapprovesopt;He won't dare dethrone me!;;;;;;;;;;;;;x
mootclaimevt;After a few days of debates, the Great Moot has officially denounced the new High King of Skyrim as not being fit to reign! Rejoice as the Jarls give you a claim on the High Kingdom!;;;;;;;;;;;;;x
mootclaimopt;Should I dare press my claim?;;;;;;;;;;;;;x
clanleaderloyaltyevt;A respected clansmen in your realm has spoken openly of his loyalty to you.;;;;;;;;;;;;;x
clanleaderloyaltyopt;His loyalty is invaluable..;;;;;;;;;;;;;x
dealyplantevt;You can hear the screams of servants and see the horror in your eyes as you pass, hurrying through the Marsh to the source of the commotion. Your guards have the most dire look on their face as they bear your child on blankets, cold and lifeless. The young fin was playing with Dragon's Tongue, unknowing of its deadly effects to the touch.;;;;;;;;;;;;;x
dealyplantopt;My beloved child...;;;;;;;;;;;;;x
wamasu_ravaged;Wamasu Ravaged;;;;;;;;;;;;;x
wamasuattackevt;The wicked Wamasu creature has swept through your hold, rampaging and devouring unsuspecting People of the Root. The spears and javelins of your guards are ready to slay the beast.;;;;;;;;;;;;;x
wamasuattackopt1;Trap the beast in the Palace so the guards can kill him!;;;;;;;;;;;;;x
wamasuattackopt2;Send the guards to kill the beast as it ravages the county!;;;;;;;;;;;;;x
wamasukilledevt;The horrible Wamasu creature was killed! His meat shall serve your hall for months!;;;;;;;;;;;;;x
wamasukilledopt;Wamasu meat? Tasty;;;;;;;;;;;;;x
wamasueatsrulerevt;The horrible Wamasu creature was successfully trapped in your palace! Unfortunately... Your guard was unable to slay it before the creature ate you alive!;;;;;;;;;;;;;x
wamasueatsruleropt;Harsh marsh life...;;;;;;;;;;;;;x
wamasuravagesprovinceevt;The horrible Wamasu creature was successfully slain! Unfortunately... It damaged most of your county before being killed.;;;;;;;;;;;;;x
wamasuravagesprovinceopt;So is life in the marsh...;;;;;;;;;;;;;x
adventurers_offer_quest;A band of adventurers, knowing you're looking for the fabled Amulet of Kings, has agreed to delve into Sancre Tor to look for it in exchange of a handsome pay-off.;;;;;;;;;;;;;x
adventurers_fool_you;There has been some time and no notice whatsoever of the adventurers... It's clear to the court that you were fooled into paying them.;;;;;;;;;;;;;x
adventurers_got_killed;After a few months, one of the adventurers, severely maimed, come into your court, he tells you how all the others, including his father and one cousin, were killed in the failed quest to find the Amulet for you.;;;;;;;;;;;;;x
adventurers_give_amulet;After a few months, two of the adventurers return to your court, they tell their brave tale and inform you that they are the only survivors of the successful quest, handing the Amulet of Kings to you.;;;;;;;;;;;;;x
merchant_offer_amulet;An exotic merchant appears at your court, surprisingly, he claims to have the Amulet of Kings for sale and is interested in handing it out if you got the coin for it.;;;;;;;;;;;;;x
merchant_fool_you;After taking the money, the merchant uses an Scroll of Recall to teleport away, effectively stealing your money and making you look like a fool.;;;;;;;;;;;;;x
merchant_give_amulet;After taking the money, the merchant asks you to look at your neck, and, surprisingly enough, you're wearing the Amulet of Kings! When you look at him again, he is nowhere to be seen...;;;;;;;;;;;;;x
blades_offer_amulet;A shadowy figure enters your court, he claims to be a member of the fabled Dragonguard and claims to have the Amulet of Kings, his order is willing to give it to you if you accept their loyalty, give them their traditional holdings and pay for the reforms.;;;;;;;;;;;;;x
blades_give_amulet;In a mighty ceremony, the Dragonguard "crowns" you with the Amulet of Kings in one of their holdings, they claim this is an special day for all of Tamriel;;;;;;;;;;;;;x
you_adventure_yourself;You're an adventurer, why not delve into the ruins of Sancre Tor yourself and get the Amulet?;;;;;;;;;;;;;x
goblin_tribe_outside_sancre_tor;As you reach the ruins of Sancre Tor, you see that a peculiar tribe of Goblins has settled by the entrance. You have no choice but to head back home, fight them or maybe sneak past them...;;;;;;;;;;;;;x
