LOADING_MAP_SPRITES;Birthing the Aedra...;Chargement des sprites de carte…;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando gráficos animados del mapa...;Caricamento Sprites mappa in corso...;Egységek betöltése…;;;;;;;x
LOADING_GUI_DEF;Spawning the Daedra...;Chargement GUI…;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de la interfaz...;Caricamento definizioni GUI in corso...;GUI betöltése…;;;;;;;x
LOADING_DATABASES;Serving Akatosh...;Chargement Data…;Datenbanken werden geladen ...;Wczytywanie baz danych...;Cargando bases de datos...;Caricamento database in corso...;Adatbázis betöltése…;;;;;;;x
INIT_MAP_LOGIC;Waking Julianos...;Initialisation Maplogic…;Kartenlogik wird initialisiert ...;Uruchamianie Maplogic...;Iniciando mapa lógico...;Inizializzazione Maplogic in corso...;Pályaútvonalak töltése…;;;;;;;x
CREATING_CHKSUM;Analysing the Skeins of Time...;Création Checksum…;Checksumme wird erstell t...;Tworzenie sumy kontrolnej...;Creando tabla de verificación...;Creazione checksum in corso...;Ellenõrzõ összeg létrehozása…;;;;;;;x
CALC_PATHS;Designing Mundus...;Calcul des chemins…;Pfade werden berechnet ...;Obliczanie œcie¿ek...;Calculando rutas...;Calcolo percorsi in corso...;Útvonalak kiszámítása…;;;;;;;x
GENERATING_COAS;Shaping Nirn...;Génération des armoiries;Wappen wird erstellt;;Generando escudo de armas;;;;;;;;;x
LOADING_HISTORY;Creating the Elder Scrolls...;Chargement des fichiers historiques...;Geschichtsdateien werden geladen ...;Wczytywanie plików historycznych...;Cargando archivos históricos...;Caricamento file storia in corso...;Történelmi fájlok betöltése…;;;;;;;x
LOAD_EVENTS;Matching Heroes with Events...;Chargement des évènements…;Ereignisse werden geladen ...;Wczytywanie zdarzeñ...;Cargando sucesos...;Caricamento eventi in corso...;Esemének betöltése…;;;;;;;x
LOADING_SOUNDS;Learning Thu'um...;Chargement des sons…;Sounddateien werden geladen ...;Wczytywanie dŸwiêków...;Cargando sonidos...;Caricamento suoni in corso...;Hangok betöltése…;;;;;;;x
PROC_FLAGS;Worshipping the Daedra...;Traitement des Armoiries…;Flaggen werden verarbeitet ...;Przetwarzanie flag...;Procesando banderas...;Elaborazione flag in corso...;Zászlók feldolgozása…;;;;;;;x
LOAD_FLAGS;Hiding Lorkhan's Heart...;Chargement des Armoiries…;Flaggen werden geladen ...;Wczytywanie flag...;Cargando banderas...;Caricamento flag in corso...;Zászlók betöltése…;;;;;;;x
LOAD_GFX;Talking with Magnus...;Chargement des graphismes…;Grafiken werden geladen ...;Wczytywanie grafiki...;Cargando gráficos...;Caricamento grafica in corso...;Grafikák betöltése…;;;;;;;x
CREATING_THE_WORLD;Creating Tamriel...;Création du monde…;Die Welt wird erstellt ...;Tworzenie œwiata...;Creando el mundo...;Creazione mondo in corso...;Világ létrehozása…;;;;;;;x
CREATING_TREES;Exploring Valenwood...;Création des arbres...;Wald wird erstellt ...;Tworzenie drzew...;Creando árboles...;Creazione alberi in corso...;Fák létrehozása…;;;;;;;x
CREATING_BORDERS;Visiting the Iliac Bay...;Création des frontières...;Grenzen werden erstellt ...;Tworzenie granic...;Creando fronteras...;Creazione confini in corso...;Országhatárok létrehozása…;;;;;;;x
CREATING_RIVERS;Delving into Dungeons...;Création des fleuves...;Wasser wird erstellt...;Tworzenie rzek...;Creando ríos...;Creazione fiumi in corso...;Folyók létrehozása…;;;;;;;x
MAP_PROPERLY_INIT;Teaching Mudcrab Merchants...;Carte initialisée…;Karte korrekt initialisiert ...;Mapa uruchomiona prawid³owo...;Mapa iniciado correctamente...;Mappa inizializzata correttamente...;A pálya betöltve…;;;;;;;x
CREATING_PROVINCE;Awarding Provinces to Vassals;Création de province;Erstellung der Provinz;Tworzenie prowincji;Creando provincia... ;Creazione provincia in corso...;Provincia létrehozása…;;;;;;;x
CREATING_TEXTS;Raiding the Imperial Library...;Création des textes…;Texte werden erstellt ...;Tworzenie tekstów...;Creando textos...;Creazione testi in corso...;Szövegek létrehozása…;;;;;;;x
ADAPTING_HISTORY;Breaking the Dragon...;Adaptation de l'Histoire…;Geschichte wird angepasst ...;Przystosowywanie historii...;Adaptando la historia...;Adattamento storia in corso...;Történelmi fájlok betöltése…;;;;;;;x
LOAD_CITY;Building the Imperial City...;Chargement ville…;Stadt wird geladen ...;Wczytywanie miasta...;Cargando villa...;Caricamento città in corso...;Pálya betöltése…;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Mapping the Throat of the World...;Chargement de la carte (Création des ombres)...;Karte wird geladen (Shader-Erstellung) ...;;Cargando mapa(Creando shaders)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Exploring Skyrim...;Chargement de la carte (Création du terrain)...;Karte wird geladen (Gelände-Erstellung) ...;;Cargando mapa(Creando terreno)...;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Mapping Morrowind...;Chargement de la carte (Création des frontières)...;Karte wird geladen (Grenzen-Erstellung) ...;;Cargando mapa(Creando bordes)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Using Dibella's Paints...;Chargement de la carte (Création des textures)...;Karte wird geladen (Texturen-Erstellung) ...;;Cargando mapa(Creando texturas)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Exploring Valenwood...;Chargement de la carte (Création des arbres)...;Karte wird geladen (Baum-Erstellung) ...;;Cargando mapa(Creando árboles)...;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Charting Rivers...;Chargement de la carte (Création des rivières)...;Karte wird geladen (Fluss-Erstellung) ...;;Cargando mapa(Creando ríos)...;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Conjuring Objects...;Chargement de la carte (Création des objets)...;Karte wird geladen (Objekt-Erstellung) ...;;Cargando mapa (Creando objetos)...;;;;;;;;;x
LOADING_CALC_NAVAL;Preparing the Fleets...;Calcul de la portée navale…;Berechnnung der Flotten-Reichweiten…;;Calculando Distancias Navales…;;;;;;;;;x
LOAD_INIT;Preparing for Battle...;Initialisation du jeu...;Spiel wird initialisiert ...;;Inicializando juego...;;;;;;;;;x
LOADING_GAME;Entering Tamriel...;Charger partie;Spiel wird geladen;;Cargando juego;;;;;;;;;x
LOADING_TIP_0;Great Works in Elder Kings require you to hold them as your capital, or appoint a caretaker after building the relevant feature.;;;;;;;;;;;;;x
LOADING_TIP_1;Orgnum's Coffer will eventually abandon you, unless you are Orgnum himself or one of his descendants!;;;;;;;;;;;;;x
