d_boethiaschosen;Boethiah's Chosen;;;;;;;;;;;;;x
d_boethiaschosen_adj;Boethian;;;;;;;;;;;;;x
d_championsofmalacath;Champions of Malacath;;;;;;;;;;;;;x
d_championsofmalacath_adj;Malacathian;;;;;;;;;;;;;x
d_handsofalmalexia;Hands of Almalexia;;;;;;;;;;;;;x
d_handsofalmalexia_adj;Almalexian;;;;;;;;;;;;;x
d_knightsmentor;Knights Mentor;;;;;;;;;;;;;x
d_knightsmentor_adj;Knights Mentor;;;;;;;;;;;;;x
d_knightsofiron;Knights of Iron;;;;;;;;;;;;;x
d_knightsofiron_adj;Knights of Iron;;;;;;;;;;;;;x
d_knightsoforder;Knights of Order;;;;;;;;;;;;;x
d_knightsoforder_adj;Order;;;;;;;;;;;;;x
d_knightsofthecircle;Knights of the Circle;;;;;;;;;;;;;x
d_knightsofthecircle_adj;Circle;;;;;;;;;;;;;x
d_knightsofthenine;Knights of the Nine;;;;;;;;;;;;;x
d_knightsofthenine_adj;Knights of the Nine;;;;;;;;;;;;;x
d_kynaranorder;Kynaran Order;;;;;;;;;;;;;x
d_kynaranorder_adj;Kynaran;;;;;;;;;;;;;x
d_maranknights;Maran Knights;;;;;;;;;;;;;x
d_maranknights_adj;Maran;;;;;;;;;;;;;x
d_mythicdawncultists;Mythic Dawn Cultists;;;;;;;;;;;;;x
d_mythicdawncultists_adj;Cultist;;;;;;;;;;;;;x
d_nerevarinecultists;Nerevarine Cultists;;;;;;;;;;;;;x
d_nerevarinecultists_adj;Cultist;;;;;;;;;;;;;x
d_orderofthehour;Order of the Hour;;;;;;;;;;;;;x
d_orderofthehour_adj;Hourly;;;;;;;;;;;;;x
d_orderofthelily;Order of the Lily;;;;;;;;;;;;;x
d_orderofthelily_adj;Lillian;;;;;;;;;;;;;x
d_buoyantarmiger;Buoyant Armigers;;;;;;;;;;;;;x
d_buoyantarmiger_adj;Buoyant Armigers;;;;;;;;;;;;;x
c_adventurers_of_skyrim;Adventurers of Skyrim;;;;;;;;;;;;;x
c_adventurers_of_skyrim_adj;Skyrim Adventurer;;;;;;;;;;;;;x
d_stormfist_brigade;The Stormfist Brigade;;;;;;;;;;;;;x
d_stormfist_brigade_adj;Stormfist Brigade;;;;;;;;;;;;;x
