#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
city_obligations;Burgher Obligations;;;;;;;;;;;;;x
city_obligations_0;Minimal Burgher Obligations;;;;;;;;;;;;;x
city_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;;;;;;;;;;;;x
city_obligations_0_option;Min;;;;;;;;;;;;;x
city_obligations_1;Low Burgher Obligations;;;;;;;;;;;;;x
city_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;;;;;;;;;;;;x
city_obligations_1_option;Low;;;;;;;;;;;;;x
city_obligations_2;Medium Burgher Obligations;;;;;;;;;;;;;x
city_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;;;;;;;;;;;;x
city_obligations_2_option;Medium;;;;;;;;;;;;;x
city_obligations_3;High Burgher Obligations;;;;;;;;;;;;;x
city_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;;;;;;;;;;;;x
city_obligations_3_option;High;;;;;;;;;;;;x
city_obligations_4;Harsh Burgher Obligations;;;;;;;;;;;;;x
city_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;;;;;;;;;;;;x
city_obligations_4_option;Harsh;;;;;;;;;;;;;x
city_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;;;;;;;;;;;;x
city_slider;Burgher Focus;;;;;;;;;;;;;x
city_slider_0;Highly Levy-Oriented Burgher Focus;;;;;;;;;;;;;x
city_slider_0_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;;;;;;;;;;;;x
city_slider_0_option;Levies++;;;;;;;;;;;;;x
city_slider_1;Moderately Levy-Oriented Burgher Focus;;;;;;;;;;;;;x
city_slider_1_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;;;;;;;;;;;;x
city_slider_1_option;Levies+;;;;;;;;;;;;;x
city_slider_2;Balanced Burgher Focus;;;;;;;;;;;;;x
city_slider_2_desc;Burgher Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;;;;;;;;;;;;x
city_slider_2_option;Balanced;;;;;;;;;;;;;x
city_slider_3;Moderately Tax-Oriented Burgher Focus;;;;;;;;;;;;;x
city_slider_3_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;;;;;;;;;;;;x
city_slider_3_option;Taxes+;;;;;;;;;;;;;x
city_slider_4;Highly Tax-Oriented Burgher Focus;;;;;;;;;;;;;x
city_slider_4_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;;;;;;;;;;;;x
city_slider_4_option;Taxes++;;;;;;;;;;;;;x
city_slider_desc;Burgher Focus changes the composition of their obligations to you.;;;;;;;;;;;;;x
crown_levies;Crown Levies;;;;;;;;;;;;;x
crown_levies_0;No Crown Levies;;;;;;;;;;;;;x
crown_levies_0_desc;Crown Levies dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies. As you increase your levy laws your vassals will become less happy with you, and might even rebel or plot to reduce the crown levies. This level will not give you any crown levies.;;;;;;;;;;;;;x
crown_levies_0_option;None;;;;;;;;;;;;;x
crown_levies_1;Low Crown Levies;;;;;;;;;;;;;x
crown_levies_1_desc;Crown Levies dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies. As you increase your levy laws your vassals will become less happy with you, and might even rebel or plot to reduce the crown levies. This level will give you 5% higher crown levies.;;;;;;;;;;;;;x
crown_levies_1_option;Low;;;;;;;;;;;;;x
