d_sabercats;Sabrecats;;;;;;;;;;;;;x
d_sabercats_adj;Sabrecat;;;;;;;;;;;;;x
sabercat_upgrade_a1;Weapon Upgrade I;;;;;;;;;;;;;x
sabercat_upgrade_a1_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a2;Weapon Upgrade II;;;;;;;;;;;;;x
sabercat_upgrade_a2_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a3;Weapon Upgrade III;;;;;;;;;;;;;x
sabercat_upgrade_a3_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a4;Weapon Upgrade IV;;;;;;;;;;;;;x
sabercat_upgrade_a4_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a5;Weapon Upgrade V;;;;;;;;;;;;;x
sabercat_upgrade_a5_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a6;Weapon Upgrade VI;;;;;;;;;;;;;x
sabercat_upgrade_a6_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a7;Weapon Upgrade VII;;;;;;;;;;;;;x
sabercat_upgrade_a7_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_a8;Weapon Upgrade VIII;;;;;;;;;;;;;x
sabercat_upgrade_a8_desc;Upgrade the weapons of the Sabrecat Mercenaries, which will improve their damage.;;;;;;;;;;;;;x
sabercat_upgrade_b1;Armour Upgrade I;;;;;;;;;;;;;x
sabercat_upgrade_b1_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b2;Armour Upgrade II;;;;;;;;;;;;;x
sabercat_upgrade_b2_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b3;Armour Upgrade III;;;;;;;;;;;;;x
sabercat_upgrade_b3_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b4;Armour Upgrade IV;;;;;;;;;;;;;x
sabercat_upgrade_b4_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b5;Armour Upgrade V;;;;;;;;;;;;;x
sabercat_upgrade_b5_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b6;Armour Upgrade VI;;;;;;;;;;;;;x
sabercat_upgrade_b6_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
sabercat_upgrade_b7;Armour Upgrade VII;;;;;;;;;;;;;x
sabercat_upgrade_b7_desc;Upgrade the Armour of the Sabrecat Mercenaries, which will improve their durability.;;;;;;;;;;;;;x
