2reach;Hold any 2 of the Reachmen Kingdoms (Bleakwind, Eastreach, Karthspire, Markarth, Ravenhall).;;;;;;;;;;;;;x
38450desc;Sometimes sacrifices must be made in the pursuit of a worthy goal, and there are more important things to consider than the opinions of those without the conviction to make the sacrifices. Let them hate me, so long as they obey me.;;;;;;;;;;;;;x
38450option;I have become a tyrant.;;;;;;;;;;;;;x
38451desc;Today I reflected on what future generations would think of my actions. Do the ends really justify the means? Perhaps I have a duty to use my power responsibly?;;;;;;;;;;;;;x
38451option;I am no longer a tyrant.;;;;;;;;;;;;;x
pankratosword_province_mild;Corrupted (Atomos Corruption);;;;;;;;;;;;;x
pankratosword_province_harsh;Devastated (Atomos Corruption);;;;;;;;;;;;;x
spdtt;Must belong to a religion with patron deities.;;;;;;;;;;;;;x
convert_confederacy;Form a Confederacy;;;;;;;;;;;;;x
convert_confederacy_desc;Change your government to a Confederacy, giving greater autonomy to the lesser lords.;;;;;;;;;;;;;x
abandon_leader_trait;Abandon Leader Trait;;;;;;;;;;;;;x
abandon_leader_trait_desc;Abandon your military expertise trait in the hope of achieving a new one.;;;;;;;;;;;;;x
cancel_convert_province;Stop Conversion;;;;;;;;;;;;;x
cancel_convert_province_desc;Stop all attempts to subtle convert this provinces to your culture and religion.;;;;;;;;;;;;;x
requisitioned_fishing_ships_cooldown_timer;Requisitioned Fishing Ships;;;;;;;;;;;;;x
requisition_fishing_ships;Requisition Fishing Ships;;;;;;;;;;;;;x
requisition_fishing_boats;Requisition Fishing Ships;;;;;;;;;;;;;x
requisition_fishing_boats_desc;We are at war, it's only fair that we may order the local fishers to lend their boats to our army.;;;;;;;;;;;;;x
rfsct;Has not recently requisitioned fishing ships.;;;;;;;;;;;;;x
plot_theft_success;Successfully steal an artifact.;;;;;;;;;;;;;x
pankratosword_province_permanent;Wasteland (Atomos Corruption);;;;;;;;;;;;;x
ekanseiaftereffects_mild;Those who survived but bore witness to the Pankratosword will yet suffer, either robbed of their sight by its brilliance or burned by its scorching touch and even those that hid from it may yet fall victim to a mysterious sickness.\nThe land too will suffer for a time as the corruption wrought by the stonemagick seaps into the bedrock, though it will with time eventually recover.;;;;;;;;;;;;;x
ekanseiaftereffects_harsh;Those who survived but bore witness to the Pankratosword will yet suffer, either robbed of their sight by its brilliance or burned by its scorching touch and even those that hid from it may yet fall victim to a mysterious sickness.\nThe land too will suffer for generations as the corruption wrought by the stonemagick seaps into the bedrock, though it will one day in the far future recover.;;;;;;;;;;;;;x
ekanseiaftereffects_permanent;If any survived the horrific power of the Pankratosword, they will yet suffer for their impudence. If they bore witness to its brilliance they will find themselves robbed of their sight, if they felt the edge of its searing embrace they will find their skin burned and bubbled, and even those shielded from the Pankratosword may yet suffer from a mysterious illness.\nThe sheer awesome power unleashed however will have far worse effects upon the land, anything that once grew here will wither and die, the animals will flee and nothing will ever return lest it wish to taste the metallic embrace of the lingering stonemagick.;;;;;;;;;;;;;x
38452desc;I could have sworn I left my spectacles around here somewhere. Wait, what's that on my head? Ah, here they are.;;;;;;;;;;;;;x
38452option;I have become absent minded.;;;;;;;;;;;;;x
ekansei.100.d1;Utilising the techniques of the Hirdirge, [Root.GetBestName] has unmade the rules of nature. Those within the blast of energy will have neither felt nor seen the terrifying power as their flesh and bones were vaporised instantaneously, along with everything and everyone else in the province including [Root.GetBestName]. While nowhere near as powerful as the combined Hirdirge Pankratosword that sank Yokuda, the power unleashed here has been truely devastating, scarring the landscape forever and corrupting even neighbouring provinces, an eerie silence now lays across the affected land, all manner of beasts and insects having died or fled. Those few individuals who have managed to survive the annihilation can scarcely be called lucky, for none escaped entirely unscathed. Those not blinded by the flash will suffer from pains and sickness for the remainder of their lives, a sickness not even the most powerful of Magicks can cure.;;;;;;;;;;;;;x
