CUSTOM_TITLES;CUSTOM_TITLES;CUSTOM_TITLES;CUSTOM_TITLES;;CUSTOM_TITLES;;;;;;;;;x
lord;Lord;;;;;;;;;;;;;x
lady;Lady;;;;;;;;;;;;;x
sir;Sir;;;;;;;;;;;;;x
dame;Dame;;;;;;;;;;;;;x
title_cardinal;Canon;;;;;;;;;;;;;x
magus_general;Magus-General;;;;;;;;;;;;;x
sybil;Sybil;;;;;;;;;;;;;x
beckoner;Beckoner;;;;;;;;;;;;;x
brander;Brander;;;;;;;;;;;;;x
title_genghis;Genghis;;;;;;;;;;;;;x
hortator;Hortator;;;;;;;;;;;;;x
elder;Elder;;;;;;;;;;;;;x
archmagister_emeritus;Archmagister-Emeritus;;;;;;;;;;;;;x
hegemon;Hegemon;;;;;;;;;;;;;x
primate;Primate;;;;;;;;;;;;;x
ulema;Ulema;;;;;;;;;;;;;x
despot;Despot;;;;;;;;;;;;;x
headmaestro;Headmaestro;;;;;;;;;;;;;x
tyrant;Tyrant;;;;;;;;;;;;;x
overseer;Overseer;;;;;;;;;;;;;x
maestro;Maestro;;;;;;;;;;;;;x
maestra;Maestra;;;;;;;;;;;;;x
alimah;Alimah;;;;;;;;;;;;;x
adept;Adept;;;;;;;;;;;;;x
first_sword;First-Sword;;;;;;;;;;;;;x
sister;Sister;;;;;;;;;;;;;x
brother;Brother;;;;;;;;;;;;;x
mouth;Mouth;;;;;;;;;;;;;x
lawman;Lawkeeper;;;;;;;;;;;;;x
lawwoman;Lawwoman;;;;;;;;;;;;;x
diener;Diener;;;;;;;;;;;;;x
forgotten_mane;Forgotten Mane;;;;;;;;;;;;;x
clan_mother;Clan Mother;;;;;;;;;;;;;x
envoy_scholar;Envoy-Scholar;;;;;;;;;;;;;x
headsman;Headsman;;;;;;;;;;;;;x
hegemona;Hegemona;;;;;;;;;;;;;x
chief;Chief;;;;;;;;;;;;;x
chieftess;Chieftess;;;;;;;;;;;;;x
