alch_potion_of_chameleon;Potion of Chameleon;;;;;;;;;;;;;x
alch_potion_of_chameleon_desc;Imbibe a Potion of Chameleon, which drastically increases your plot power for its duration.;;;;;;;;;;;;;x
alch_potion_of_longevity;Potion of Longevity;;;;;;;;;;;;;x
alch_potion_of_longevity_desc;Imbibe a Potion of Longevity, temporarily lowering your Health, but permanently increasing your Health by a lesser amount.;;;;;;;;;;;;;x
alch_potion_of_fortify_health;Potion of Fortify Health;;;;;;;;;;;;;x
alch_potion_of_fortify_health_desc;Imbibe a Potion of Fortify Health, greatly increasing your Health for a limited time.;;;;;;;;;;;;;x
alch_potion_of_virility;Potion of Virility;;;;;;;;;;;;;x
alch_potion_of_virility_desc;Imbibe a Potion of Virility for a temporary fertility boost.;;;;;;;;;;;;;x
alch_potion_of_fortify_strength;Potion of Fortify Strength;;;;;;;;;;;;;x
alch_potion_of_fortify_strength_desc;Imbibe a Potion of Fortify Strength, temporarily heightening your Combat Skill and Martial attribute.;;;;;;;;;;;;;x
alch_potion_of_fortify_personality;Potion of Fortify Personality;;;;;;;;;;;;;x
alch_potion_of_fortify_personality_desc;Imbibe a Potion of Fortify Personality, which raises your Diplomacy attribute and makes you more popular with all other characters while it persists.;;;;;;;;;;;;;x
alch_potion_of_fortify_luck;Potion of Fortify Luck;;;;;;;;;;;;;x
alch_potion_of_fortify_luck_desc;Imbibe a Potion of Fortify Luck, augmenting your Stewardship attribute for a limited duration.;;;;;;;;;;;;;x
alch_potion_of_fortify_intelligence;Potion of Fortify Intelligence;;;;;;;;;;;;;x
alch_potion_of_fortify_intelligence_desc;Imbibe a Potion of Fortify Intelligence, which temporarily raises your Learning attribute.;;;;;;;;;;;;;x
alch_potion_of_fortify_agility;Potion of Fortify Agility;;;;;;;;;;;;;x
alch_potion_of_fortify_agility_desc;Imbibe a Potion of Fortify Agility to improve your Intrigue attribute for a short time.;;;;;;;;;;;;;x
alch_potion_of_regeneration;Draught of Regeneration;;;;;;;;;;;;;x
alch_potion_of_regeneration_desc;Imbibe a Draught of Regeneration, encouraging much of your body's resources to mending your broken physique, but at great and lasting cost to your personal health.;;;;;;;;;;;;;x
alch_potion_of_genderswap;Transformative Elixir;;;;;;;;;;;;;x
alch_potion_of_genderswap_desc;Imbibe a Transformative Elixir, alchemically reconfiguring your body to that of the opposite sex. Be warned, such an advanced concoction comes with great risk. (Developer's note: This potion may undergo major revisions in the future. Current implementation should be considered a proof-of-concept, and feedback is appreciated. -Ev P.S. Yes this is lore-friendly.);;;;;;;;;;;;;x
chugged_it_down_innit_bruv;Not under the effects of any other Potion;;;;;;;;;;;;;x
underpotioneffect;Not under the effects of any other Potion;;;;;;;;;;;;;x
modifier_bad_potion;Spoiled Potion;;;;;;;;;;;;;x
modifier_bad_potion_desc;[Root.GetDynName] has taken a spoiled potion, and is feeling quite ill as a result.;;;;;;;;;;;;;x
modifier_potion_of_chameleon;Potion of Chameleon;;;;;;;;;;;;;x
