assassination_decision;Assassinate;;;;;;;;;;;;;x
assassination_decision_desc;[Root.GetBestName] is a threat to my ambitions. The time has come for [Root.GetHerHim] to no longer be a problem!;;;;;;;;;;;;;x
hire_morag_tong;Hire the Morag Tong;;;;;;;;;;;;;x
hire_morag_tong_desc;[From.GetBestName] is a threat to your ambitions. The Morag Tong was able to topple the Reman Empire, so why shouldn't they be able to ease your concerns?;;;;;;;;;;;;;x
assassination.desc.1;There are many options I can pursue in eliminating [From.GetBestName]. How shall I proceed?;;;;;;;;;;;;;x
assassination.1.opta;I shall hire the [murder_guild.GetName].;;;;;;;;;;;;;x
ASSASSINATION_COST_GUILD_CT;This will cost me §Y[local_assassination_price.GetValue]§! gold.;;;;;;;;;;;;;x
assassination.1.opta2;I am a member of the [murder_guild.GetName]. I'll do it myself!;;;;;;;;;;;;;x
ASSASSINATION_COST_YOURSELF_CT;This will cost me §Y[local_assassination_price_self.GetValue]§! gold.;;;;;;;;;;;;;x
assassination.1.optOther;Some hired muscle should solve matters.;;;;;;;;;;;;;x
ASSASSINATION_COST_GOONS_CT;This will cost me §Y[local_assassination_price_goons.GetValue]§! gold.;;;;;;;;;;;;;x
assassination.1.wrap;(more options);;;;;;;;;;;;;x
assassination.2.decline;I've changed my mind.;;;;;;;;;;;;;x
assassination.30.descDB;All is prepared. I have assembled the effigy, collected the needed body parts, nightshade, and now stand over the ritual with a dagger in hand.;;;;;;;;;;;;;x
assassination.30.descOther;The meeting with the [murder_guild.GetName] contact has been arranged. I have the gold in hand and now need only finalize the deal to put an end to my target's life, once and for all.;;;;;;;;;;;;;x
assassination.aDB.30;Sweet Mother, sweet Mother...;;;;;;;;;;;;;x
assassination.aOther.30;You have yourself a deal!;;;;;;;;;;;;;x
assassination.b.30;On second thought, maybe I shouldn't.;;;;;;;;;;;;;x
assassination.desc.33;The [murder_guild.GetName] has informed me that the assassin sent to dispatch [From.GetBestName] was forced to flee before they could make an attempt on [From.GetHerHis] life.;;;;;;;;;;;;;x
assassination.a.33;I suppose I'll have to try again.;;;;;;;;;;;;;x
assassination.desc.34;The [murder_guild.GetName] has informed me that the assassin sent to dispatch [From.GetBestName] was captured, and was forced to reveal that I paid for the assassination attempt!;;;;;;;;;;;;;x
assassination.a.34;Exactly what am I paying them for?!;;;;;;;;;;;;;x
assassination.desc.35;When I was alone for a moment, I saw a shadowy figure with their face hidden under a cowl, glancing at me and drawing a dagger! I called for my guards, but the would-be assassin made a hasty exit before they arrived.;;;;;;;;;;;;;x
assassination.a.35;That was close!;;;;;;;;;;;;;x
assassination.desc.36;When I was alone for a moment, I saw a shadowy figure with their face hidden under a cowl, glancing at me and drawing a dagger! I called for my guards, who were able to corner and interrogate the assassin before they could escape. They revealed that [From.GetBestName] hired them!;;;;;;;;;;;;;x
assassination.a.36;[From.GetFirstName] is going to pay for this!;;;;;;;;;;;;;x
assassination.desc.41;The [murder_guild.GetName] has reported the successful murder of [From.GetBestName].;;;;;;;;;;;;;x
assassination.a.41;Excellent.;;;;;;;;;;;;;x
assassination.desc.42;The [murder_guild.GetName] has reported the successful murder of [From.GetBestName]. However, in the process their agent was captured and revealed my identity.;;;;;;;;;;;;;x
assassination.a.42;Incompetent fool!;;;;;;;;;;;;;x
assassination.desc.43;The [murder_guild.GetName] has reported that [From.GetBestName] survived their attack, but was wounded in their attempt.;;;;;;;;;;;;;x
assassination.a.43;It's better than nothing, I suppose.;;;;;;;;;;;;;x
assassination.desc.44;The [murder_guild.GetName] has reported that [From.GetBestName] was wounded in the attack, but has acquired information indicating my responsibility in orchestrating it.;;;;;;;;;;;;;x
assassination.a.44;Worthless buffoons!;;;;;;;;;;;;;x
