cultural_advancements;Cultural Advancements;;;;;;;;;;;;;x
blackreach_trade;Blackreach Trade;;;;;;;;;;;;;x
blackreach_we_found_a_cave;My liege, we found a deep cave that might lead to riches, would you like to gather adventurers to send them to depths?;;;;;;;;;;;;;x
EVTOPTAblackreach11;Gather them.;;;;;;;;;;;;;x
EVTOPTAblackreach12;This might kill them. Don't gather anyone.;;;;;;;;;;;;;x
blackreach_adventurers_gathered_now;Adventurers gathered, my liege. Are you sure that you want to send them beneath?;;;;;;;;;;;;;x
EVTOPTAblackreach21;Lets see how the caves can benefit us.;;;;;;;;;;;;;x
EVTOPTAblackreach22;I've changed my mind. Get the money back and send them home.;;;;;;;;;;;;;x
blackreach_adventurers_died;Horrible news! Nobody heard from your adventurers that went to cave. Probably they died inside the cave… ;;;;;;;;;;;;;x
EVTOPTAblackreach31;Damn.;;;;;;;;;;;;;x
blackreach_adventurers_low_gold;My liege! Some of the adventurers came back. They got have some gold back from their quest but it doesn't even pay for our expenses.;;;;;;;;;;;;;x
EVTOPTAblackreach41;I don't know what I expected.;;;;;;;;;;;;;x
blackreach_adventurers_medium_gold;My liege! Adventurers are back from Blackreach with lots of gold! ;;;;;;;;;;;;;x
EVTOPTAblackreach51;Not as much as I'd like but… all right.;;;;;;;;;;;;;x
blackreach_adventurers_medium_gold_tech_boost;My liege! Adventurers are back from Blackreach with lots of gold and some Dwemer artifacts! These might help us develop our country! ;;;;;;;;;;;;;x
EVTOPTAblackreach61;Its worth it… I think?;;;;;;;;;;;;;x
blackreach_adventurers_large_gold_tech_boost;My liege! Adventurers are back from Blackreach with great treasures and some Dwemer artifacts! These might help us develop our country! ;;;;;;;;;;;;;x
EVTOPTAblackreach71;Awesome.;;;;;;;;;;;;;x
blackreach_adventurers_settlement;My liege! Adventurers found a good place to camp, now that place is turned into a little settlement with a mining team! They are sending us ores and Dwemer artifacts every day!;;;;;;;;;;;;;x
EVTOPTAblackreach81;Is this a dream?;;;;;;;;;;;;;x
