ca_akaviridaikatanadrillyard_0;Akaviri Dai-Katana Drill Yard;;;;;;;;;;;;;x
ca_akaviridaikatanadrillyard_1;Akaviri Dai-Katana Drill Yard;;;;;;;;;;;;;x
ca_akaviridaikatanadrillyard_desc;The Dai-Katana is one of the most terrifying weapons on Nirn, capable of effortlessly shearing through enemy armour and lines of troops when wielded by a fine swordsmen. This drill yard is equipped with a few such master swordsmen, who train younger warriors in the ways of wielding this weapon to maximal effect.;;;;;;;;;;;;;x
ca_akavirifletcher_0;Akaviri Fletcher;;;;;;;;;;;;;x
ca_akavirifletcher_1;Akaviri Fletcher;;;;;;;;;;;;;x
ca_akavirifletcher_2;Akaviri Fletcher;;;;;;;;;;;;;x
ca_akavirifletcher_desc;The bow is a very popular weapon among the Akaviri, who can use it to tremendous effect in battles to pick off enemy officers or mages, and cover advancing allies. This fletcher produces a variety of high-quality arrows to keep local archers well-supplied for combat.;;;;;;;;;;;;;x
ca_akavirispearyard_0;Akaviri Spear Quarters;;;;;;;;;;;;;x
ca_akavirispearyard_1;Akaviri Spear Quarters;;;;;;;;;;;;;x
ca_akavirispearyard_2;Akaviri Spear Quarters;;;;;;;;;;;;;x
ca_akavirispearyard_desc;Many Akaviri troops are skilled with the spear, partially because of its usefulness in defending against hostile Tsaesci raids, but also for covering friendly archers. A squad of spearmen are housed at these quarters, and constantly train in defensive tactics to protect their settlement and allied troops from cavalry and infantry.;;;;;;;;;;;;;x
ca_altmerartschool_0;School of the Arts;;;;;;;;;;;;;x
ca_altmerartschool_1;School of the Arts;;;;;;;;;;;;;x
ca_altmerartschool_desc;Education is considered especially important in the culture of the Altmer, and teachers are among the most respected members of Altmer society. This school is dedicated to the instruction of local students in matters such as history, language, religion, poetry, music, calligraphy, etiquette and the arcane arts. Some of the faculty are capable mages and will fight for their liege if necessary.;;;;;;;;;;;;;x
ca_altmercastlemages_0;Altmer Mage Quarters;;;;;;;;;;;;;x
ca_altmercastlemages_1;Altmer Mage Quarters;;;;;;;;;;;;;x
ca_altmercastlemages_2;Altmer Mage Quarters;;;;;;;;;;;;;x
ca_altmercastlemages_3;Altmer Mage Quarters;;;;;;;;;;;;;x
tp_shrine_azura;Shrine of Azura;;;;;;;;;;;;;x
tp_shrine_azura_desc;A shrine dedicated to Azura, Daedric Prince of dusk and dawn.;;;;;;;;;;;;;x
tp_shrine_boethiah;Shrine of Boethiah;;;;;;;;;;;;;x
tp_shrine_boethiah_desc;A shrine dedicated to Boethiah, Daedric Prince of deceit, treachery, conspiracy and sedition.;;;;;;;;;;;;;x
tp_shrine_clavicus;Shrine of Clavicus Vile;;;;;;;;;;;;;x
tp_shrine_clavicus_desc;A shrine dedicated to Clavicus Vile, Daedric Prince of wishes and trickery.;;;;;;;;;;;;;x
tp_shrine_hermaeus;Shrine of Hermaeus Mora;;;;;;;;;;;;;x
tp_shrine_hermaeus_desc;A shrine dedicated to Hermaeus Mora, Daedric Prince of memory and knowledge.;;;;;;;;;;;;;x
tp_shrine_hircine;Shrine of Hircine;;;;;;;;;;;;;x
tp_shrine_hircine_desc;A shrine dedicated to Hircine, Daedric Prince of the hunt and father of the werebeasts.;;;;;;;;;;;;;x
tp_shrine_jyggalag;Shrine of Jyggalag;;;;;;;;;;;;;x
tp_shrine_jyggalag_desc;A shrine dedicated to Jyggalag, Daedric Prince of order and logic.;;;;;;;;;;;;;x
tp_shrine_malacath;Shrine of Malacath;;;;;;;;;;;;;x
tp_shrine_malacath_desc;A shrine dedicated to Malacath, Daedric Prince of the spurned and the ostracized.;;;;;;;;;;;;;x
tp_shrine_mehrunes;Shrine of Mehrunes Dagon;;;;;;;;;;;;;x
tp_shrine_mehrunes_desc;A shrine dedicated to Mehrunes Dagon, Daedric Prince of destruction, revolution, change, energy and ambition.;;;;;;;;;;;;;x
tp_shrine_mephala;Shrine of Mephala;;;;;;;;;;;;;x
tp_shrine_mephala_desc;A shrine dedicated to Mephala, Daedric Prince of sex, murder and secret.;;;;;;;;;;;;;x
tp_shrine_meridia;Shrine of Meridia;;;;;;;;;;;;;x
tp_shrine_meridia_desc;A shrine dedicated to Meridia, Daedric Prince of life and bane of the undead.;;;;;;;;;;;;;x
tp_shrine_molag;Shrine of Molag Bal;;;;;;;;;;;;;x
tp_shrine_molag_desc;A shrine dedicated to Molag Bal, Daedric Prince of domination and father of the vampires.;;;;;;;;;;;;;x
tp_shrine_namira;Shrine of Namira;;;;;;;;;;;;;x
tp_shrine_namira_desc;A shrine dedicated to Namira, Daedric Prince of darkness and disgust.;;;;;;;;;;;;;x
tp_shrine_nocturnal;Shrine of Nocturnal;;;;;;;;;;;;;x
