January;Morning Star (1);;Morgenstern (1);;;;;;;;;;;x
February;Sun's Dawn (2);;Morgenröte (2);;;;;;;;;;;x
March;First Seed (3);;Erstsaat (3);;;;;;;;;;;x
April;Rain's Hand (4);;Regenhand (4);;;;;;;;;;;x
May;Second Seed (5);;Zweitsaat (5);;;;;;;;;;;x
June;Midyear (6);;Mittjahr (6);;;;;;;;;;;x
July;Sun's Height (7);;Sonnenhöhe (7);;;;;;;;;;;x
August;Last Seed (8);;Herbstsaat (8);;;;;;;;;;;x
September;Hearthfire (9);;Herdfeuer (9);;;;;;;;;;;x
October;Frostfall (10);;Eisherbst (10);;;;;;;;;;;x
November;Sun's Dusk (11);;Abenddämmerung (11);;;;;;;;;;;x
December;Evening Star (12);;Abendstern (12);;;;;;;;;;;x
Monday;Morndas;;Morndas;;;;;;;;;;;x
Tuesday;Tirdas;;Tirdas;;;;;;;;;;;x
Wednesday;Middas;;Middas;;;;;;;;;;;x
Thursday;Turdas;;Turdas;;;;;;;;;;;x
Friday;Fredas;;Fredas;;;;;;;;;;;x
Saturday;Loredas;;Loredas;;;;;;;;;;;x
Sunday;Sundas;;Sundas;;;;;;;;;;;x
