gifted_bauble;Gifted Bauble;;;;;;;;;;;;;x
TRAIT_OPINION_ZORO;Khajiiti Opinion: $VALUE$;;;;;;;;;;;;;x
sea_worship_DESC;The islanders of Quey discreetly worship a small collection of Daedric Princes who they deem to be the inexplicable true gods of Nirn. These Quey gods play the deities of other races against each other in order to further their unfathomable goals. Each island of the Quey has numerous names for each Prince, but they are commonly known in Tamriel as Hermaeus Mora, Sheogorath, Vaermina, Nocturnal, and Mephala. The Quey serve the Daedra in order to gain personal power and fully accept that their gods are malevolent. For how insignificant is a mortal's desire when compared to a god's? Of the Princes, Hermaeus Mora is by far the most popular. He is personified by the local Quey Kraken, a creature almost as elusive and powerful as the Inevitable Knower himself.;;;;;;;;;;;;;x
obj_become_high_king_desc;[This.GetTitledFirstName] seeks to gain a High Kingdom.;;;;;;;;;;;;;x
obj_become_high_king_title;Become a High King;;;;;;;;;;;;;x
obj_become_high_king_tip;Is High-[Root.GetKingQueen];;;;;;;;;;;;;x
opinion_stole_throne;Stole Throne;;;;;;;;;;;;;x
opinion_in_agreement;In Agreement;;;;;;;;;;;;;x
eso.title.1;High King Hidellith is Gone;;;;;;;;;;;;;x
eso.desc.1;High King Hidellith, first of his name has passed from this world. Shortly afterwards, his daughter, Ayrenn, has miraculously returned after disappearing for many years. As the eldest heir, she has a stronger claim than Prince Naemon. The High Justicar consults the ancient laws of the Aldmeris and decides...;;;;;;;;;;;;;x
eso.opt.1;Ayrenn is the rightful heir!;;;;;;;;;;;;;x
eso.title.2;A Stolen Throne;;;;;;;;;;;;;x
eso.desc.2;You, Prince Naemon, have been preparing yourself as High King for years. Does Ayrenn think she can just come back and steal your throne from you?;;;;;;;;;;;;;x
eso.opt.2;How dare she do this to me!;;;;;;;;;;;;;x
eso.opt.3;Live and let live.;;;;;;;;;;;;;x
eso.title.3;A Stolen Throne;;;;;;;;;;;;;x
eso.desc.3;Your husband, Prince Naemon, has been preparing himself as High King for years. Ayrenn coming back and stealing the throne has infuriated him. Shall you support his future endeavours against her?;;;;;;;;;;;;;x
eso.opt.4;That throne is rightfully ours!;;;;;;;;;;;;;x
eso.opt.5;Sorry, I really don't care;;;;;;;;;;;;;x
eso.title.4;A Stolen Throne;;;;;;;;;;;;;x
eso.desc.4;Your husband, Prince Naemon, has been preparing himself as High King for years. Ayrenn coming back and stealing the throne does not seem to bother him. Shall you also sit back and allow this injustice?;;;;;;;;;;;;;x
eso.opt.6;He is a fool!;;;;;;;;;;;;;x
eso.opt.7;If he doesn't care, neither do I;;;;;;;;;;;;;x
eso.title.5;The Unforeseen Queen;;;;;;;;;;;;;x
eso.desc.5;After being presumed dead for over a decade, Princess Ayrenn has returned to Alinor upon the death of her father and become High Queen of Summerset. Ayrenn has grown into an impressive individual, competent and skilled. The songs of commoners' praises in the streets are deafening while many princes and princesses of Alinor have high expectations of her rule.;;;;;;;;;;;;;x
eso.opt.8;All hail High Queen Ayreen, the Unforeseen Queen!;;;;;;;;;;;;;x
eso.opt.9;This upstart is no Queen of mine!;;;;;;;;;;;;;x
eso.opt.10;She will be one to look out for.;;;;;;;;;;;;;x
slaveraido4;I will spare them...this time;;;;;;;;;;;;;x
GOD_LIVING_GODS;The Living Gods;;;;;;;;;;;;;x
GOD_GOOD_DAEDRA;The Good Daedra;;;;;;;;;;;;;x
nick_the_flower;the Flower;;;;;;;;;;;;;x
nick_the_jewel;the Jewel;;;;;;;;;;;;;x
nick_the_star;the Star;;;;;;;;;;;;;x
