EDICTTOOLTIP;Edicts are a forced law change bypassing the legislative bodies of the realm and ignoring the wishes of all vassals. To enact them requires a strong, decisive or devious leader, or overwhelming popularity amongst your vassals.;;;;;;;;;;;;;x
EDICTISSUED;Issuing an Edict is considered a dishonourable and tyrannical action. Your opinion will suffer with your vassals for not only changing the law but doing so in such a tyrannical way.;;;;;;;;;;;;;x
force_crown_levy_1;Edict: Minimal Crown Levy;;;;;;;;;;;;;x
force_crown_levy_1_desc;Issue an Edict, establishing Minimal Crown Levy as a law of your realm.;;;;;;;;;;;;;x
NOWEAKRULER;To issue an edict, a ruler must not be weak, craven, slothful or content.;;;;;;;;;;;;;x
edict_dejure;Liege issued an Edict;;;;;;;;;;;;;x
edict_nondejure;Liege issued an Edict;;;;;;;;;;;;;x
edict_timer;Issued an Edict;;;;;;;;;;;;;x
edict_timer_desc;This ruler has recently issued an Edict. While the messengers are dispatched across the realm and the bureaucracy of the realm adjusts to the new rules, no further edicts may be issued.;;;;;;;;;;;;;x
force_crown_levy_2;Edict: Medium Crown Levy;;;;;;;;;;;;;x
force_crown_levy_2_desc;Issue an Edict, establishing Medium Crown Levy as a law of your realm.;;;;;;;;;;;;;x
force_crown_levy_3;Edict: High Crown Levy;;;;;;;;;;;;;x
force_crown_levy_3_desc;Issue an Edict, establishing High Crown Levy as a law of your realm.;;;;;;;;;;;;;x
force_crown_levy_4;Edict: Maximum Crown Levy;;;;;;;;;;;;;x
force_crown_levy_4_desc;Issue an Edict, establishing Maximum Crown Levy as a law of your realm.;;;;;;;;;;;;;x
force_merit_1;Edict: Meritocratic Leadership;;;;;;;;;;;;;x
force_merit_1_desc;Issue an Edict, establishing Meritocratic Leadership as a law of your realm.;;;;;;;;;;;;;x
force_merit_0;Edict: Aristocratic Leadership;;;;;;;;;;;;;x
force_merit_0_desc;Issue an Edict, establishing Aristocratic Leadership as a law of your realm.;;;;;;;;;;;;;x
force_king_peace_1;Edict: Internal King's Peace;;;;;;;;;;;;;x
force_king_peace_1_desc;Issue an Edict, establishing Internal King's Peace as a law of your realm.;;;;;;;;;;;;;x
force_king_peace_2;Edict: Total King's Peace;;;;;;;;;;;;;x
force_king_peace_2_desc;Issue an Edict, establishing Total King's Peace as a law of your realm.;;;;;;;;;;;;;x
force_tolerance_0;Edict: Tolerant Society;;;;;;;;;;;;;x
force_tolerance_0_desc;Issue an Edict, establishing Tolerant Society as a law of your realm.;;;;;;;;;;;;;x
force_tolerance_1;Edict: Conservative Society;;;;;;;;;;;;;x
force_tolerance_1_desc;Issue an Edict, establishing Conservative Society as a law of your realm.;;;;;;;;;;;;;x
force_tolerance_2;Edict: Intolerant Society;;;;;;;;;;;;;x
force_tolerance_2_desc;Issue an Edict, establishing Intolerant Society as a law of your realm.;;;;;;;;;;;;;x
force_revokation_1;Edict: Title Revocation;;;;;;;;;;;;;x
force_revokation_1_desc;Issue an Edict, establishing Title Revocation as a law of your realm.;;;;;;;;;;;;;x
force_revokation_2;Edict: Infidel Revocation;;;;;;;;;;;;;x
force_revokation_2_desc;Issue an Edict, establishing Infidel Revocation as a law of your realm.;;;;;;;;;;;;;x
force_slavery_0;Edict: Slavery Outlawed;;;;;;;;;;;;;x
force_slavery_0_desc;Issue an Edict, establishing Slavery Outlawed as a law of your realm.;;;;;;;;;;;;;x
force_slavery_1;Edict: Slavery Allowed;;;;;;;;;;;;;x
force_slavery_1_desc;Issue an Edict, establishing Slavery Allowed as a law of your realm.;;;;;;;;;;;;;x
force_inheritance_0;Edict: External Inheritance Allowed;;;;;;;;;;;;;x
force_inheritance_0_desc;Issue an Edict, establishing External Inheritance Allowed as a law of your realm.;;;;;;;;;;;;;x
force_inheritance_1;Edict: External Inheritance Disallowed;;;;;;;;;;;;;x
force_inheritance_1_desc;Issue an Edict, establishing Inheritance Disallowed as a law of your realm.;;;;;;;;;;;;;x
open_edicts;Open Edicts;;;;;;;;;;;;;x
open_edicts_desc;Display the available Edicts.;;;;;;;;;;;;;x
close_edicts;Close Edicts;;;;;;;;;;;;;x
close_edicts_desc;Close the Edicts display.;;;;;;;;;;;;;x
