kamal_pilgrimage_loot;Finding valuable loot in the bandits' possessions.;;;;;;;;;;;;;x
kamal_winter_pilgrimage;Wander with the Winds;;;;;;;;;;;;;x
kamal_winter_pilgrimage_desc;Followers of the Winds of the Kamal can wander the tundra alone in search of spiritual enlightenment and as a way of proving their worth as a leader.;;;;;;;;;;;;;x
ekakaviri.1.desc;Before setting out on my journey beneath the Winds, I must decide where in Kamal I would like to spend my time in solitude.;;;;;;;;;;;;;x
ekakaviri.1.coast;Near the coasts.;;;;;;;;;;;;;x
ekakaviri.1.hills;In the foothills.;;;;;;;;;;;;;x
ekakaviri.1.mountains;In the frozen mountains.;;;;;;;;;;;;;x
kamal_pilgrimage_coast_desc;The lands near the coast are more temperate and far safer, but are not seen as an impressive obstacle.;;;;;;;;;;;;;x
kamal_pilgrimage_hills_desc;The foothills of Kamal are an unforgiving place.;;;;;;;;;;;;;x
kamal_pilgrimage_mountains_desc;Many who venture into the mountains alone do not come back.;;;;;;;;;;;;;x
ekakaviri.2.coast;Setting off from my hold with limited supplies, I begin travelling towards the lowlands. My trial has begun.;;;;;;;;;;;;;x
ekakaviri.2.hills;Arriving in the snow-covered roughlands, I know that the voyage ahead of me will not be an easy one. Stormclouds can be seen in the distance, but all is calm for now.;;;;;;;;;;;;;x
ekakaviri.2.mountains;I've managed to trudge my way to mountains in the centre of Kamal. What lies ahead of me, I do not know...;;;;;;;;;;;;;x
ekakaviri.2.accept;Onwards!;;;;;;;;;;;;;x
ekakaviri.3.coast;On the horizon stands a group of raiders who seem to be ravaging this region. They don't seem to have spotted me yet.;;;;;;;;;;;;;x
ekakaviri.3.hills;I can see smoke from a fire rising above the crest of a nearby hill. Given the looted bodies I've found in the area, there can only be one conclusion: bandits. Fortunately, the hill hides me from their view.;;;;;;;;;;;;;x
ekakaviri.3.avoid;Best to keep it that way.;;;;;;;;;;;;;x
ekakaviri.3.fight;Have at them!;;;;;;;;;;;;;x
ekakaviri.4.desc;Setting down my pack for the day, I can't help but be awed by the sight surrounding me. Even in this unforgiving land, there is still beauty to behold.;;;;;;;;;;;;;x
