alliancewar.fallCurses;Curses!;;;;;;;;;x
alliancewar.fallDominion;Even the greatest cities of the Dominion aren't safe...;;;;;;;;;x
alliancewar.fallCovenant;Even the greatest cities of the Covenant aren't safe...;;;;;;;;;x
alliancewar.fallPact;Even the greatest cities of the Pact aren't safe...;;;;;;;;;x
alliancewar.fallNice;This war will soon be over!;;;;;;;;;x
alliancewar.50.t;Alinor falls!;;;;;;;;;x
alliancewar.50.d;The ancient city of Alinor, capital of the Summerset Isle and seat of Altmeri civilisation, fell to forces led by [Root.GetTitledName]! The city was reportedly looted, and countless artifacts dating back to the Merethic and First Era have been lost for all eternity.\nNews of the city's fall has reached the whole continent, and this will certainly strike a powerful blow against the Dominion's advances in Cyrodiil and the other provinces.;;;;;;;;;x
alliancewar.51.t;Wayrest falls!;;;;;;;;;x
alliancewar.51.d;Wayrest, seat of the Royal Council and capital of the Daggerfall Covenant, fell earlier in the day to the forces led by [Root.GetTitledName]! The past decades have led to an incredible wealth influx into the province, even surpassing the ancient city of Daggerfall. As the Covenant is struck at its core, the Royal Family's whereabouts are unknown...\nThe Covenant might have to liberate its capital before it can claim any victory in Cyrodiil and against the other alliances.;;;;;;;;;x
alliancewar.52.t;Windhelm falls!;;;;;;;;;x
alliancewar.52.d;Ancient capital of Skyrim, seat of the Palace of Kings, Windhelm fell earlier in the day to the forces of [Root.GetTitledName]! Founded by Ysgramor ages ago, the city suffered under the Kamal Invasion when the Queen of Skyrim and her heir were killed during the siege. But as King Jorunn and the leaders of Morrowind and Black Marsh united against a common enemy, Windhelm became one of the leading cities of the Ebonheart Pact.\nJorunn and his allies might have to liberate the city before they can claim any victory in Cyrodiil or the other alliances...;;;;;;;;;x
alliancewar.tbwOver;As the three Alliances vied for the control of Cyrodiil, only one could win the struggle and survive. It seems the gods favored [Root.GetFirstNameWithNick], [Root.GetTitle] of [Root.PrimaryTitle.GetName]. Their victory over the other alliances and Cyrodiil gives them the opportunity to put in action their agenda over the Empire - be it conquest, liberation, or destruction.\nNo matter what they choose, their victory will be remembered for the centuries to come.\n\nThe Three Banners War is over, and Tamriel might finally now peace...;;;;;;;;;x
alliancewar.tbwOverOpt;Finally, peace?;;;;;;;;;x
alliancewar.100.t;The Pact triumphant!;;;;;;;;;x
