string_GetEmpress;Empress;;;;;;;;;x
string_GetEmperor;Emperor;;;;;;;;;x
AmuletOfKings10A;My only realistic means to light the Dragonfires is with the Amulet of Kings. [ek_amulet_owner.GetBestName] holds the Red Diamond, and I will need to speak to [ek_amulet_owner.GetHerHim] in order to recover the Amulet.;;;;;;;;;x
AmuletOfKings10B;My only realistic means to light the Dragonfires is with the Amulet of Kings. The Amulet has not been seen in the Imperial City for decades - perhaps even centuries - and the only logical place where it could be found is in the old Tomb of the Reman Emperors, in Sancre Tor.;;;;;;;;;x
AmuletOfKings10OptA;I will speak to [ek_amulet_owner.GetFirstName] at once.;;;;;;;;;x
AmuletOfKings10OptB;I'll begin preparations for the journey immediately.;;;;;;;;;x
AmuletOfKings15;[From.GetBestName] arrived at my court today with a most peculiar request. [From.GetSheHeCap] wants to ignite the Dragonfires in the Temple of the One, and has asked me for the Amulet of Kings!;;;;;;;;;x
AmuletOfKings15Accept;Of course. Please, take the Amulet, with my compliments.;;;;;;;;;x
AmuletOfKings15Decline;The Amulet is mine. Begone!;;;;;;;;;x
AmuletOfKings15Compromise;The Amulet is mine, but perhaps we can work together...;;;;;;;;;x
AmuletOfKings15CompromiseTooltip;You suggest a devious plan to fool the world into thinking you lit the Dragonfires...;;;;;;;;;x
AmuletOfKings20;How fortuitous! [From.GetFirstName] has graciously given me the Amulet of Kings!;;;;;;;;;x
AmuletOfKings20Accept;A wondrous turn of events.;;;;;;;;;x
AmuletOfKings25;[From.GetFirstName] has refused to offer me the Amulet of Kings, shooing me away like some common peasant! I may need to take a different approach.;;;;;;;;;x
AmuletOfKings25OptA;I'm sorry [From.GetFirstName], but I must have the Amulet.;;;;;;;;;x
AmuletOfKings25OptB;Perhaps there is another way...;;;;;;;;;x
AmuletOfKings30;[From.GetFirstName] wishes for me to light the Dragonfires, on the condition that [From.GetSheHe] not only keeps the Amulet of Kings, but takes all the credit for it!;;;;;;;;;x
AmuletOfKings30OptA;Unacceptable. I'm taking the Amulet.;;;;;;;;;x
AmuletOfKings30OptB;Unacceptable. But there must be another way.;;;;;;;;;x
AmuletOfKings30OptC;It's a deal, [From.GetFirstName].;;;;;;;;;x
