mage_fireballs_tactic;Fireballs Tactic;;;;;;;;;;;;;x
mage_icestorm_tactic;Ice Storm Tactic;;;;;;;;;;;;;x
magic_restoration_tactic;Restoration Tactic;;;;;;;;;;;;;x
sorcerers_atronachs_tactic;Atronachs Tactic;;;;;;;;;;;;;x
sorcerers_demoralize_tactic;Demoralize Tactic;;;;;;;;;;;;;x
sorcerers_dremoras_tactic;Dremoras Tactic;;;;;;;;;;;;;x
akaviri_katana_charge_tactic;Katana Charge;;;;;;;;;;;;;x
akaviri_wall_of_steel_tactic;Wall of Steel;;;;;;;;;;;;;x
arcane_advance_tactic;Arcane Advance;;;;;;;;;;;;;x
argonia_ambush_tactic;Argonian Ambush;;;;;;;;;;;;;x
berserker_charge_tactic;Berserker Charge;;;;;;;;;;;;;x
elven_volley_tactic;Arcane Arrow Volley;;;;;;;;;;;;;x
embolon_charge_formation_tactic;Flying Wedge;;;;;;;;;;;;;x
kamal_unyielding_glacier_tactic;Unyielding Glacier;;;;;;;;;;;;;x
khajiit_harass_tactic;Cavalry Ambush;;;;;;;;;;;;;x
khajiit_synergy_tactic;Mixed Unit Synergy;;;;;;;;;;;;;x
legionnaire_advance_tactic;Legionnaire Advance;;;;;;;;;;;;;x
light_infantry_charge_tactic;Light Infantry Charge;;;;;;;;;;;;;x
mage_thunderbolts_tactic;Thunderbolts Tactic;;;;;;;;;;;;;x
maormer_ambush_tactic;Snake Magic Ambush;;;;;;;;;;;;;x
nord_war_cry_tactic;War Cry;;;;;;;;;;;;;x
pike_and_shot_tactic;Pike and Shot;;;;;;;;;;;;;x
potun_chariot_charge_tactic;Mage Chariot Charge;;;;;;;;;;;;;x
orsimer_guarded_infantry_tactic;Guarded Infantry Advance;;;;;;;;;;;;;x
quey_mantlets_tactic;War Canoe Mantlets;;;;;;;;;;;;;x
redguard_advance_tactic;Duelist Advance;;;;;;;;;;;;;x
silt_strider_volley_tactic;Silt Strider Arrow Volley;;;;;;;;;;;;;x
