disgraceful_altmer;Disgraceful;;;;;;;;;;;;;x
altmer_become_pure;Take Pilgrimage of Purity;;;;;;;;;;;;;x
altmer_become_pure_desc;Go on a holiday in Alinor to attain or regain familiarity with Altmer culture and customs. Afterwards, board of esteemed Sapiarchs will evaluate your Altmeri qualities through five tests, one for each of your Attributes. If you are successful, you will be recognized as a Pure Altmer!;;;;;;;;;;;;;x
Altmer1;How vile! That disgusting mongrel [target_impure_courtier.GetFirstName] is a stain on the purity of all [target_impure_courtier.GetHerHis] fellow Altmer! Maybe some public shaming will show [target_impure_courtier.GetHerHim] who the superior one is!;;;;;;;;;;;;;x
Altmer1Accept;Tell my whole court what a disgrace [target_impure_courtier.GetFirstName] is!;;;;;;;;;;;;;x
Altmer1Decline;I see no need to do so.;;;;;;;;;;;;;x
Altmer2;How vile! That disgusting mongrel [target_impure_vassal.GetFirstName] is a stain on the purity of all [target_impure_vassal.GetHerHis] fellow Altmer! Maybe some public shaming will show them [target_impure_vassal.GetHerHim] who the superior one is!;;;;;;;;;;;;;x
Altmer2Accept;Tell my whole court what a disgrace [target_impure_vassal.GetFirstName] is!;;;;;;;;;;;;;x
Altmer2Decline;I see no need to do so.;;;;;;;;;;;;;x
Altmer5;[From.GetBestName] just berated me in front of dozens of others for my impurity! I wanted to defend myself, but I know the truth. I am Impure, and there is no excusing this burden.;;;;;;;;;;;;;x
Altmer5Acknowledge;Oh, the humiliation!;;;;;;;;;;;;;x
Altmer10;I spend a great deal of time with my wonderful friend [target_impure_friend.GetFirstName], but I am hearing murmurs that our fraternization is a stain upon my purity. My subjects expect me to do something to remedy this situation.;;;;;;;;;;;;;x
Altmer10Accept;End my friendship with [target_impure_friend.GetFirstName].;;;;;;;;;;;;;x
Altmer10Decline;[target_impure_friend.GetFirstName] is my friend and that is final!;;;;;;;;;;;;;x
Altmer10Purify;Maintain my purity with a cleansing ritual.;;;;;;;;;;;;;x
Altmer15;[From.GetFirstName] informed me that due to my impurity, we can no longer be friends lest it soil [From.GetHerHis] own purity.;;;;;;;;;;;;;x
Altmer15Acknowledge;Why, [From.GetFirstName]?;;;;;;;;;;;;;x
Altmer20;I spend a great deal of time with my love, [target_impure_lover.GetFirstName], but I am hearing murmurs that our relationship is a stain upon my purity. My subjects expect me to do something to remedy this situation.;;;;;;;;;;;;;x
Altmer20Accept;End my relationship with [target_impure_lover.GetFirstName].;;;;;;;;;;;;;x
Altmer20Decline;[target_impure_lover.GetFirstName] is the love of my life!;;;;;;;;;;;;;x
Altmer20Purify;Maintain my purity with a cleansing ritual.;;;;;;;;;;;;;x
Altmer25;[From.GetFirstName] informed me that due to my impurity, we can no longer be in a relationship with one another, lest it soil [From.GetHerHis] own purity.;;;;;;;;;;;;;x
Altmer25Acknowledge;After all we have been through, [From.GetFirstName]?;;;;;;;;;;;;;x
Altmer50;I have been away from Alinor for such a long time. Recently, my courtiers started mentioning that my attire, my speech, my mannerisms and even my smell seem less like what befits a true, high-born Altmer and more like what they would expect to find in a lowly Man or Beast! Maybe a holiday back home would benefit me?;;;;;;;;;;;;;x
Altmer50Accept;I will travel to Alinor, the home of my ancestors!;;;;;;;;;;;;;x
Altmer50Decline;There is nothing wrong with how I am!;;;;;;;;;;;;;x
Altmer51;Verdant hillsides, abundant fruit orchards and awe-inspiring towers serve as the backdrop to a reinvigorating experience! I am treated to calligraphy and sculpting classes, baths in hot springs, delicious Altmeri cuisine and tours of ancient shrines and palaces. I return home, feeling like a true Altmer and my courtiers inform me that my purity is inspiring to all!;;;;;;;;;;;;;x
Altmer51Acknowledge;It was a journey worth taking!;;;;;;;;;;;;;x
Altmer74;I have booked accommodations for a holiday in the countryside of Alinor, so that I may become well-acquainted with the ways of my Altmer brethren, and prove my purity as an Altmer to all!;;;;;;;;;;;;;x
Altmer74Acknowledge;I cannot wait!;;;;;;;;;;;;;x
Altmer75;Verdant hillsides, abundant fruit orchards and awe-inspiring towers serve as the backdrop to a reinvigorating experience! I am treated to calligraphy and sculpting classes, baths in hot springs, delicious Altmeri cuisine and tours of ancient shrines and palaces. But my journey is not complete. I must now prove my comprehension of Altmer culture and my purity before a board of Sapiarchs, the most knowledgeable lords and ladies of my people.;;;;;;;;;;;;;x
Altmer75Acknowledge;I am ready.;;;;;;;;;;;;;x
Altmer76;I visit an academy where the Sapiarchs reside and enter a circular chamber with a single chair, surrounded by two-dozen or so lecterns. Each lectern is occupied by a single stone-faced, cold-looking Altmer. Each Altmer stands perfectly still, but their austere gazes follow me across the room as I take my seat. They remain completely silent for a few moments, until one who stands directly in front of me speaks plainly. "[Root.GetBestName], your examination hereby commences. The board will begin with queries pertaining to language and etiquette.";;;;;;;;;;;;;x
Altmer76Acknowledge;The test begins...;;;;;;;;;;;;;x
Altmer76Title;A Test of Purity;;;;;;;;;;;;;x
Altmer77;The Sapiarchs ask me questions pertaining to grammar and reading, how to address my betters and my lessers, how to sit, how to dine, how to raise a family and how to honor my ancestors, living and dead, among other subjects. They quietly await my response to each, only for another Sapiarch to ask another question. I stumble through many of my answers, and more than a few responses elicit eye-rolls. Eventually, the Sapiarchs finish their questions and remain silent. The individual at the front of the room speaks up. "The first portion of the examination is complete. The board will continue with queries pertaining to military history, strategies and tactics.";;;;;;;;;;;;;x
Altmer77Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer77Title;A Test of Purity;;;;;;;;;;;;;x
Altmer78;The Sapiarchs ask me questions pertaining to grammar and reading, how to address my betters and my lessers, how to sit, how to dine, how to raise a family and how to honor my ancestors, living and dead, among other subjects. They quietly await my response to each, only for another Sapiarch to ask another question. I confidently give my answers, and several Sapiarchs appear to make slight nods in agreement. Eventually, the Sapiarchs finish their questions and remain silent. The individual at the front of the room speaks up. "The first portion of the examination is complete. The board will continue with queries pertaining to military history, strategies and tactics.";;;;;;;;;;;;;x
Altmer78Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer78Title;A Test of Purity;;;;;;;;;;;;;x
Altmer79;One by one, the Sapiarchs test my understanding of various military matters, such as the causes of the All-Flags Navy's victory over the Sload of Thras, the Altmer navy's myriad victories against Maormer raiders, how best to manage an army, as well as proper formations and tactics for offensive and defensive battles. As I hesitantly respond, some of the audience furrow their brows and frown. Once the Sapiarchs finish their questions, they briefly stand in silence until the person standing directly in front of me makes an announcement. "The second portion of the examination is complete. The board will continue with queries pertaining to legal and administrative matters.";;;;;;;;;;;;;x
Altmer79Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer79Title;A Test of Purity;;;;;;;;;;;;;x
Altmer80;One by one, the Sapiarchs test my understanding of various military matters, such as the causes of the All-Flags Navy's victory over the Sload of Thras, the Altmer navy's myriad victories against Maormer raiders, how best to manage an army, as well as proper formations and tactics for offensive and defensive battles. As I respond, a few of those in attendance subtly nod their heads. Once the Sapiarchs finish their questions, they briefly stand in silence until the person standing directly in front of me makes an announcement. "The second portion of the examination is complete. The board will continue with queries pertaining to legal and administrative matters.";;;;;;;;;;;;;x
Altmer80Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer80Title;A Test of Purity;;;;;;;;;;;;;x
Altmer81;The Sapiarchs quiz me on law and governance, including such facets as noble duties, taxation, building codes, civil disputes, criminal justice, agricultural production, salaries and contracts, trade agreements and management of resources. I have a great deal of difficulty with some of the questions, and notice sneers and raised eyebrows. After the Sapiarchs conclude their questions, they fall silent for a short duration. The Sapiarch who stands directly in front of me begins to speak. "The third portion of the examination is complete. The board will continue with queries pertaining to political intrigue and esoteric rhetoric.";;;;;;;;;;;;;x
Altmer81Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer81Title;A Test of Purity;;;;;;;;;;;;;x
Altmer82;The Sapiarchs quiz me on law and governance, including such facets as noble duties, taxation, building codes, civil disputes, criminal justice, agricultural production, salaries and contracts, trade agreements and management of resources. The questions do not feel particularly challenging, and I notice several individuals nodding in concordance with my solutions. After the Sapiarchs conclude their questions, they fall silent for a short duration. The Sapiarch who stands directly in front of me begins to speak. "The third portion of the examination is complete. The board will continue with queries pertaining to political intrigue and esoteric rhetoric.";;;;;;;;;;;;;x
Altmer82Acknowledge;The test continues...;;;;;;;;;;;;;x
Altmer82Title;A Test of Purity;;;;;;;;;;;;;x
