elder_council;Elder Council;;;;;;;;;;;;;x
elder_council_desc;Founded either by the Remans or during the days of the Alessian Empire, the Elder Council served as the administrative body of the great empires of humanity. Comprising some of the most capable, influential, and wealthy individuals in Tamriel, the Council is the tool that allows for the imperial will to be carried out. It does have a will of its own, however, and many Emperors have found themselves fighting the Council more than they fight hostile nations.;;;;;;;;;;;;;x
elder_council_leader_desc;The High Chancellor is the head of the Elder Council. If the [This.GetRubyThroneTitle] is unable to fulfill their duties, or if there is no [This.GetRubyThroneTitle], the High Chancellor serves as Potentate, the central figure of authority.;;;;;;;;;;;;;x
elder_council_rank_1_male;Councillor;;;;;;;;;;;;;x
elder_council_rank_1_female;Councillor;;;;;;;;;;;;;x
elder_council_rank_2_male;Advisor;;;;;;;;;;;;;x
elder_council_rank_2_female;Advisor;;;;;;;;;;;;;x
elder_council_rank_3_male;Chief Councillor;;;;;;;;;;;;;x
elder_council_rank_3_female;Chief Councillor;;;;;;;;;;;;;x
#elder_council_rank_4_male;High Chancellor;;;;;;;;;;;;;x
#elder_council_rank_4_female;High Chancellor;;;;;;;;;;;;;x
elder_council_rank_4_male;High Chancellor;;;;;;;;;;;;;x
elder_council_rank_4_female;High Chancellor;;;;;;;;;;;;;x
high_chancellor_title;High Chancellor;;;;;;;;;;;;;x
chief_councillor_title;Chief Councillor;;;;;;;;;;;;;x
advisor_title;Advisor;;;;;;;;;;;;;x
councillor_title;Councillor;;;;;;;;;;;;;x
ruby_throne_actual_title;[gt_tamriel_emperor.GetTitle];;;;;;;;;;;;;x
ruby_throne_male_title;Emperor;;;;;;;;;;;;;x
ruby_throne_female_title;Empress;;;;;;;;;;;;;x
elder_council_rank_5_male;Emperor;;;;;;;;;;;;;x
elder_council_rank_5_female;Empress;;;;;;;;;;;;;x
ec_express_interest;Express Council Interest;;;;;;;;;;;;;x
ec_express_interest_desc;By making the right whispers to the right people, you can ensure that you are much more likely to be selected to join the Elder Council.;;;;;;;;;;;;;x
more_likely_to_be_selected;You will be much more likely to be nominated to join the Elder Council.;;;;;;;;;;;;;x
ec_drop_interest;Drop Council Interest;;;;;;;;;;;;;x
ec_drop_interest_desc;If you wish, you can drop your ambition to join the Elder Council.;;;;;;;;;;;;;x
ec2024jj;Flagged [This.GetHighChancellorTitle];;;;;;;;;;;;;x
regent_must_be_potentate;The [GetRubyThroneTitle]'s regent must be a member of the Aristocratic faction;;;;;;;;;;;;;x
ec_recalc_imperialism;All members of the Elder Council will re-evaluate their political stance.;;;;;;;;;;;;;x
ec_imp_inf_drop_heir;The succession has weakened the Ruby Throne's political clout.;;;;;;;;;;;;;x
