learning_necromancy_modifier;Learning Necromancy;;;;;;;;;;;;;x
learning_necromancy_modifier_desc;[Root.GetFirstNameWithNick] is learning the Dark Arts of Necromancy, in an attempt to gain power over the dead.\nCurrent progress: [Root.GetLearningNecromancyStep];;;;;;;;;;;;;x
study_necromancy;Study Necromancy;;;;;;;;;;;;;x
study_necromancy_desc;The Dark Arts have been studied by generations of mages, for good or ill-purposes. But no matter the goal, the prospect of manipulating the souls of the dead is sure to attract many ambitious mages... Perhaps you?;;;;;;;;;;;;;x
STUDY_NECROMANCY_NO_FLAG_CT;You can only attempt to master the Dark Arts once every five years.;;;;;;;;;;;;;x
necromancy.1.d;Studying the Dark Practice is a sure way to learn Necromancy, but it will take its toll in both your body and soul.\nThe reward may by worth the cost, but will you press forward in your studies?;;;;;;;;;;;;;x
necromancy.1.optA;The dead will learn to obey me!;;;;;;;;;;;;;x
NECROMANCY_STUDYING_BEGINS_CT;You will get an §Yopportunity§! every one or two months, roughly, which can either help your studies, or push it backwards.\nShould you succeed enough, you will become a full-fledged Necromancer.\nShould you fail, you won't be able to try again for a couple years, and your sanity will surely take a hit in the process.;;;;;;;;;;;;;x
necromancy.1.optB;No, Necromancy is too dangerous.;;;;;;;;;;;;;x
necromancy.2.d;After months of study, you finally unlocked the secrets of the Dark Arts, and are now ready to command the dead! The world may despise you, respect you, or fear you, but none can deny your powers.;;;;;;;;;;;;;x
necromancy.2.optA;The dead and the living will bow to me!;;;;;;;;;;;;;x
necromancy.3.d;Maybe your soul nearly broke due to the Dark Arts, maybe your innate talent isn't enough, or maybe you just can't grasp some fundamental concept. But no matter the reason, it seems Necromancy is too difficult for you to understand and master.\nYour body and mind will need time to rest, should you want to try again.;;;;;;;;;;;;;x
necromancy.3.optA;An utter failure...;;;;;;;;;;;;;x
necromancy.4.d;You have made some success towards learning Necromancy. Soon you will be able to control the dead.;;;;;;;;;;;;;x
necromancy.4.optA;Great!;;;;;;;;;;;;;x
necromancy.5.d;Your progress towards the understanding of Necromancy had to suffer a small setback. You merely lost your time, and didn't get anything in return.;;;;;;;;;;;;;x
necromancy.5.optA;I will have to try harder.;;;;;;;;;;;;;x
necromancy.6.d;The last few days have been very important in your understanding of Necromancy, and you have seen a major success in most of your experiments. Soon you will be able to control the dead.;;;;;;;;;;;;;x
necromancy.6.optA;Great!
necromancy.7.d;The disastrous last couple of days made you lose a lot of progress towards your learning of the Necromantic Arts. If you keep failing your experiments, you will have no choice but to abandon your studies for a while.;;;;;;;;;;;;;x
necromancy.7.optA;I will have to try harder.;;;;;;;;;;;;;x
NECROMANCY_STUDYING_FAILURE_CT;This failure has already taken its toll on your mental and physical health, and as a result you won't be able to try again for another 5 years.;;;;;;;;;;;;;x
### Tombola events
NECROMANCY_STUDYING_SMALL_SUCCESS_CT;You made a §Gsmall breakthrough§! in your learning.;;;;;;;;;;;;;x
NECROMANCY_STUDYING_SMALL_FAILURE_CT;Your studies will §Ystagnate§! for a while.;;;;;;;;;;;;;x
NECROMANCY_STUDYING_BIG_SUCCESS_CT;You made a §Ggreat breakthrough§! in your learning.;;;;;;;;;;;;;x
NECROMANCY_STUDYING_BIG_FAILURE_CT;You suffered a §Rgreat setbacks§! in your learning.;;;;;;;;;;;;;x
necromancy_small_success;Soon the secrets of Necromancy will be mine!;;;;;;;;;;;;;x
necromancy_small_failure;It could have been worse...;;;;;;;;;;;;;x
necromancy_big_success;Soon the dead will bow to me!;;;;;;;;;;;;;x
necromancy_big_failure;Disastrous...;;;;;;;;;;;;;x
# Soul shaken
necromancy.11.d;In your learning of the Dark Arts your soul has been shaken too often to count. The things you saw and did would repulse most other mortals, and some might even warrant for an execution in most parts of the world. But still, you must press forward... Always. No matter the costs.;;;;;;;;;;;;;x
necromancy.11.optA;Maybe I should take it slowly for a while...;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_SOUL_SHAKEN_SLOWLY_SUCCESS_CT;Success, and you will be able to go forward without corrupting yourself too much;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_SOUL_SHAKEN_SLOWLY_FAILURE_CT;Failure, but your soul won't suffer too much because of it;;;;;;;;;;;;;x
necromancy.11.optB;Press forward, my soul be damned!;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_SOUL_SHAKEN_PRESS_SUCCESS_CT;Great success, and you will learn great and terrifying new things, while corrupting your soul in the process;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_SOUL_SHAKEN_PRESS_FAILURE_CT;Utter failure, and your sanity might take a hit;;;;;;;;;;;;;x
necromancy.12.d.1;You have taken some time for yourself and your sanity, and it seems to have bore its fruits. While you haven't progressed a lot in your learning of Necromancy, you have recovered some of your strength and will be able to press forward from now on.;;;;;;;;;;;;;x
necromancy.12.d.2;Even after some time to recover, you still have trouble sleeping and haven't been able to recover. While your studies won't suffer any setback, you won't see any progress either.;;;;;;;;;;;;;x
necromancy.12.d.3;Most people would have stopped for a while, but you decided to press forward, consequences for your soul and sanity be damned. And it seems to have been worth it. Recent breakthroughs and new understandings in the arts of Necromancy mean that soon, the world will have to acknowledge your powers!\nIt has not been without cost however, and your personality might change...;;;;;;;;;;;;;x
necromancy.12.d.4;The last few weeks have been a disaster. Every experiment failed, you have not been able to properly sleep, and when you did nightmares plagued your rest. It seems that you are forced to set your studies aside for a while, but even that might be too late for your sanity...;;;;;;;;;;;;;x
# Handling corpses
necromancy.13.d;To resurrect the dead, one must first have the corpses needed. Some bodies need to be thoroughly cleaned, if one wishes to raise a skeleton, while others still have rotten flesh that must be assembled with other rotting parts, like the zombies require. But no matter what the corpses are for, handling them is still a dangerous activity, as they tend to be full of potential diseases.;;;;;;;;;;;;;x
necromancy.13.optA;It might be better if I spent less time around corpses for now...;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_CORPSES_HANDLING_SLOWLY_SUCCESS_CT;Success, and without risking your health or appearance;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_CORPSES_HANDLING_SLOWLY_FAILURE_CT;Failure, but at least your environment won't be full of deadly diseases;;;;;;;;;;;;;x
necromancy.13.optB;To learn, one must be ready to take risks.;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_CORPSES_HANDLING_PRESS_SUCCESS_CT;Great success, but you will neglect your physical appearance, potentially permanently. Being around dangerous diseases could also strengthen your body, making you healthier;;;;;;;;;;;;;x
NECROMANCY_STUDYING_LEARNING_CORPSES_HANDLING_PRESS_FAILURE_CT;Utter failure, and being around so many corpses will severely impact your health;;;;;;;;;;;;;x
necromancy.14.d.1;You spent the last couple of days cleaning your workspace, avoiding contact with corpses, and learning more theoretical knowledge. While you still will have to raise corpses if you wish to become a Necromancer, you're one step closer to understanding the Dark Arts.;;;;;;;;;;;;;x
necromancy.14.d.2;You cannot grasp more theoretical concepts, you need to apply what you learned, and for that one requires corpses to prepare. At least your workspace isn't so filthy anymore. The only thing you lost is time.;;;;;;;;;;;;;x
necromancy.14.d.3;Casting most mortal conventions aside, you spent the last couple of days all around corpses, cleaning some to raise skeletons, or patching various rotten flesh parts together, in order to get some zombies. You've learned a great deal of practical knowledge, even if people around you seem to be uncomfortable around you.;;;;;;;;;;;;;x
