### Special titles
GOD_KING;God-King;;;;;;;;;;;;;x
GOD_EMPEROR;God-Emperor;;;;;;;;;;;;;x
GOD_QUEEN;God-Queen;;;;;;;;;;;;;x
GOD_EMPRESS;God-Empress;;;;;;;;;;;;;x # In case, Singe, you want to use these for "Orgna" -PhD
### Events
orgnum.1.opta;But... I am... a god....;;;;;;;;;;;;;x
orgnum.1.title;Orgnum is dead!;;;;;;;;;;;;;x
orgnum.2.title;The Death of Orgnum;;;;;;;;;;;;;x
orgnum2.accept;Orgnum is no more. The worship of Orgnum should die with [GetOrgnumHerHim].;;;;;;;;;;;;;x
orgnum2.decline;Orgnum persists yet — [GetOrgnumSheHe] has ascended to Aetherius!;;;;;;;;;;;;;x
orgnum2.others;How does this concern us, exactly?;;;;;;;;;;;;;x
orgnum2;Orgnum, the [GetOrgnumGodKingEmperor] of the Maormer, is dead. On [GetOrgnumHerHis] death, the hold [GetOrgnumSheHe] had on the inhabitants of Pyandonea has all but crumbled. Many of [GetOrgnumHerHis] former subjects are converting to a new school of thought that theorises that Orgnum was never a god as [GetOrgnumSheHe] claimed.;;;;;;;;;;;;;x
orgnum.11.t;The Godslayer;;;;;;;;;;;;;x
orgnum.11.d;The Maormer of Pyandonea are still in shock after the death of their [GetOrgnumGodKingEmperor]. Some rejoice, and some are devastated, but all agree on one thing: [Root.GetTitledFirstName] slew [GetOrgnumHerHim]. For better or worse, [Root.GetHerHis] actions led directly to the death of Orgnum.\n\nFrom now on, [Root.GetSheHe] will be known as the Godslayer, and [Root.GetHerHis] actions will be remembered for all eternity.;;;;;;;;;;;;;x
orgnum.11.optA;Orgnum is dead, Orgnum remains dead, and I have killed [From.GetHerHim]!;;;;;;;;;;;;;x # I'm kind of proud of this one. -PhD
orgnum.20.t;Orgnum the Necromancer;;;;;;;;;;;;;x
orgnum.20.d;We have mastered the art of Necromancy and the manipulation of the dead, but this directly conflicts with a critical part of our faith: the worship of Meridia.\n\nThe Lady of Infinite Energy is in a perpetual battle against the undead and those who command them, which now includes us.\n\nThe faith of our people stands in danger when their divine leader and a core tenet of their faith clash. We must make a choice.;;;;;;;;;;;;;x
orgnum.20.optA;Our people will listen to their god.;;;;;;;;;;;;;x
REMOVE_MERIDIA_PYANDONEAIC_PANTHEON_CT;Meridia will be removed from the list of our gods, our people won't be able to take her as a patron deity, and those who already have will have to change.;;;;;;;;;;;;;x
orgnum.20.optB;If we abandon Meridia, when will our people abandon us?;;;;;;;;;;;;;x
orgnum.21.d;Our Divine [GetOrgnumGodKingEmperor] declared today that the teachings and orders of Meridia, the Lady of Infinite Energy, were in direct conflict with our faith, and [GetOrgnumSheHe] has decided to remove her from our pantheon!\nWe have no choice but to stop worshipping her and find another patron deity to worship...;;;;;;;;;;;;;x
orgnum.21.optA;The will of Orgnum is sacred.;;;;;;;;;;;;;x
orgnum.22.d;Orgnum, the [GetOrgnumGodKingEmperor] of the Maormer, has officially announced that Meridia is not to be worshipped anymore. Some say it is no mere coincidence that Orgnum made this decision so soon after declaring mastery over the dead, a practice most violently loathed by Meridia and her faithful...;;;;;;;;;;;;;x
orgnum.22.optA;Interesting changes...;;;;;;;;;;;;;x
orgnum.30.t;Orgnum the Dragonborn;;;;;;;;;;;;;x
orgnum.30.d;[GetOrgnumGodKingEmperor] of the Maormer. High Fane of the Pyandoneaic faithful. And now Dragonborn.\n\nAs proof of our divine essence, the other gods blessed our mortal form with the aspect of the Dragonborn, Master of Dragons, and rightful ruler of Tamriel.\n\nDozens of dragons already flock to our side, and it is said that some of our people have started seeing them as saints and heralds of our divine will.;;;;;;;;;;;;;x
orgnum.30.optA;Do venerate the dragons, but don't forget they answer only to me.;;;;;;;;;;;;;x
ADD_DRAGONS_PYANDONEAIC_PANTHEON_CT;The faithful will gain the ability to summon dragons at the cost of piety.;;;;;;;;;;;;;x
orgnum.30.optB;I am their sole master.;;;;;;;;;;;;;x
orgnum.31.d;Orgnum, [GetOrgnumGodKingEmperor] of the Maormer, has been blessed by the gods and given the powers of the Dragonborn. Some say [GetOrgnumSheHe] always has several dragons by [GetOrgnumHerHis] side, following [GetOrgnumHerHim] and those [GetOrgnumSheHe] deems worthy in battle.;;;;;;;;;;;;;x
orgnum.31.optA;What?;;;;;;;;;;;;;x
PYANDONEAIC_RELIGION_WORSHIPS_DRAGONS;The Pyandoneaic faith sees dragons as heralds of Orgnum and can summon some to fight for them;;;;;;;;;;;;;x
orgnum.40.t;Orgnum the Lycanthrope;;;;;;;;;;;;;x
orgnum.40.d;The people of Tamriel have forgotten the strong bond they once had with nature and the wild. The land blesses us with its fertile soil, the waters house our sacred sea serpents, and the winds guide our sails.\n\nTo return to our roots, we have shown the world the powers of the lycanthrope.\n\nSome of our people are already making shrines to Hircine, while others are waiting for us to officialize the Father of Lycanthropy's entry into our pantheon...;;;;;;;;;;;;;x
orgnum.40.optA;The Prince of the Hunt will show us how to reunite with nature!;;;;;;;;;;;;;x
ADD_HIRCINE_PYANDONEAIC_PANTHEON_CT;Hircine, Prince of the Hunt and Father of Werewolves, will be available as a patron deity.;;;;;;;;;;;;;x
orgnum.40.optB;This privilege should remain exclusive.;;;;;;;;;;;;;x
orgnum.41.d;Orgnum, [GetOrgnumGodKingEmperor] of the Maormer, officially announced that Hircine, Daedric Prince of the Hunt and Father of Lycanthropes, has joined the Pyandoneaic pantheon.\n\nSome speculate that this is because [GetOrgnumSheHe] recently revealed [GetOrgnumHerHis] lycanthropy to the world, and this announcement is simply to avoid being hunted down by [GetOrgnumHerHis] followers or the neighbouring realms...;;;;;;;;;;;;;x
orgnum.41.optA;Interesting changes...;;;;;;;;;;;;;x
orgnum_reclaim_pyandonea;Reclaim Pyandonea;;;;;;;;;;;;;x
