DEATH_EXECUTION_ELEPHANTS;was crushed to death by mammoths on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_ELEPHANTS_NO_KILLER;was trampled to death by mammoths;;;;;;;;;x
DEATH_EXECUTION_SHARKS;was eaten alive by frenzied sharks on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHARKS_NO_KILLER;was eaten alive by frenzied sharks;;;;;;;;;x
DEATH_EXECUTION_WAMASU;was devoured by a wamasu on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_WAMASU_NO_KILLER;was devoured by a wamasu;;;;;;;;;x
DEATH_EXECUTION_BLOOD_DRAIN;was drained of all blood on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_BLOOD_DRAIN_NO_KILLER;was drained of all blood;;;;;;;;;x
DEATH_EXECUTION_SEA_SERPENTS;was eaten alive by ravenous sea serpents on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SEA_SERPENTS_NO_KILLER;was eaten alive by ravenous sea serpents;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_FALL;was shouted off of a high ledge by $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_FALL_NO_KILLER;was shouted off of a high ledge;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_TO_PIECES;was shouted to pieces by $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_TO_PIECES_NO_KILLER;was shouted to pieces;;;;;;;;;x
DEATH_MURDER_VAMPIRE;was feasted on by the Vampire, $KILLER$;;;;;;;;;x
DEATH_MURDER_VAMPIRE_UNKNOWN;was feasted on by a Vampire;;;;;;;;;x
DEATH_MURDER_LYCAN;was mauled to death by the Lycanthrope, $KILLER$;;;;;;;;;x
DEATH_MURDER_LYCAN_UNKNOWN;was mauled to death by a Lycanthrope;;;;;;;;;x
DEATH_MURDER_LYCAN_UNKNOWN_NO_KILLER;was mauled to death by a Lycanthrope;;;;;;;;;x
DEATH_BASKING_SHARK;was squashed by a basking shark;;;;;;;;;x
DEATH_BASKING_SHARK_NO_KILLER;was squashed by a basking shark;;;;;;;;;x
DEATH_HORNETS;was stung to death by hornets;;;;;;;;;x
DEATH_HORNETS_NO_KILLER;was stung to death by hornets;;;;;;;;;x
DEATH_EXECUTION_DRAGONFIRE;was incinerated by dragonfire on the order of $KILLER$;;;;;;;;;x
DEATH_EXECUTION_DRAGONFIRE_NO_KILLER;was incinerated by dragonfire;;;;;;;;;x
DEATH_VANISH_DUNGEON;vanished in a dungeon;;;;;;;;;x
DEATH_VANISH_DUNGEON_NO_KILLER;vanished in a dungeon;;;;;;;;;x
DEATH_VANISH_DUNGEON;vanished in a dungeon;;;;;;;;;x
DEATH_VANISH_DUNGEON_NO_KILLER;vanished in a dungeon;;;;;;;;;x
DEATH_VANISH_WILDERNESS;vanished in the wilderness;;;;;;;;;x
DEATH_VANISH_WILDERNESS_NO_KILLER;vanished in the wilderness;;;;;;;;;x
DEATH_STARVED_WILDERNESS;starved in the wilderness;;;;;;;;;x
DEATH_STARVED_WILDERNESS_NO_KILLER;starved in the wilderness;;;;;;;;;x
DEATH_STARVED_DUNGEON;starved in a dungeon;;;;;;;;;x
DEATH_STARVED_DUNGEON_NO_KILLER;starved in a dungeon;;;;;;;;;x
DEATH_EDGY;got cut on that edge;;;;;;;;;x
DEATH_EDGY_NO_KILLER;got cut on that edge;;;;;;;;;x
DEATH_VAMPIRE_SUNLIGHT;burnt to ash by the light of Aetherius;;;;;;;;;x
DEATH_VAMPIRE_SUNLIGHT_NO_KILLER;burnt to ash by the light of Aetherius;;;;;;;;;x
DEATH_VAMPIRE_MALNUTRITION;wasted away, starved of blood;;;;;;;;;x
DEATH_VAMPIRE_MALNUTRITION_NO_KILLER;wasted away, starved of blood;;;;;;;;;x
DEATH_SHIVERING_ISLES;was sent to the Shivering Isles;;;;;;;;;x
gambler_death;in a seedy gambling den;;;;;;;;;x
hedonist_death;of alcohol poisoning;;;;;;;;;x
slovenly_death;in [GetHerHis] own filth;;;;;;;;;x
former_slave_death;from injuries suffered as a slave;;;;;;;;;x
p_hermamora_death;during magickal experimentation;;;;;;;;;x
p_syrabane_death;during magickal experimentation;;;;;;;;;x
p_psyrabane_death;during magickal experimentation;;;;;;;;;x
hospital;Shrine;;;;;;;;;x
PV_HOSPITAL;Shrine;;;;;;;;;x
HOSPITAL_PROV;Shrine of $PROV$;;;;;;;;;x
ANY_HOSPITAL_STARTS;Any Shrine;;;;;;;;;x
HOSPITAL_NOT_YET_AVAILABLE;Shrine technology is available;;;;;;;;;x
HOSPITAL_TAX_MODIFIER;Shrine Tax;;;;;;;;;x
HOSPITAL_LEVY_SIZE;Shrine Levy Size;;;;;;;;;x
HOSPITAL_LEVEL;Shrine Level;;;;;;;;;;x
PROVINCE_NO_HOSPITAL_LEVEL;§RNo Shrine§! in this county!;;;;;;;;;x
PROVINCE_NO_HOSPITAL_LEVEL_DESC;With no §YShrine§! in the county, it has no protection against disease or depopulation. Shrines are built via the Extended Province View.;;;;;;;;;x
PROVINCE_HOSPITAL_ICON_LEVEL;§YLevel $LEVEL$ Shrine§!;;;;;;;;;x
PROVINCE_HOSPITAL_ICON_LEVEL_DESC;The local §YShrine§! provides $DISEASE_RESISTANCE$ resistance to disease, and $DEPOPULATION_PROTECTION$.;;;;;;;;;x
PROVINCE_HOSPITAL_VIEW_DISEASE_DESC;Disease Resistance: $VALUE$;;;;;;;;;x
PROVINCE_HOSPITAL_VIEW_DEPOP_DESC;Depopulation Protection: $VALUE|Y$;;;;;;;;;x
BUILD_HOSPITAL_DESC;Shrines can be built in any county you control for a cost of §Y$COST$§!¤. Shrines are constructed to increase the §YDisease Resistance§! of a county, which reduces the chance of epidemic outbreaks to occur in and spread into the county. It will also provide some protection against §YDepopulation§!.;;;;;;;;;x
BUILD_PRESTIGE_OR_PIETY_HOSPITAL_DESC;Shrines can be built in all counties you control, if you have the required technology. Shrines cost §Y$COST$§! to construct. Shrines reduce the chance of provinces getting infected during epidemics, and also reduce the effects of depopulation.;;;;;;;;;x
HOSPITAL_LEVEL_LESSTHAN;The §YShrine Level§! in the county is less than $VALUE|Y$;;;;;;;;;x
HOSPITAL_LEVEL_ATLEAST;The §YShrine Level§! in the county is at least $VALUE|Y$;;;;;;;;;x
PROVINCE_HOSPITAL_LEVEL;This county has a §YShrine Level§! of $VALUE|G$;;;;;;;;;x
