#Decisions
choose_lifestyle_guild_warriors;Learn a lifestyle with the other warriors in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_warriors_desc;Warrior guilds are the perfect place to learn more about talents suited to the fighting life. Trainers are available should seek to become a Gladiator, an Equestrian, or a Blacksmith.;;;;;;;;;;;;;x
choose_lifestyle_guild_scenarist;Learn a lifestyle with the other scenarists in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_scenarist_desc;The Scenarists are well known for their abilities in convincing, arts, and seduction. Trainers are available should you seek to become a Musician, a Painter, or a Magician.;;;;;;;;;;;;;x
choose_lifestyle_guild_ansei;Learn a lifestyle with the other Sword-Singers in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_ansei_desc;The Sword-Singers combine the fighting arts with more classical ones. Trainers are available should you seek to become a Musician, a Gladiator, or a Blacksmith.;;;;;;;;;;;;;x
choose_lifestyle_guild_mages;Learn a lifestyle with the other mages in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_mages_desc;Mages can use their abilites in many situations, and for many employers. Trainers are available should you seek to become an Alchemist, a Magician, or a Saboteur.;;;;;;;;;;;;;x
choose_lifestyle_guild_mercantile;Learn a lifestyle with the other magistrates in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_mercantile_desc;The mercantile arts can be used in a wide variety of situations, legal or not. Trainers are available should you seek to become an Engineer, a Gambler, or a Smuggler.;;;;;;;;;;;;;x
choose_lifestyle_guild_assassins;Learn a lifestyle with the other assassins in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_assassins_desc;Assassins are required to be versatile, for not all contracts are the same. Trainers are available should you seek to become a Blacksmith, a Saboteur, or a Gladiator.;;;;;;;;;;;;;x
choose_lifestyle_guild_thieves;Learn a lifestyle with the other thieves in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_thieves_desc;Thieves' Guilds are filled with people knowing a wide variety of things that can be used in their contracts. Trainers are available should you seek to become a Smuggler, a Saboteur, or a Gambler.;;;;;;;;;;;;;x
choose_lifestyle_guild_order_pale_mist;Learn a lifestyle with the other assassins in your guild.;;;;;;;;;;;;;x
choose_lifestyle_guild_order_pale_mist_desc;While still a guild of assassins, the Order of the Black Mist focuses on art rather than brute force. Trainers are available should you seek to become a Painter, a Saboteur, or a Musician.;;;;;;;;;;;;;x
#Events
societieslifestyle.1.t;Learning among the Warriors;;;;;;;;;;;;;x
societieslifestyle.1.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Fighters can teach you the way of the Gladiator, the Equestrian, or the Blacksmith.;;;;;;;;;;;;;x
societieslifestyle.11.t;Learning among the Scenarists;;;;;;;;;;;;;x
societieslifestyle.11.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Scenarists can teach you the way of the Musician, the Painter, or the Magician.;;;;;;;;;;;;;x
societieslifestyle.21.t;Learning among the Sword-Singers;;;;;;;;;;;;;x
societieslifestyle.21.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Sword-Singers can teach you the way of the Musician, the Gladiator, or the Blacksmith.;;;;;;;;;;;;;x
societieslifestyle.31.t;Learning among the Mages;;;;;;;;;;;;;x
societieslifestyle.31.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Mages can teach you the way of the Alchemist, the Magician, or the Saboteur.;;;;;;;;;;;;;x
societieslifestyle.41.t;Learning among the Magistrates;;;;;;;;;;;;;x
societieslifestyle.41.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Magistrates can teach you the way of the Engineer, the Gambler, or the Smuggler.;;;;;;;;;;;;;x
societieslifestyle.51.t;Learning among the Assassins;;;;;;;;;;;;;x
societieslifestyle.51.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Assassins can teach you the way of the Blacksmith, the Saboteur, or the Gladiator.;;;;;;;;;;;;;x
societieslifestyle.61.t;Learning among the Thieves;;;;;;;;;;;;;x
societieslifestyle.61.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Thieves can teach you the way of the Smuggler, the Saboteur, or the Gambler.;;;;;;;;;;;;;x
societieslifestyle.71.t;Learning among the Mist Walkers;;;;;;;;;;;;;x
societieslifestyle.71.d;Guilds are a good opportunity to learn new ways of mastering one's art. The Order of the Pale Mist can teach you the way of the Painter, the Saboteur, or the Musician.;;;;;;;;;;;;;x
societieslifestyle.becomeAlchemist;Become an Alchemist!;;;;;;;;;;;;;x
societieslifestyle.becomeBlacksmith;Become a Blacksmith!;;;;;;;;;;;;;x
societieslifestyle.becomeEngineer;Become an Engineer!;;;;;;;;;;;;;x
societieslifestyle.becomeEquestrian;Become an Equestrian!;;;;;;;;;;;;;x
societieslifestyle.becomeGambler;Become a Gambler!;;;;;;;;;;;;;x
societieslifestyle.becomeGladiator;Become a Gladiator!;;;;;;;;;;;;;x
societieslifestyle.becomeMagician;Become a Magician!;;;;;;;;;;;;;x
societieslifestyle.becomeMusician;Become a Musician!;;;;;;;;;;;;;x
societieslifestyle.becomePainter;Become a Painter!;;;;;;;;;;;;;x
societieslifestyle.becomeSaboteur;Become a Saboteur!;;;;;;;;;;;;;x
societieslifestyle.becomeSmuggler;Become a Smuggler!;;;;;;;;;;;;;x
societieslifestyle.nothing;Nothing actually interests me.;;;;;;;;;;;;;x
#
societieslifestyle.100.d;Sparring with fellow fighters is an excellent way to hone my fighting skills. Though deaths in our arenas are rare, the duels are never easy, and sometimes quite bloody. Yet it's an exhilarating feeling, especially when I emerge victorious and hear my companions cheering me own.;;;;;;;;;;;;;x
societieslifestyle.100.optA;I am a gladiator!;;;;;;;;;;;;;x
societieslifestyle.100.optB;The best techniques are passed on by the survivors.;;;;;;;;;;;;;x
societieslifestyle.100.optC;It's great sport, but there are other things I'd rather do.;;;;;;;;;;;;;x
societieslifestyle.101.d;Fighting on horseback is a completely different art than fighting on foot, and I've taken to it exceptionally well. I believe I may have found my calling!;;;;;;;;;;;;;x
societieslifestyle.101.optA;I am an equestrian!;;;;;;;;;;;;;x
societieslifestyle.101.optB;Horsemanship is a skill, not a calling.;;;;;;;;;;;;;x
societieslifestyle.102.d1;Even great warriors are at a disadvantage when their equipment is broken and worn down. Fortunately for me, I have a natural skill at manufacturing and repairing arms and armor.;;;;;;;;;;;;;x
societieslifestyle.102.d2;Self-sufficiency is key to being a successful assassin. The necessity of repairing and replacing my equipment has helped me grasp the fundamentals of smithing.;;;;;;;;;;;;;x
societieslifestyle.102.optA;I am a blacksmith!;;;;;;;;;;;;;x
societieslifestyle.102.optB;It's a nice talent, but not my interest.;;;;;;;;;;;;;x
societieslifestyle.103.d;I just realized that Alchemy is a richly rewarding activity. With just a few simple ingredients and some patience, I can craft potions as powerful as any spells!;;;;;;;;;;;;;x
societieslifestyle.103.optA;I am an Alchemist!;;;;;;;;;;;;;x
societieslifestyle.103.optB;Alchemy is fun, but I have other studies to focus on.;;;;;;;;;;;;;x
societieslifestyle.104.d;Making money is exciting...it's even more exciting when I have to risk money to turn a profit!;;;;;;;;;;;;;x
societieslifestyle.104.optA;I am a gambler!;;;;;;;;;;;;;x
societieslifestyle.104.optB;But gambling is wasteful. I'll save my funds.;;;;;;;;;;;;;x
societieslifestyle.105.d;Every so often, colleagues at the guild office need my help with improving designs for freight transports, even the freight itself. They tell me that I'm skilled at engineering, and in fact, I find it very enjoyable!;;;;;;;;;;;;;x
societieslifestyle.105.optA;I am an engineer!;;;;;;;;;;;;;x
societieslifestyle.105.optB;As fun as it can be, it's too stressful...;;;;;;;;;;;;;x
societieslifestyle.106.d1;Great music can inspire so much emotion, and fill one with so much energy. And as luck would have it, I'm a natural at making great music! I wonder if I should spend more time performing songs and melodies.;;;;;;;;;;;;;x
societieslifestyle.106.d2;While most associate the Sword-Singers with our mastery of the Sword, our predecessors were artists and artisans before they picked up their blades. Lately, I have found myself more in tune with them as I have become engrossed in the study of several forms of music. I wonder if I should continue with this.;;;;;;;;;;;;;x
societieslifestyle.106.optA;I am a musician!;;;;;;;;;;;;;x
societieslifestyle.106.optB;I like playing music, but there are other things I'd rather do.;;;;;;;;;;;;;x
societieslifestyle.107.d;Actions speak louder than words, and a painting is the culmination of days, months, or even years of action from an artist. With only a canvas, a brush and a few pigments, I can express thousands of emotions, swirling together in harmony.;;;;;;;;;;;;;x
societieslifestyle.107.optA;Painting is incredible! I must keep at this.;;;;;;;;;;;;;x
societieslifestyle.107.optB;As enjoyable as painting may be, there are other things I must do.;;;;;;;;;;;;;x
societieslifestyle.108.d;Why is magic so firmly associated with warfare, subterfuge and worship? Why not for entertainment? Dazzling candlelight and magelight, jump spells...there are so many possibilities to use magic just to make the world a little less dull!;;;;;;;;;;;;;x
societieslifestyle.108.optA;I am a magician!;;;;;;;;;;;;;x
societieslifestyle.108.optB;Fun perhaps, but I'll leave magic to the Guild mages.;;;;;;;;;;;;;x
societieslifestyle.109.d1;Being a Thief doesn't just mean taking things. It also means breaking things - locks, doors, bindings, buildings, weapons, and more. I've noticed I have a real knack for doing so.;;;;;;;;;;;;;x
societieslifestyle.109.d2;Eliminating a target doesn't just mean using a weapon or spell. Sometimes loosening a stone, pulling a few nails out of a railing or sundering a support are far more effective.;;;;;;;;;;;;;x
societieslifestyle.109.optA;I am a saboteur!;;;;;;;;;;;;;x
societieslifestyle.109.optB;It's a useful skill, but not my focus.;;;;;;;;;;;;;x
societieslifestyle.110.d;The art of theft requires discretion. Taking someone's hard-earned gold or most prized possession isn't much use if someone catches me immediately after. That goes for hauling contraband too. Thankfully, my discretion is par excellence.;;;;;;;;;;;;;x
societieslifestyle.110.optA;I am a smuggler!;;;;;;;;;;;;;x
societieslifestyle.110.optB;Smuggling might be profitable...but it's not really my thing.;;;;;;;;;;;;;x
