is_daedric_prince_text;Is a Daedric Prince;;;;;;;;;x
is_inaccessible_tooltip;Is Inaccessible;;;;;;;;;x
officially_worships_daedra;Officially worships Daedra;;;;;;;;;x
is_daedra_herald;Leads a Daedra Horde;;;;;;;;;x
worships_daedra;Worships Daedra;;;;;;;;;x
createdbydecisiontext;This title can only be created via decision, located in the Intrigue Menu when eligible.;;;;;;;;;x
noduplicates;You may only have one active copy of this artifact at a time.;;;;;;;;;x
IS_ALTMER_CT;Is an Altmer;;;;;;;;;x
IS_AYLEID_CT;Is an Ayleid;;;;;;;;;x
IS_BOSMER_CT;Is a Bosmer;;;;;;;;;x
IS_CHIMER_CT;Is a Chimer;;;;;;;;;x
IS_DUNMER_CT;Is a Dunmer;;;;;;;;;x
IS_MAORMER_CT;Is a Maormer;;;;;;;;;x
IS_FALMER_CT;Is a Falmer;;;;;;;;;x
IS_DWEMER_CT;Is a Dwemer;;;;;;;;;x
IS_TSAESCI_CT;Is a Tsaesci;;;;;;;;;x
BLOODLINE_BASTARD_CHECK_CT;Bastards cannot pass the bloodline, unless they are the direct children of the bloodline founder.;;;;;;;;;x
