d_fighters_akaviri;Grand Warriors of Akavir;;;;;;;;;;;;;x
d_mages_cyrodiil;Arcane University;;;;;;;;;;;;;x
d_fighters_cyrodiil;Fighters Guild of Cyrodiil;;;;;;;;;;;;;x
d_thieves_cyrodiil;Cyrodiil Thieves' Guild;;;;;;;;;;;;;x
d_bards_cyrodiil;Imperial Academy of the Arts;;;;;;;;;;;;;x
d_mages_skyrim;College of Winterhold;;;;;;;;;;;;;x
d_fighters_skyrim;Fighters' Guild of Skyrim;;;;;;;;;;;;;x
d_thieves_skyrim;Thieves' Guild of Skyrim;;;;;;;;;;;;;x
d_bards_skyrim;Solitude Bards' College;;;;;;;;;;;;;x
d_mages_highrock;Balfiera Academy of Magicka;;;;;;;;;;;;;x
d_fighters_highrock;Alcaire War Academy;;;;;;;;;;;;;x
d_thieves_highrock;Daggerfall Thieves' Guild;;;;;;;;;;;;;x
d_bards_highrock;Bardic School of Evermore;;;;;;;;;;;;;x
d_mages_hammerfell;Mages of Hammerfell;;;;;;;;;;;;;x
d_fighters_hammerfell;Swordmasters of Hammerfell;;;;;;;;;;;;;x
d_thieves_hammerfell;Thieves' Guild of Hammerfell;;;;;;;;;;;;;x
d_bards_hammerfell;Tale-Tellers of Hammerfell;;;;;;;;;;;;;x
d_mages_argonia;Argonia Mages' Guild;;;;;;;;;;;;;x
d_fighters_argonia;Argonia Fighters' Guild;;;;;;;;;;;;;x
d_thieves_argonia;Argonia Thieves' Guild;;;;;;;;;;;;;x
d_bards_argonia;Argonian Bards' School;;;;;;;;;;;;;x
d_mages_orsimer;Mages' Guild of Orsinium;;;;;;;;;;;;;x
d_fighters_orsimer;Fighters' Guild of Orsinium;;;;;;;;;;;;;x
d_thieves_orsimer;Thieves' Guild of Orsinium;;;;;;;;;;;;;x
d_bards_orsimer;Bards' Guild of Orsinium;;;;;;;;;;;;;x
d_mages_morrowind;Magicka Tong;;;;;;;;;;;;;x
d_fighters_morrowind;Chapthil Tong;;;;;;;;;;;;;x
d_thieves_morrowind;Camonna Tong;;;;;;;;;;;;;;x
d_bards_morrowind;Naruma Tong;;;;;;;;;;;;;x
d_mages_yokudan;Ghraewaj Ituru;;;;;;;;;;;;;x
d_fighters_yokudan;Ra Gada Ituru;;;;;;;;;;;;;x
d_thieves_yokudan;No Lo'igra Ituru;;;;;;;;;;;;;x
d_bards_yokudan;Tukta-mab'ro Ituru;;;;;;;;;;;;;x
d_mages_pyandonea;Seers of Etho Sul;;;;;;;;;;;;;x
d_fighters_pyandonea;Warriors of Pyrrahn;;;;;;;;;;;;;x
d_thieves_pyandonea;Thieves of Abbarbas;;;;;;;;;;;;;x
d_bards_pyandonea;Bards of Ubuntu;;;;;;;;;;;;;x
d_mages_elsweyr;Jo'iit;;;;;;;;;;;;;x
d_thieves_islander;Yneslea Thieves' Guild;;;;;;;;;;;;;x
d_bards_islander;Esroniet Bardic School;;;;;;;;;;;;;x
d_fighters_quey;Sword School of Cathnoquey;;;;;;;;;;;;;x
d_mages_islander;Mages' School of Roscrea;;;;;;;;;;;;;x
d_fighters_elsweyr;Do'iit;;;;;;;;;;;;;x
d_thieves_elsweyr;Dar'iit;;;;;;;;;;;;;x
d_moragtong;Morag Tong;;;;;;;;;;;;;x
d_bards_elsweyr;Ta'agra'iss'iit;;;;;;;;;;;;;x
d_mages_valenwood;Mages' Guild of Valenwood;;;;;;;;;;;;;x
d_fighters_valenwood;Fighters' Guild of Valenwood;;;;;;;;;;;;;x
d_thieves_valenwood;Thieves' Guild of Valenwood;;;;;;;;;;;;;x
d_bards_valenwood;Bards' Guild of Valenwood;;;;;;;;;;;;;x
d_mages_summerset;Mages' Guild of Summerset;;;;;;;;;;;;;x
d_fighters_summerset;Fighters' Guild of Summerset;;;;;;;;;;;;;x
d_thieves_summerset;Thieves' Guild of Summerset;;;;;;;;;;;;;x
d_bards_summerset;Bards' Guild of Summerset;;;;;;;;;;;;;x
d_mages_kamal;Kamal Mage Caste;;;;;;;;;;;;;x
d_fighters_kamal;Kamal Fighter Caste;;;;;;;;;;;;;x
d_thieves_kamal;Kamal Thief Caste;;;;;;;;;;;;;x
d_bards_kamal;Kamal Bard Caste;;;;;;;;;;;;;x
d_mages_tsaesci;Tsaesci Mage Guild;;;;;;;;;;;;;x
d_fighters_tsaesci;Syffim;;;;;;;;;;;;;x
d_thieves_tsaesci;Tsaesci Thief Guild;;;;;;;;;;;;;x
d_bards_tsaesci;Tsaesci Thief Guild;;;;;;;;;;;;;x
d_mages_tangmo;Tangmo Mage Guild;;;;;;;;;;;;;x
d_fighters_tangmo;Tangmo Warriors' Guild;;;;;;;;;;;;;x
d_thieves_tangmo;Tangmo Thief Guild;;;;;;;;;;;;;x
d_bards_tangmo;Tangmo Bard Guild;;;;;;;;;;;;;x
d_mages_potun;Potun Mage Guild;;;;;;;;;;;;;x
d_fighters_potun;Potun Fighters' Guild;;;;;;;;;;;;;x
d_thieves_potun;Potun Thief Guild;;;;;;;;;;;;;x
d_bards_potun;Potun Bard Guild;;;;;;;;;;;;;x
d_orderofthevirtuousblood;Order of the Virtuous Blood;;;;;;;;;;;;;x
d_orderofthevirtuousblood_adj;Virtuous;;;;;;;;;;;;;x
d_renrijrakrin;Renrijra Krin;;;;;;;;;;;;;x
d_renrijrakrin_adj;Renrijra Krin;;;;;;;;;;;;;x
d_theblades;Blades;;;;;;;;;;;;;x
d_theblades_adj;Blades;;;;;;;;;;;;;x
d_dragonguard_tamriel;Akaviri Dragonguard;;;;;;;;;;;;;x
d_dragonguard_tamriel_adj;Dragonguard;;;;;;;;;;;;;x
