form_chosenoldgods;Form the Chosen of the Old Gods;;;;;;;;;;;;x
form_chosenoldgods_desc;Call forth warriors to defend the Old Gods faithful.;;;;;;;;;;;;;x
ek_holy_orders.2.t;The Chosen of the Old Gods;;;;;;;;;;;;;x
ek_holy_orders.2.d;The Old Gods of the Reachmen are worshipped in the whole Reach and beyond, but until recently all attempts to unify the faithful were fruitless. [From.GetTitledName] invited the strongest warriors of the Reach, and formed the Chosen of the Old Gods.;;;;;;;;;;;;;x
form_forsworn;Form the Forsworn;;;;;;;;;;;;x
form_forsworn_desc;Call forth warriors to defend the Hagraven and their followers.;;;;;;;;;;;;;x
ek_holy_orders.1.t;The Forsworn;;;;;;;;;;;;;x
ek_holy_orders.1.d;The Hagravens and their cultists had for a long time to stay hidden, in secret shrines and caves. But recently, the worship of these powerful mages and their dark-heart warriors is more spread in the whole Reach, and some of them banded together, calling themselves the Forsworn.;;;;;;;;;;;;;x
d_vigilants_of_stendarr;Resolute Templars of Stendarr;;;;;;;;;;;;;x
d_vigilants_of_stendarr_adj;Resolutes of Stendarr;;;;;;;;;;;;;x
b_hall_of_vigilant;Hall of the Resolute;;;;;;;;;;;;;x
d_pride_of_alkosh;Pride of Alkosh;;;;;;;;;;;;;x
b_pridehome;Pridehome;;;;;;;;;;;;;x
d_knights_of_iron;Knights of Iron;;;;;;;;;;;;;x
d_knights_of_iron_adj;Knights of Iron;;;;;;;;;;;;;x
b_iron_keep;The Iron Keep;;;;;;;;;;;;;x
d_serpent_guard;Serpent Guard;;;;;;;;;;;;;x
d_serpent_guard_adj;Serpent Guard;;;;;;;;;;;;;x
b_serpent_den;The Serpent's Den;;;;;;;;;;;;;x
d_sons_of_orgnum;Sons of Orgnum;;;;;;;;;;;;;x
d_sons_of_orgnum_adj;Sons of Orgnum;;;;;;;;;;;;;x
b_hall_of_coffer;Hall of Orgnum;;;;;;;;;;;;;x
d_serpent_eye;Serpent's Eye;;;;;;;;;;;;;x
d_preservers_of_the_root;Preservers of the Root;;;;;;;;;;;;;x
d_preservers_of_the_root_adj;Preserver;;;;;;;;;;;;;x
d_serpent_eye_adj;Serpent's Eye;;;;;;;;;;;;;x
b_coiled_keep;The Coiled Keep;;;;;;;;;;;;;x
d_fangs_of_aipysurus;Fangs of Aipysurus;;;;;;;;;;;;;x
d_fangs_of_aipysurus_adj;Fangs of Aipysurus;;;;;;;;;;;;;x
b_scaled_keep;The Scaled Keep;;;;;;;;;;;;;x
d_dragonguard;Dragonguard;;;;;;;;;;;;;x
d_dragonguard_adj;Dragonguard;;;;;;;;;;;;;x
b_skywalker_temple;Sky Walker Temple;;;;;;;;;;;;;x
d_radiant_serpent;Order of the Radiant Serpent;;;;;;;;;;;;;x
d_radiant_serpent_adj;Radiant Serpent;;;;;;;;;;;;;x
b_hall_of_elder_serpent;Hall of the Elder Serpent;;;;;;;;;;;;;x
d_nights_watch;Nights Watch;;;;;;;;;;;;;x
b_shadow_tower;Shadow Tower;;;;;;;;;;;;;x
d_maruhkati_selective;Maruhkati Selective;;;;;;;;;;;;;x
d_maruhkati_selective_adj;Maruhkati;;;;;;;;;;;;;x
d_knights_of_the_nine;Knights of The Nine;;;;;;;;;;;;;x
d_knights_of_the_nine_adj;Knights of The Nine;;;;;;;;;;;;;x
d_order_of_leki;Order of Leki;;;;;;;;;;;;;x
d_order_of_leki_adj;Order of Leki;;;;;;;;;;;;;x
d_worldskin_followers;Worldskin Followers;;;;;;;;;;;;;x
d_worldskin_followers_adj;Worldskin Followers;;;;;;;;;;;;;x
d_paladins_of_auriel;Paladins of Auri-el;;;;;;;;;;;;;x
d_paladins_of_auriel_adj;Paladins of Auri-el;;;;;;;;;;;;;x
d_wild_hunters;Wild Hunters;;;;;;;;;;;;;x
d_wild_hunters_adj;Wild Hunters;;;;;;;;;;;;;x
d_incarnate_army;Incarnate's Army;;;;;;;;;;;;;x
d_incarnate_army_adj;Incarnate's Army;;;;;;;;;;;;;x
d_reclamation_armiger;Reclamation's Armigers;;;;;;;;;;;;;x
d_reclamation_armiger_adj;Reclamation's Armigers;;;;;;;;;;;;;x
d_veloths_judgment;Veloth's Judgment;;;;;;;;;;;;;x
d_veloths_judgment_adj;Veloth's Judgment;;;;;;;;;;;;;x
d_spirit_wardens;Spirit Wardens;;;;;;;;;;;;;x
d_spirit_wardens_adj;Spirit Wardens;;;;;;;;;;;;;x
d_snake_mount;Snake Mount;;;;;;;;;;;;;x
d_snake_mount_adj;Snake Mount;;;;;;;;;;;;;x
d_bittercuppers;Bittercuppers;;;;;;;;;;;;;x
d_bittercuppers_adj;Bittercuppers;;;;;;;;;;;;;x
d_apocryphers;Apocryphers;;;;;;;;;;;;;x
d_apocryphers_adj;Apocryphers;;;;;;;;;;;;;x
d_blood_hunters;Blood Hunters;;;;;;;;;;;;;x
d_blood_hunters_adj;Blood Hunters;;;;;;;;;;;;;x
d_mythic_dawn;Mythic Dawn;;;;;;;;;;;;;x
d_mythic_dawn_adj;Mythic Dawn;;;;;;;;;;;;;x
d_webspinners;Webspinners;;;;;;;;;;;;;x
d_webspinners_adj;Webspinner;;;;;;;;;;;;;;x
d_unfeathereds;Unfeathereds;;;;;;;;;;;;;x
d_unfeathereds_adj;Unfeathered;;;;;;;;;;;;;x
d_planemelders;Planemelders;;;;;;;;;;;;;x
d_planemelders_adj;Planemelders;;;;;;;;;;;;;x
d_decayed;Decayed;;;;;;;;;;;;;x
d_decayed_adj;Decayed;;;;;;;;;;;;;x
d_nightingales;Nightingales;;;;;;;;;;;;;x
d_nightingales_adj;Nightingale;;;;;;;;;;;;;x
d_afflicted;Afflicted;;;;;;;;;;;;;x
d_afflicted_adj;Afflicted;;;;;;;;;;;;;x
d_debauchery;Violent Debauchery;;;;;;;;;;;;;x
d_debauchery_adj;Debauchery;;;;;;;;;;;;;x
d_wabbajack;Cheese Lovers;;;;;;;;;;;;;x
d_wabbajack_adj;Cheese;;;;;;;;;;;;;x
d_knights_of_order;Knights of Order;;;;;;;;;;;;;x
d_knights_of_order_adj;Knights of Order;;;;;;;;;;;;;x
d_dreamers;Dreamers of Destruction;;;;;;;;;;;;;x
d_dreamers_adj;Dreamers;;;;;;;;;;;;;x
d_pariah;The Ostracised;;;;;;;;;;;;;x
d_pariah_adj;Ostracised;;;;;;;;;;;;;x
d_forsworn;The Forsworn;;;;;;;;;;;;;x
d_forsworn_adj;Forsworn;;;;;;;;;;;;;x
d_chosenoldgods;Chosen of the Old Gods;;;;;;;;;;;;;x
d_chosenoldgods_adj;Chosen;;;;;;;;;;;;;x
