court_teacher;Court Teacher;;;;;;;;;;;;;x
idun_askfriend_10d;[From.GetFirstName] thinks we should go down into the market square and play 'Dodge Carts.';;;;;;;;;;;;x
idun_askfriend_11d;[From.GetFirstName] has nothing to suggest.;;;;;;;;;;;;x
idun_askfriend_11o;Fine friend!;;;;;;;;;;;;x
idun_askfriend_1d;I cannot decide what to do! I'll ask a friend for advice!;;;;;;;;;;;;x
idun_askfriend_1o;What shall I do?;;;;;;;;;;;;x
idun_askfriend_2d;[From.GetFirstName] asked me for an idea what [From.GetSheHe] could do. I'll tell [From.GetHerHim]:;;;;;;;;;;;;x
idun_askfriend_2o1;Read a book!;;;;;;;;;;;;x
idun_askfriend_2o2;Go hunting!;;;;;;;;;;;;x
idun_askfriend_2o3;Go to bed!;;;;;;;;;;;;x
idun_askfriend_2o4;Do your homework!;;;;;;;;;;;;x
idun_askfriend_2o5;Have illicit carnal relations!;;;;;;;;;;;;x
idun_askfriend_2o6;Let's play catch-the-axe!;;;;;;;;;;;;x
idun_askfriend_2o7;How should I know?!;;;;;;;;;;;;x
idun_askfriend_2o9;Let's play a trick upon someone!;;;;;;;;;;;;x
idun_askfriend_2o8;Let's dodge carts in the market!;;;;;;;;;;;;x
idun_askfriend_3d;[From.GetFirstName] thinks I should go to my library and read a book.;;;;;;;;;;;;x
idun_askfriend_4d;[From.GetFirstName] thinks I should go out and do some hunting to alleviate my boredom.;;;;;;;;;;;;x
idun_askfriend_5d;[From.GetFirstName] thinks I should just sleep a bit.;;;;;;;;;;;;x
idun_askfriend_6d;[From.GetFirstName] thinks I should do my homework.;;;;;;;;;;;;x
idun_askfriend_7d;[From.GetFirstName] thinks I should find someone to screw.;;;;;;;;;;;;x
idun_askfriend_8d;[From.GetFirstName] thinks we should play a game of 'Throw the axe.';;;;;;;;;;;;x
idun_askfriend_9d;[From.GetFirstName] thinks we should play a prank on someone.;;;;;;;;;;;;x
idun_askfriend_allo1;Fine, I'll do that.;;;;;;;;;;;;x
idun_askfriend_allo2;No, that's boring.;;;;;;;;;;;;x
idun_books_1d;I venture into the palatial library. There are so many books! I've read some, but I'll never be able to read all of them. Which one will I pick this time?;;;;;;;;;;;;x
idun_books_1o1;Uncommon Taste.;;;;;;;;;;;;x
idun_books_1o2;The Buying Game.;;;;;;;;;;;;x
idun_books_1o3;The Beginner's Guide to Homesteading.;;;;;;;;;;;;x
idun_books_2o1;Incident in Necrom.;;;;;;;;;;;;x
idun_books_2o2;The Real Barenziah.;;;;;;;;;;;;x
idun_books_2o3;Beggar Prince.;;;;;;;;;;;;x
idun_books_3o1;A Traveler's Guide to New Sheoth.;;;;;;;;;;;;x
idun_books_3o2;The Lusty Argonian Maid.;;;;;;;;;;;;x
idun_books_3o3;Racial Motifs.;;;;;;;;;;;;x
idun_books_4o1;Thief of Virtue.;;;;;;;;;;;;x
idun_books_4o2;The Blessings of Sheogorath.;;;;;;;;;;;;x
idun_books_4o3;Horror of Castle Xyr.;;;;;;;;;;;;x
idun_books_alld;So many books on the next shelf too! Which one shall I pick?;;;;;;;;;;;;x
idun_books_give_up;Give up.;;;;;;;;;;;;x
idun_books_next_shelf;Next shelf.;;;;;;;;;;;;x
idun_chess_1d;I would like to play chess today! Whom shall I ask to play against?;;;;;;;;;;;;x
idun_chess_1o1;A friend.;;;;;;;;;;;;x
idun_chess_1o2;Someone of my family.;;;;;;;;;;;;x
idun_chess_1o3;My parent.;;;;;;;;;;;;x
idun_chess_1o4;My guardian.;;;;;;;;;;;;x
idun_chess_2d;[From.GetFirstName] wants to play chess with me.;;;;;;;;;;;;x
idun_chess_2o1;Sure, let's play.;;;;;;;;;;;;x
idun_chess_2o2;No, thank you.;;;;;;;;;;;;x
idun_chess_3d1;You play chess against [FromFrom.GetBestName] and win! You feel great.;;;;;;;;;;;;x
idun_chess_3d2;You play chess against [From.GetBestName] and win! You feel great.;;;;;;;;;;;;x
idun_chess_3o;Yay!;;;;;;;;;;;;x
idun_chess_4d1;You play chess against [FromFrom.GetBestName] and lose! You decide to play something else next time.;;;;;;;;;;;;x
idun_chess_4d2;You play chess against [From.GetBestName] and lose! You decide to play something else next time.;;;;;;;;;;;;x
idun_chess_4o;Meh.;;;;;;;;;;;;x
idun_chess_5d;[From.GetBestName] didn't want to play chess against me. I'll find something else to do. I shall...;;;;;;;;;;;;x
idun_chess_5o1;Read a book.;;;;;;;;;;;;x
idun_chess_5o2;Ride my horse.;;;;;;;;;;;;x
idun_chess_5o3;Explore the castle.;;;;;;;;;;;;x
idun_chess_5o4;Visit the kitchens.;;;;;;;;;;;;x
idun_chess_5o5;Do some embroidery.;;;;;;;;;;;;x
idun_chess_5o6;Ask my friend for an idea.;;;;;;;;;;;;x
idun_event_tooltip;Character receives an event.;;;;;;;;;;;;x
idun_fish_1d;It's a beautiful day today, sunny but not too warm, and not too much wind either. From my window I can see the water of the nearby lake reflecting the sunlight. The fish ponds which are part of my domain are calling to me!;;;;;;;;;;;;x
idun_fish_1o1;I shall go fishing!;;;;;;;;;;;;x
idun_fish_1o2;I could take my friend along!;;;;;;;;;;;;x
idun_fish_1o3;I'd rather do something else today.;;;;;;;;;;;;x
idun_fish_1o4;I'll stay in.;;;;;;;;;;;;x
idun_fish_2d;I go fishing on my own. After I've set up my fishing equipment and cast the line, I sit down to wait if anything bites. It's such a beautiful day, I wonder why there aren't more people out at the ponds.;;;;;;;;;;;;x
idun_fish_2o;I hope I'll catch something!;;;;;;;;;;;;x
idun_fish_4d;My friend [From.GetFirstName] asks me to go fishing with [From.GetHimHer].;;;;;;;;;;;;x
idun_fish_4o1;Sure I'll come!;;;;;;;;;;;;x
idun_fish_4o2;I don't want to...;;;;;;;;;;;;x
idun_fish_5d;I continue fishing for a while, until something is pulling on the line! I have to work hard to reel it back in. It's a huge one!;;;;;;;;;;;;x
idun_fish_5o;I love fishing!;;;;;;;;;;;;x
idun_fish_6d;I continue fishing for a while, until something is pulling, but not very strongly. I have no trouble reeling in a baby trout. I'll do better next time!;;;;;;;;;;;;x
idun_fish_6o;Aw, it's so little.;;;;;;;;;;;;x
idun_fish_7d;I sit at the pond all day, watch dragonflies zoom past and flies dancing above the water's surface, and once in a while I can see a fish in the water. But... they don't bite.;;;;;;;;;;;;x
idun_fish_7o;I guess they weren't hungry.;;;;;;;;;;;;x
idun_fish_8d;Suddenly I can hear a snarling behind me, and when I turn around there's a huge grey wolf staring at me! I quickly scale the tree I was sitting beneath, then shout for someone to come save me.;;;;;;;;;;;;x
idun_fish_8o;Saved by fishermen.;;;;;;;;;;;;x
idun_fish_9d;While sitting next to the water waiting for the fish to bite, a person I've never seen before comes along. He claims to be lonely and says he would like to talk to me for a bit.;;;;;;;;;;;;x
idun_fish_9o1;Run away!;;;;;;;;;;;;x
idun_fish_9o2;Sure, why not?;;;;;;;;;;;;x
idun_fish_10d;The man (or is it a woman?) talks in great detail about all the horrible things that could happen to a child out alone at the lake. I could drown. I could be eaten by wolves, or by the huge mudcrab lurking at the bottom of the water. I could come upon a stranger who abducts me and does horrible things to me.;;;;;;;;;;;;x
idun_fish_10o;Surely those things don't happen?!;;;;;;;;;;;;x
idun_fish_11d;'Hello there little one,' the man says. 'Looks like they aren't biting! Would you like a fish finger instead? But they're mushy inside, and no entrails at all, sadly...' He talks at me for a long time.;;;;;;;;;;;x
idun_fish_11o1;Sure I'll have a fish finger!;;;;;;;;;;;;x
idun_fish_11o2;I don't know what to make of this.;;;;;;;;;;;;x
idun_fish_12d;We talk about my parents and their opinions for the longest time. They are wrong about so many things!;;;;;;;;;;;;x
idun_fish_12o;And I don't like it!;;;;;;;;;;;;x
idun_fish_13d;The man asked me if there was anything I wished I had. I thought about it for a while, then told him what I wanted.;;;;;;;;;;;;x
idun_fish_13o1;I want a doggie!;;;;;;;;;;;;x
idun_fish_13o2;I want a horse!;;;;;;;;;;;;x
idun_fish_13o3;I want a kitty!;;;;;;;;;;;;x
idun_fish_13o4;I don't really need anything.;;;;;;;;;;;;x
idun_fish_14d;My parents or my guardian or someone had told me that I should not go with strangers. I should have taken them seriously, which I now regret. You want to know what happened?\You do not, trust me.;;;;;;;;;;;;x
idun_fish_14o;[ROOT.GetRandomGodName] save me!;;;;;;;;;;;;x
idun_fish_15d;The man wants to invite me to a party in his palace. 'You've never seen such revelry!' he claims.;;;;;;;;;;;;x
idun_fish_15o1;Sure I'll go!;;;;;;;;;;;;x
idun_fish_15o2;No thanks, I have to be home for dinner.;;;;;;;;;;;;x
idun_fish_16d;The man looks scary and horrible, but what he says makes a lot of sense. He tells me how to be strong against my enemies, and how he can help me become even stronger.;;;;;;;;;;;;x
idun_fish_16o1;I'm listening!;;;;;;;;;;;;x
idun_fish_16o2;I'm scared! Leave me alone!;;;;;;;;;;;;x
idun_fish_17d;I'm taken into a dark, luxuriously furnished hall, all held in tones of red and bronze. The party is rather small, there are only a handful of people besides myself, their attire hinting at origins all over the empire. It seems they have also just arrived. I'm being served wine in a silver goblet.;;;;;;;;;;;;x
idun_fish_17o1;Let's sit and drink!;;;;;;;;;;;;x
idun_fish_17o2;I'll go exploring!;;;;;;;;;;;;x
idun_fish_18d;I have a great time talking to these other young people from all over the realm. There is ale and wine, and we become merry and boisterous. We sing and dance and the time passes too quickly.;;;;;;;;;;;;x
idun_fish_18o1;I abstain.;;;;;;;;;;;;x
idun_fish_18o2;I drink too much.;;;;;;;;;;;;x
idun_fish_19d;You've got to know [From.GetBestName] at a party and enjoyed your time with [From.GetHimHer].;;;;;;;;;;;;x
idun_fish_19o;I've made a friend!;;;;;;;;;;;;x
idun_fish_20d;You've got to know [From.GetBestName] at a party and really did not like [From.GetHimHer].;;;;;;;;;;;;x
idun_fish_20o;I've made a rival!;;;;;;;;;;;;
idun_fish_21d;[From.GetBestName] now considers me a friend.;;;;;;;;;;;;
idun_fish_21o;Yay!;;;;;;;;;;;;
idun_fish_22d;[From.GetBestName] now considers me a rival.;;;;;;;;;;;;
idun_fish_22o;Meh.;;;;;;;;;;;;
idun_fish_24d;I have a good look around this strange hall and look into every corner and behind every screen. In an alcove a sparsely-clad girl beckons me to join her at cards.;;;;;;;;;;;;x
idun_fish_24o1;Sure!;;;;;;;;;;;;x
idun_fish_24o2;Never!;;;;;;;;;;;;x
idun_fish_24o3;I'm intrigued.;;;;;;;;;;;;x
idun_fish_25d;I have a good look around this strange hall and look into every corner and behind every screen. In an alcove a sparsely-clad boy beckons me to join him at cards.;;;;;;;;;;;;x
idun_fish_26d;I sit down in the alcove to play. My new friend explains the rules: We bet one piece of clothing per round. The game does not end there, of course...;;;;;;;;;;;;x
idun_fish_26d;We have a great time! Who cares about possible consequences?;;;;;;;;;;;;x
idun_fish_26o;Let's do it again!;;;;;;;;;;;;x
idun_fish_27d;I never thought I would be having carnal relations with a member of my own sex!;;;;;;;;;;;;x
idun_fish_27o1;I'll not do this again any time soon.;;;;;;;;;;;;x
idun_fish_27o2;I enjoyed it.;;;;;;;;;;;;x
idun_fish_27o3;This is what I want!;;;;;;;;;;;;x
idun_fish_29d;My host catches me at the end of the night and asks me if I enjoyed my time here. He looks as if he wouldn't mind taking me somewhere private.;;;;;;;;;;;;x
idun_fish_29o1;Uh... it was nice I guess?;;;;;;;;;;;;x
idun_fish_29o2;May I say 'thank you' in a special way?;;;;;;;;;;;;x
idun_fish_30d;[From.GetFirstName] agreed to come with and we set out to the pond, where we quickly find a good place to cast our lines.;;;;;;;;;;;;x
idun_fish_30o;Now we'll just wait.;;;;;;;;;;;;x
idun_fish_31d;[From.GetFirstName] doesn't want to go fishing with me. [From.GetSheHeCap] said [From.GetSheHe] had something better to do.;;;;;;;;;;;;x
idun_fish_31o;I'm a bit disappointed.;;;;;;;;;;;;x
idun_fish_32d;We sat at the pond all afternoon and caught some fish, but [From.GetFirstName] caught the biggest trout.;;;;;;;;;;;;x
idun_fish_32o1;I don't mind.;;;;;;;;;;;;x
idun_fish_32o2;Now I'm jealous!;;;;;;;;;;;;x
idun_fish_33d;We make it back home with out catch. No matter what, it was an afternoon well spent!;;;;;;;;;;;;x
idun_fish_33o;Fishing is fun.;;;;;;;;;;;;x
idun_fish_34d;We sat at the pond all day, but caught no fish. We're both a bit disappointed.;;;;;;;;;;;;x
idun_fish_34o;Aw.;;;;;;;;;;;;x
idun_fish_35d;Suddenly we hear a snarling from the bushes, and when we turn around there's a pack of huge grey wolves staring at us! We quickly scale the tree we were sitting beneath, then shout for help.;;;;;;;;;;;;x
idun_fish_35o;[ROOT.Religion.GetRandomGodName] help us!;;;;;;;;;;;;x
idun_decision_friend_1;Look for Friend;;;;;;;;;;;;x
idun_friend_1d;I feel a bit lonely in the large demesne which is being run for me. I want a friend to play with!;;;;;;;;;;;;x
idun_friend_1o1;Do you want to be my friend?;;;;;;;;;;;;x
idun_friend_1o2;I shall look for someone who is like me, as we will get along better.;;;;;;;;;;;;x
idun_friend_1o3;There is no one in my realm who could become my new friend!;;;;;;;;;;;;x
idun_friend_2d;[From.GetFullName] wants to be my friend!;;;;;;;;;;;;x
idun_friend_2o1;I like you too!;;;;;;;;;;;;x
idun_friend_2o2;You smell funny!;;;;;;;;;;;;x
idun_friend_3d;I have found a friend!;;;;;;;;;;;;x
idun_friend_3o;I am happy.;;;;;;;;;;;;x
idun_friend_4d;[From.GetFirstName] does not want to be my friend.;;;;;;;;;;;;x
idun_friend_4o;Meh.;;;;;;;;;;;;x
idun_friend_6d;[From.GetFirstName] has changed so much and we keep having arguments about things. I'm not sure I still want to be friends with [From.GetHerHim]!;;;;;;;;;;;;x
idun_friend_6o1;I don't want to be [From.GetFirstName]'s friend any longer.;;;;;;;;;;;;x
idun_friend_6o2;I'll be [From.GetFirstName]'s friend regardless.;;;;;;;;;;;;x
idun_friend_7d;[From.GetFirstName] does not want to be friends any longer.;;;;;;;;;;;;x
idun_friend_7o;Have I changed that much?;;;;;;;;;;;;x
idun_gay_1d;I've thought about naked girls, and I found I'd prefer to see my male friend naked... What'll I do?!;;;;;;;;;;;;x
idun_gay_1o1;I'll talk to him.;;;;;;;;;;;;x
idun_gay_1o2;I don't know anyone else who feels like me!;;;;;;;;;;;;x
idun_gay_1o3;I'll just not act upon it.;;;;;;;;;;;;x
idun_gay_2d;My friend [From.GetFirstName] likes me!;;;;;;;;;;;;x
idun_gay_2o1;Yay!;;;;;;;;;;;;x
idun_gay_2o2;I don't feel like that.;;;;;;;;;;;;x
idun_gay_3d;He loves me too!;;;;;;;;;;;;x
idun_gay_3o3;[ROOT.GetRandomGodName]! That's gross-;;;;;;;;;;;;x
idun_gay_3o;Yay!;;;;;;;;;;;;x
idun_gay_4d;He just sees me as a friend.;;;;;;;;;;;;x
idun_gay_4o;Well...;;;;;;;;;;;;x
idun_gay_5d;I'm attracted to members of my own sex. Perhaps it's time I went out and found someone who feels the same way.;;;;;;;;;;;;x
idun_gay_5o1;Go looking.;;;;;;;;;;;;x
idun_gay_5o2;Stay home.;;;;;;;;;;;;x
