# Secret Conversion
secretly_convert_to_eight_divines_holy_site;Secretly Convert to Eight Divines;;;;;;;;;;;;;x
secretly_convert_to_eight_divines_holy_site_desc;The §YEight Divines§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_maruhkati_holy_site;Secretly Convert to Alessian;;;;;;;;;;;;;x
secretly_convert_to_maruhkati_holy_site_desc;The §YAlessian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_nine_divines_holy_site;Secretly Convert to Nine Divines;;;;;;;;;;;;;x
secretly_convert_to_nine_divines_holy_site_desc;The §YNine Divines§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_alikr_holy_site;Secretly Convert to Alik'r;;;;;;;;;;;;;x
secretly_convert_to_alikr_holy_site_desc;The §YAlik'r§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_satakal_holy_site;Secretly Convert to Satakal;;;;;;;;;;;;;x
secretly_convert_to_satakal_holy_site_desc;The §YSatakal§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_auriel_holy_site;Secretly Convert to Auri-El;;;;;;;;;;;;;x
secretly_convert_to_auriel_holy_site_desc;The §YAuri-El§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_green_pact_holy_site;Secretly Convert to Green Pact;;;;;;;;;;;;;x
secretly_convert_to_green_pact_holy_site_desc;The §YGreen Pact§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_blacksap_holy_site;Secretly Convert to Blacksap;;;;;;;;;;;;;x
