aambition.1.opta;Here is your money - now go get my amulet!;;;;;;;;;;;;;x
aambition.1.optb;I don't need those people...;;;;;;;;;x
aambition.2.opta;I was a fool...;;;;;;;;;x
aambition.3.opta;A shame...;;;;;;;;;x
aambition.3.optb;You may stay in my court.;;;;;;;;;x
aambition.4.opta;Finally!;;;;;;;;;x
aambition.4.optb;You two may stay in my court.;;;;;;;;;x
aambition.5.opta;Here is your money, kind merchant!;;;;;;;;;x
aambition.5.optb;I don't want to do business with you.;;;;;;;;;x
aambition.17.opta;He must have been an avatar of Akatosh!;;;;;;;;;x
aambition.17.optb;I hope this is no forgery...;;;;;;;;;x
aambition.7.opta;You got yourselves a deal!;;;;;;;;;x
aambition.7.optb;Dragonguard? Those guys died out...;;;;;;;;;x
aambition.8.opta;This is a glorious day! Thank you, my Dragonguard!;;;;;;;;;x
aambition.8.optb;I'm most grateful! From now on, I'm your Lord and you're my Blades!;;;;;;;;;x
aambition.9.opta;Adventure, here I go!;;;;;;;;;x
aambition.9.optb;I shall not leave my castle!;;;;;;;;;x
aambition.10.opta;Fight! ;;;;;;;;;x
aambition.fighttooltip;You will have a chance of winning, getting injured, maimed or even killed.;;;;;;;;;x
aambition.10.optb;Sneak around.;;;;;;;;;x
aambition.sneaktooltip;You will have a chance of escaping, getting injured, maimed or even killed.;;;;;;;;;x
aambition.10.optc;Let's just head home...;;;;;;;;;x
aambition.11.opta;Forward! To the Hall of Judgement!;;;;;;;;;x
aambition.11.optb;This is scary! I want to go home!;;;;;;;;;x
aambition.12.opta;Fight!;;;;;;;;;x
aambition.12.optb;Sneak around.;;;;;;;;;x
aambition.13.opta;Forward! To the Tomb of the Reman Emperors!;;;;;;;;;x
aambition.13.optb;;This is scary! I want to go home!;;;;;;;;;x
aambition.14.opta;Now I just need to find this amulet...;;;;;;;;;x
aambition.14.optb;I must not anger the old spirits! Let's head back home!;;;;;;;;;x
aambition.15.opta;Fight!;;;;;;;;;x
aambition.15.optb;Sneak around.;;;;;;;;;x
aambition.16.opta;I've finally found the Amulet of Kings!;;;;;;;;;x
