itwastoomuch;The torture was too much, and you have died.;;;;;;;;;;;;;x
ktorture10d;Torturer is informed of [From.GetBestName] refusal to relinquish their claims. The victim is now little more then a bloody, mutilated mess and further torture will only result in their death or complete incapacitation.;;;;;;;;;;;;;x
ktorture10o1;Continue! I want results!;;;;;;;;;;;;;x
ktorture11d;Victim is informed of the final round of torture and how it will either kill or completely incapacitate them.;;;;;;;;;;;;;x
ktorture11o1;Victim relinquishes claim.;;;;;;;;;;;;;x
ktorture11o2;Victim refuses to the bitter end.;;;;;;;;;;;;;x
ktorture12d;Torturer is informed the victim is so badly mutilated there's barely anything left to cut off or break. [From.GetBestName] has 'won', they've resisted the torture but at great cost and are now little more than a gibbering lump of bloody flesh.;;;;;;;;;;;;;x
ktorture1d;Informs the Victim they are going to be tortured over their claims to [From.GetTitledFirstName] titles.;;;;;;;;;;;;;x
ktorture20d;Informs the Victim they are going to be tortured over their religion, but converting could save them from the horrors.;;;;;;;;;;;;;x
ktorture20o1;There's no need for this! I've always been a secret follower of your religion!;;;;;;;;;;;;;x
ktorture1o1;Wait! There's no need for this! I relinquish my claims!;;;;;;;;;;;;;x
ktorture20o2;I will never change my faith just to appease you! Heathen!;;;;;;;;;;;;;x
ktorture1o2;Those titles are rightfully mine, I'll never relinquish them!;;;;;;;;;;;;;x
ktorture2d;Informs the Torturer that the victim relinquishes their claim without any kind of torture.;;;;;;;;;;;;;x
ktorture21d;Informs the Torturer that the victim converts without the need for torture.;;;;;;;;;;;;;x
ktorture2o1;Hm, yes, I think I'll torture you anyway.;;;;;;;;;;;;;x
ktorture2o2;Well that's no fun. I suppose you can go...;;;;;;;;;;;;;x
ktorture60d;Victim is informed of their freedom.;;;;;;;;;;;;;x
ktorture60o;Freedom!;;;;;;;;;;;;;x
ktorture61d;Your Torturer and his cronies carry you back to your cell, where you are thrown back in with a thud.;;;;;;;;;;;;;x
ktorture61o;Oof!;;;;;;;;;;;;;x
ktorture62d;Torturer is informed the victim has died as a result of the torture.;;;;;;;;;;;;;x
ktorture62o;Whoops!;;;;;;;;;;;;;x
ktorture3d;Torturer is informed that [From.GetBestName] has refused to relinquish their claims.;;;;;;;;;;;;;x
ktorture3d;Torturer is informed that [From.GetBestName] has refused to convert.;;;;;;;;;;;;;x
ktorture3o;Proceed with torturing [From.GetBestName].;;;;;;;;;;;;;x
ktorture4d;Victim's event about being tortured. Use some kind of generic text that doesn't reference why they're being tortured (then we only need one localisation line for this).;;;;;;;;;;;;;x
ktorture4o1;Stop! Please! I'll give you anything you want!;;;;;;;;;;;;;x
ktorture4o2;Do what you like to me, but I'll never give in!;;;;;;;;;;;;;x
ktorture5d;Informs the Torturer the victim has relinquished their claims.;;;;;;;;;;;;;x
ktorture24d;Informs the torturer the victim has agreed to convert under torture.;;;;;;;;;;;;;x
CONVERTTORTURE;You will convert to your torturers religion.;;;;;;;;;;;;;x
ktorture5o1;Excellent...now back to the dungeon with you!;;;;;;;;;;;;;x
ktorture6d;Torturer is informed the victim still refuses to relinquish their claim.;;;;;;;;;;;;;x
ktorture6o1;Continue torturing [From.GetBestName].;;;;;;;;;;;;;x
ktorture6o2;Throw [From.GetBestName] back into the dungeon.;;;;;;;;;;;;;x
ktorture6o3;[From.GetBestName] will never give in. Release them.;;;;;;;;;;;;;x
ktorture7d;Victim is informed of continuing torture.;;;;;;;;;;;;;x
ktorture9d;Victim is informed of yet more torture.;;;;;;;;;;;;;x
ktorture300d;[From.GetTitledFirstName] has decided to work out some of their pent up aggression on you today, and you have been unceremoniously dragged from your dungeon cell and thrown into the torture chamber with [From.GetTitledFirstName] and his Torturers.;;;;;;;;;;;;;x
ktorture300o1;Please no!;;;;;;;;;;;;;x
