trade_route_province_desc;Is a major stop along this Trade Route;;;;;;;;;;;;;x
thir_river_trade_route;Thir River Trade;;;;;;;;;;;;;x
iliac_bay_trade_route;Iliac Bay Trade;;;;;;;;;;;;;x
dragontail_trade_route;Dragontail Mountains Trade;;;;;;;;;;;;;x
northpoint_trade_route;Northpoint Bay Trade;;;;;;;;;;;;;x
yokuda_trade_route;Yokuda Trade;;;;;;;;;;;;;x
southpoint_trade_route;Mer Sea Trade;;;;;;;;;;;;;x
thorn_trade_route;Thornmarsh Trade;;;;;;;;;;;;;x
orcrest_trade_route;Anequina Desert Trade;;;;;;;;;;;;;x
alinor_trade_route;Summerset Isles Trade;;;;;;;;;;;;;x
silk_road;Trade Route;;;;;;;;;;;;;x
niben_river_route;Niben River Trade;;;;;;;;;;;;;x
niben_river_route_desc;This ancient trade route, first navigated by Topal "the Pilot", starts at the Waterfront District of the Imperial City and runs all around the southern coast of Tamriel. Imperials, Bosmers, Argonians and Khajiit merchants trade raw materials for the latest in Imperial City fashion.;;;;;;;;;;;;;x
anvil_port_route;Gold Coast Trade;;;;;;;;;;;;;x
whiterun_trade_route;Tundra Trade;;;;;;;;;;;;;x
red_ring_road;Red Ring Road;;;;;;;;;;;;;x
red_ring_road_desc;The Red Ring Road is the major highway circling the economically important Rumare and upper Niben. Goods from across Tamriel travel this route as they make their way to the Imperial Isle, and the area itself is renowned for it's agricultural products which while not extravagant luxuries are vital to Tamrielic civilisation.;;;;;;;;;;;;;x
imperial_isle_trade;Imperial Isle Road;;;;;;;;;;;;;x
imperial_isle_trade_desc;The Imperial Isle is a veritable country unto itself. As one of the largest population centres in the world and its strategic position at the heart of Tamriel, the Imperial Isle has served as the administrative capital of successive Empires, from the Ayleids to the present day. Even in times of unrest or disunity the Imperial Isle is seen as the de facto Capital of the Continent, and Warlords salivate at the very thought of taking it, and it's riches for themselves.;;;;;;;;;;;;;x
imperial_road;Imperial Roads;;;;;;;;;;;;;x
tr_imperial_road_1;Imperial Road Inn;;;;;;;;;;;;;x
tr_imperial_road_1_desc;A large Inn occupying a spot along the Imperial Road, the interconnected highways that form the arteries of Cyrodiil's burgeoning trade networks. Merchants and travellers alike stop at this Inn to discuss business and imbide the local brews.;;;;;;;;;;;;;x
tr_imperial_road_2;Imperial Road Trading Post;;;;;;;;;;;;;x
tr_imperial_road_2_desc;The Inn that once occupied this spot along the Imperial Road has since grown into a full blown Trade Post. Merchants travel from surrounding areas and from along the various interconnected routes to trade their wares here.;;;;;;;;;;;;;x
tr_imperial_road_3;Imperial Road Market Town;;;;;;;;;;;;;x
tr_imperial_road_3_desc;Once there stood a simple Inn upon this spot, now there stands a burgeoning Market Town, a place renowned along the Imperial Roads as a hub of trade and commerce.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_1_OTHER_PROVINCES_CONDITION;No other province within a distance of §Y100§! contains an §YInn§!, §YTrading Post§! or §YMarket Town§!.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_2_OTHER_PROVINCES_CONDITION;No other province within a distance of §Y200§! contains a §YTrading Post§! or §YMarket Town§!.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_3_OTHER_PROVINCES_CONDITION;No other province within a distance of §Y500§! contains a §YMarket Town§!.;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YTrade Route§!\nAn important trade route passes through this province.\n;\n§YRoute de la soie§!\nLa route de la soie apporte du commerce à cette province.\n;\n§YSeidenstraße§!\nDie Seidenstraße bringt Handel in diese Provinz.\n;;\n§YLa Ruta de la seda\n La Ruta de la seda trae comercio a través de esta provincia. \n;;;;;;;;;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YTrade Route§!\n§RWar is blocking this part of an important trade route. Provinces that are occupied or besieged will block trade passing downstream.§!\n;\n§YRoute de la soie§!\n§RLa guerre a coupé cette section de la route de la soie. Les provinces qui sont occupées ou assiégées bloqueront la route de la soie à partir de ce point.§!\n;\n§YSeidenstraße§!\n§RDieser Teil der Seidenstraße ist durch einen Krieg blockiert. Besetzte oder belagerte Provinzen unterbrechen die Seidenstraße.§!\n;;\n§YLa ruta de la seda\n§RLa guerra está bloqueando esta parte de la Ruta de la seda. Las provincias que están ocupadas o sitiadas, bloquean la Ruta de la Seda corriente abajo.;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nThe trade route gives the following effects:\n$MODIFIER$\n\nInns, Trade Posts and Market Towns built in trade route provinces increase the modifier for all provinces. If some trade route provinces are blocked (by siege or occupation), other trade route provinces temporarily get a higher bonus as trade is redirected.;\nLa route de la soie procure les effets suivants :\n$MODIFICATEURS$\n\nLes comptoirs commerciaux présents dans des provinces où passe la route de la soie augmentent le modificateur de toutes les provinces. Si certaines provinces de la route de la soie sont bloquées (par un siège ou une occupation), d'autres provinces de la route de la soie reçoivent temporairement un bonus plus élevé en raison de la redirection des activités commerciales.;\nDie Seidenstraße erzeugt folgende Effekte:\n$MODIFIER$\n\nIn Seidenstraßenprovinzen gebaute Handelsposten erhöhen den Modifikator aller Provinzen. Wenn einige Provinzen der Seidenstraße blockiert sind (besetzt sind oder belagert werden), erhalten andere Seidenstraßenprovinzen vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nLa Ruta de la seda da los siguientes efectos:\n$MODIFIER$\n\nPuestos comerciales en las provincias de la Ruta de la seda aumentan el modificador para todas las provincias. Si algunas provincias de la Ruta de la seda están bloqueadas (por asedio u ocupación), otras provincias de la Ruta de la seda obtendrán una mayor bonificación temporal al redirigirse el comercio.;;;;;;;;;x
INACTIVE_TRADE_ROUTE_MODIFIER;\nIf active, the trade route would give the following effects:\n$MODIFIER$\n\nInns, Trade Posts and Market Towns built in trade route provinces increase the modifier for all provinces. If some trade route provinces are blocked (by siege or occupation), other trade route provinces temporarily get a higher bonus as trade is redirected.;\nSi elle était active, la route de la soie procurerait les effets suivants :\n$MODIFICATEURS$\n\nLes comptoirs commerciaux présents dans des provinces où passe la route de la soie augmentent le modificateur de toutes les provinces. Si certaines provinces de la route de la soie sont bloquées (par un siège ou une occupation), d'autres provinces de la route de la soie reçoivent temporairement un bonus plus élevé en raison de la redirection des activités commerciales.;\nDie Seidenstraße hätte in aktivem Zustand folgende Effekte:\n$MODIFIER$\n\nIn Seidenstraßenprovinzen gebaute Handelsposten erhöhen den Modifikator aller Provinzen. Wenn einige Provinzen der Seidenstraße blockiert sind (besetzt sind oder belagert werden), erhalten andere Seidenstraßenprovinzen vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nSi está activo, la Ruta de la seda te daría los siguientes efectos:\n$MODIFIER$\n\nPuestos comerciales en las provincias de la Ruta de la seda aumentan el modificador para todas las provincias. Si algunas provincias de la Ruta de la seda están bloqueadas (por asedio u ocupación), otras provincias de la Ruta de la seda obtendrán una mayor bonificación temporal al redirigirse el comercio.;;;;;;;;;x
MAPMODE_TRADE_ZONES_DESC;All Trade Zones, separated by their owners. Provinces along trade routes are shown striped in yellow if active or red if blocked by siege or occupation.;Toutes les zones commerciales, regroupées par propriétaire. Les provinces sur la route de la soie possèdent des rayures jaunes si elles sont actives et des rayures blanches si elles sont bloquées par un siège ou une occupation.;Alle Handelszonen, getrennt nach Besitzer. Provinzen auf der Seidenstraße werden gestreift dargestellt. Gelbe Gebiete sind aktiv, während rote Gebiete durch Belagerung oder feindliche Besetzung blockiert sind.;;Todas las zonas de comercio, separadas por sus dueños. Las provincias de la Ruta de la seda aparecen con rayas amarillas si están activas o rojas si están bloqueadas por sitio u ocupación.;;;;;;;;;x
bleak_trail;Bleak Trail;;;;;;;;;;;;;x
serpents_trail;Serpent's Trail;;;;;;;;;;;;;x
darkwater_trail;Darkwater Trail;;;;;;;;;;;;;x
orange_road;Orange Road;;;;;;;;;;;;;x
silver_road;Silver Road;;;;;;;;;;;;;x
green_road;Green Road;;;;;;;;;;;;;x
black_road;Black Road;;;;;;;;;;;;;x
gold_road;Gold Road;;;;;;;;;;;;;x
green_road;Green Road;;;;;;;;;;;;;x
yellow_road;Yellow Road;;;;;;;;;;;;;x
blue_road;Blue Road;;;;;;;;;;;;;x
ustuns_trail;Ustun's Trail;;;;;;;;;;;;;x
horkers_trail;Horker's Trail;;;;;;;;;;;;;x
ghost_sea_route;Ghost Sea Route;;;;;;;;;;;;;x
velothian_route;Velothi Route;;;;;;;;;;;;;x
dragons_back_route;Dragon's Back;;;;;;;;;;;;;x
dragons_back_route_desc;;;;;;;;;;;;;;x
tigers_reach_route;Tiger's Reach;;;;;;;;;;;;;x
tigers_reach_route;;;;;;;;;;;;;;x
greater_akavir_route;Greater Akavir Land Route;;;;;;;;;;;;;x
greater_akavir_route;;;;;;;;;;;;;;x
islands_route;Islands Line;;;;;;;;;;;;;x
islands_route;;;;;;;;;;;;;;x
emerald_route;Emerald Line;;;;;;;;;;;;;x
emerald_route;;;;;;;;;;;;;;x
forked_tongue_route;Forked Tongue;;;;;;;;;;;;;x
forked_tongue_route;;;;;;;;;;;;;;x
karabozut_route;Karabozut Road;;;;;;;;;;;;;x
karabozut_route;;;;;;;;;;;;;;x
greater_kamal_route;Greater Kamal Road;;;;;;;;;;;;;x
greater_kamal_route;;;;;;;;;;;;;;x
kamal_mountain_route;Kamal Mountain Trail;;;;;;;;;;;;;x
kamal_mountain_route;;;;;;;;;;;;;;x
