arcane_student;Arcane Student;;;;;;;;;;;;;x
arcane_student_desc;[Root.GetFirstName] has completed their studies at the Arcane University;;;;;;;;;;;;;x
warrior_student;Retired Fighter;;;;;;;;;;;;;x
warrior_student_desc;[Root.GetFirstName] has retired from the Fighter's Guild after years of service;;;;;;;;;;;;;x
thief_student;Shadowy Past;;;;;;;;;;;;;x
lucky;Lucky;;;;;;;;;;;;;x
lucky_desc;This person has been blessed from birth with an unnatural amount of luck, things just seem to always, or at least almost always, go their way.;;;;;;;;;;;;;x
unlucky;Unlucky;;;;;;;;;;;;;x
unlucky_desc;This person has been cursed from birth with an unnaturally unlucky disposition. Things just never seem to go their way.;;;;;;;;;;;;;x
thief_student_desc;[Root.GetFirstName] has returned from some mysterious organization...;;;;;;;;;;;;;x
scout;Scout;;;;;;;;;;;;;x
scout_desc;[Root.GetFirstName] knows the lay of the land like the back of his hand.;;;;;;;;;;;;;x
bloody_commander;Bloody;;;;;;;;;;;;;x
bloody_commander_desc;[Root.GetFirstName] is extremely violent and bloody, slaughtering any who stand in their way without regard to the safety of themselves or their own soldiers.;;;;;;;;;;;;;x
by_the_book;By the Book;;;;;;;;;;;;;x
by_the_book_desc;[Root.GetFirstName] is a relic of past wars, or believes so strongly in tried and tested tactics that they have difficulty adapting to new situations.;;;;;;;;;;;;;x
disorganised;Disorganised;;;;;;;;;;;;;x
disorganised_desc;[Root.GetFirstName] is completely disorganised and their soldiers poorly drilled.;;;;;;;;;;;;;x
hesitant_commander;Hesitant;;;;;;;;;;;;;x
hesitant_commander_desc;[Root.GetFirstName] is hesitant in command and has difficulty dealing with the pressures of battle. ;;;;;;;;;;;;;x
inept_general;Inept Leader;;;;;;;;;;;;;x
inept_general_desc;[Root.GetFirstName] is an atrocious military commander, and it shows.;;;;;;;;;;;;;x
meticulous_commander;Meticulous;;;;;;;;;;;;;x
