vamp_c_attack;You suddenly wake up in the middle of the night, and feel as if something is wrong.;;;;;;;;;;;;;x
EVTOPTAvamp1;What could it be?;;;;;;;;;;;;;x
vamp_dead;A vampire is biting your neck! You struggle, but it's in vain. The vampire leaves and you lie on your bed, bleeding out.;;;;;;;;;;;;;x
EVTOPTAvamp2;I knew I should have hired more guards...;;;;;;;;;;;;;x
vamp_c_bitten;You feel light-headed, and your neck feels sore. When you touch it, you feel two small bumps.;;;;;;;;;;;;;x
EVTOPTAvamp3;I'm sure it's nothing.;;;;;;;;;;;;;x
EVTOPTBvamp3;I should go see a healer.;;;;;;;;;;;;;x
vamp_ran;You notice someone sneaking towards your bed. The stranger notices you are awake, and panics, sprinting out of the room to safety. ;;;;;;;;;;;;;x
EVTOPTAvamp4;Guards! I need more guards!;;;;;;;;;;;;;x
vamp_guards;You hear a commotion outside, and go out to investigate. One of your guards informs you that an intruder was found, and was killed while attempting to escape.;;;;;;;;;;;;;x
EVTOPTAvamp5;Who would try to infiltrate my home?;;;;;;;;;;;;;x
vamp_c_turned1;You dream of someone sleeping peacefully in his bed, when a shadowy, gaunt figure silently enters the room. Approaching the bed, the figure leans down and sinks its fangs into the sleeping person. After a few moments, the pale figure rises, blood dripping down [Root.GetHerHim] chin. As colour flows back into the vampire's face, and [Root.GetHerHim] features fill out, you recognize the face as your own. ;;;;;;;;;;;;;x
EVTOPTAvamp6;You awake screaming.;;;;;;;;;;;;;x
vamp_c_turned2;After a moment, you realise with relief that it was just a dream. You go to draw back the curtains, but as the sunlight touches your hand, it burns your skin black. You recoil, and scream once more. Frightened, you lift your hands to your face, finding your teeth have extended, and your face has grown thinner.;;;;;;;;;;;;;x
EVTOPTAvamp7;What have I become? I am a monster!;;;;;;;;;;;;;x
vamp_c_visit1;A mysterious stranger appears at court, asking if he could stay awhile.;;;;;;;;;;;;;x
EVTOPTAvamp8;Sure, why not? You can stay.;;;;;;;;;;;;;x
EVTOPTBvamp8;Of course not! Get out of my sight!;;;;;;;;;;;;;x
vamp_c_visit2;You and your new courtier became fast friends. So much so, that after a few months, he confides with you a great secret. As it turns out, your new friend is actually a vampire!;;;;;;;;;;;;;x
