succ_great_house_selection;Great House Selection;;;;;;;;;;;;;x
great_house_selection;Great House;;;;;;;;;;;;;x
succ_great_house_selection_desc;All independent landed members of the respective Great House, as well as all members of the House Council and any Duke may vote amongst other Council members, traditional dynasty members and close blood relatives of the current Grandmaster to decide who shall be selected as new ruler.;;;;;;;;;;;;;x
succ_nord_moot_elective;Nordic Moot;;;;;;;;;;;;;x
nord_moot_elective;Nordic Moot;;;;;;;;;;;;;x
succ_nord_moot_elective_desc;All Jarls and Thanes, as well as any Housecarls, Chancellors and Marshals of the current ruler may vote to choose, guided by traditional Nordic values, their new ruler amongst the current ruler extended family, his vassals, some of his councilors and all of his commanders.;;;;;;;;;;;;;x
sybil_of_dibella;Sybil of Dibella;;;;;;;;;;;;;x
divines.2.desc;[From.GetBestName], one of the known Sybils of Dibella, has died. This is a sad day not only to her relatives, or even the Cult of Dibella, but to all of those who appreciate the Dibellan arts.;;;;;;;;;;;;;x
divines.2.opt1;May her death beautify the afterlife!;;;;;;;;;;;;;x
divines.4.desc;A group of pompous priestesses associated with the Cult of Dibella has entered the realm. They claim that the Goddess of Love herself informed them that [From.GetFullName] was chosen to be her new prophetess on Nirn, a Sybil of Dibella. They pretend to take her away so she can be lectured in the ways of the cult.;;;;;;;;;;;;;x
divines.4.opt1;I'll arrange her carriage immediately, she must travel the land.;;;;;;;;;;;;;x
divines.4.opt2;They can lecture her, but she should preach within the realm.;;;;;;;;;;;;;x
divines.4.opt3;A Sybil of Dibella you say? I must marry her!;;;;;;;;;;;;;x
divines.4.opt4;She is not going anywhere!;;;;;;;;;;;;;x
divines.5.desc;The Cult of Dibella has spoken! After performing the appropriate rituals a new prophetess has been revealed by the goddess herself! The new Sybil of Dibella is [From.GetFullName] of [From.Realm.GetName].;;;;;;;;;;;;;x
divines.5.opt1;Blessed be!;;;;;;;;;;;;;x
divines.7.desc;A group of pompous priestesses associated with the Cult of Dibella has entered the realm. They carry with them [FromFrom.GetFullName], the newest Sybil of Dibella, and claim that you should dedicate one of your realm's temples to the Dibellan arts.;;;;;;;;;;;;;x
divines.7.opt1;The Sybil shall have her temple!;;;;;;;;;;;;;x
divines.7.opt2;You can't just order a ruler around like that, begone!;;;;;;;;;;;;;x
green_pact_silvenar;Silvenar;;;;;;;;;;;;;x
green_pact_green_lady;Green Lady;;;;;;;;;;;;;x
green_widow;Green Widow;;;;;;;;;;;;;x
greenpact.2.desc;Silvenar [From.GetFullName], the embodiment of the Voice of the Bosmer, has passed away and his body was carefully preserved for future consumption. Soon a new Silvenar shall come forward to represent all of the Bosmers.;;;;;;;;;;;;;x
greenpact.9.desc;Green Lady [From.GetFullName], the embodiment of the Passion of the Bosmer, has passed away and her body now nurtures the earth. Without a Green Lady to balance his spiritual connection with the Bosmer people, the current Silvenar will eventually lose his temper and health, dying only to be replaced by a new generation.;;;;;;;;;;;;;x
greenpact.2.opt1;And with his death the circle of life continues.;;;;;;;;;;;;;x
greenpact.2.opt2;May him find peace in death.;;;;;;;;;;;;;x
greenpact.4.desc;Without the companionship of my significant other my spiritual connection with the Bosmer people diminishes one day after the other.;;;;;;;;;;;;;x
greenpact.4.opt1;[Root.Religion.GetRandomEvilGodName] may take my soul.;;;;;;;;;;;;;x
greenpact.4.opt2;This burden is too much for me to take alone.;;;;;;;;;;;;;x
greenpact.4.opt3;Life makes no sense without my significant other.;;;;;;;;;;;;;x
greenpact.5.desc;A new Silvenar has come forward! Sensing his connection with all the Bosmer people strengthen each day, [From.GetBestName] has suddenly stopped behaving like his old self and has now become the very embodiment of the Voice of the Bosmer. A new Green Lady shall come forward soon to complement his spiritual connection.;;;;;;;;;;;;;x
greenpact.5.opt1;Blessed be [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
greenpact.5.opt2;An interesting development.;;;;;;;;;;;;;x
greenpact.7.desc;[From.GetFullName] has come forward as the new Green Lady. The very embodiment of the Passion of the Bosmer, she must now marry the Silvenar in the traditional Handfasting ceremony, an ancient Bosmeri feast that can last for days and spiritually binds the new couple. As mandates tradition, all followers of the Green Pact should send the new couple a basket of gifts;;;;;;;;;;;;;x
greenpact.7.opt1;Send the new couple a lavish gift!;;;;;;;;;;;;;x
greenpact.7.opt2;Send the new couple a good present!;;;;;;;;;;;;;x
greenpact.7.opt3;Send the new couple a token of my consideration!;;;;;;;;;;;;;x
greenpact.7.opt4;We can't, and won't, send anything right now.;;;;;;;;;;;;;x
greenpact.9.desc;[From.GetFullName], the embodiment of the Passion of the Bosmer, has passed away and her body now nurtures the earth. Without a Green Lady to balance his spiritual connection with the Bosmer people, the current Silvenar will eventually lose his temper and health, dying only to be replaced by a new generation.;;;;;;;;;;;;;x
greenpact.9.opt1;And with her death the circle of life continues.;;;;;;;;;;;;;x
greenpact.9.opt2;May her find peace in death.;;;;;;;;;;;;;x
greenpact.10.title;The Handfasting!;;;;;;;;;;;;;x
greenpact.10.desc;In a feast lasting three days and three nights inside a majestic Graht-Oak, a procession of Bosmers from all over Tamriel have come forward to drink, eat and dance in honor of their new spiritual leaders. In the pinnacle of this intricately simple and understandingly confusing ceremony, [FromFrom.GetBestName] and [From.GetBestName] take each one a hand of the late Silvenar [FromFromFrom.GetFullName] and start feasting upon the flesh of his dead body, eventually drinking its blessed blood to cement their holy union as leaders of all Green Pact faithful. Dedicated to [From.Religion.GetRandomGodName], the ceremony marks the beginning of a new spiritual generation to the Bosmer people.;;;;;;;;;;;;;x
greenpact.10.opt1;Blessed be the Green Pact!;;;;;;;;;;;;;x
greenpact.10.opt2;Gruesome...;;;;;;;;;;;;;x
is_great_house_grandmaster;Is leader of the House Council;;;;;;;;;;;;;x
ekgreathouses.title.1;The Great Houses;;;;;;;;;;;;;x
ekgreathouses.desc.1;The Great Houses have their origin in the ancient customs of the Chimer clans and tribes. They have mostly evolved and are now more akin to political parties. It seems that either they hold personal significance to you or they are particularly relevant in your realm, anyway it's highly recommended to pledge yourself into one of them.;;;;;;;;;;;;;x
ekgreathouses.pledgehouse;It's custom, I must pledge to one of the Great Houses.;;;;;;;;;;;;;x
ekgreathouses.pledgeancestors;I shall pledge to the Great Houses of my ancestors.;;;;;;;;;;;;;x
ekgreathouses.dontpledge;I will not bow down to any of those petty "Great" Houses!;;;;;;;;;;;;;x
ekgreathouses.desc.2;Now, which Great House shall I pledge to?;;;;;;;;;;;;;x
ekgreathouses.pledgeother;More options...;;;;;;;;;;;;;x
ekgreathouses.pledgeredoran;I will pledge to warrior Great House Redoran!;;;;;;;;;;;;;x
ekgreathouses.pledgehlaalu;I will pledge to merchant Great House Hlaalu!;;;;;;;;;;;;;x
ekgreathouses.pledgedres;I will pledge to traditional Great House Dres!;;;;;;;;;;;;;x
ekgreathouses.pledgeindoril;I will pledge to pious Great House Indoril!;;;;;;;;;;;;;x
ekgreathouses.pledgetelvanni;I will pledge to wizard Great House Telvanni!;;;;;;;;;;;;;x
ekgreathouses.pledgesadras;I will pledge to diplomat Great House Sadras!;;;;;;;;;;;;;x
ekgreathouses.pledgesul;I will pledge to witness Great House Sul!;;;;;;;;;;;;;x
ekgreathouses.pledgedagoth;I live to serve the Sharmat! Long live Dagoth Ur!;;;;;;;;;;;;;x
ekgreathouses.pledgeveloth;I will pledge to ancient Great House Veloth!;;;;;;;;;;;;;x
ekgreathouses.title.5;House's Calling;;;;;;;;;;;;;x
ekgreathouses.desc.5;[From.GetBestName], a preeminent noble of your House, has managed to centralize House politics around him and establish a Council for your House. Your retainers believe you should swear fealty to him, or else he might claim your lands with the backing of his new-found Council.;;;;;;;;;;;;;x
ekgreathouses.2.desc.5;Under the blessing of [Root.GetRandomGodName], as confirmed by [Root.Religion.GetPriestTitle], [From.GetBestName] has reformed your House into a truly Great House and now demands that you swear fealty to him, or else he will ask the House Council for a claim on your titles.;;;;;;;;;;;;;x
ekgreathouses.bend;I live to serve my House!;;;;;;;;;;;;;x
ekgreathouses.dontbend;I'll not bend the knee to anyone who asks!;;;;;;;;;;;;;x
ekgreathouses.10.d;List of the strength of each House Council:\nHouse Dres: [GetHouseDresStr]\nHouse Hlaalu: [GetHouseHlaaluStr]\nHouse Redoran: [GetHouseRedoranStr]\nHouse Indoril: [GetHouseIndorilStr]\nHouse Telvanni: [GetHouseTelvanniStr]\nHouse Sadras: [GetHouseSadrasStr]\nHouse Sul: [GetHouseSulStr]\nHouse Veloth: [GetHouseVelothStr]\nHouse Dagoth: [GetHouseDagothStr];;;;;;;;;;;;;x
NON_EXISTING_HOUSE_CT;§RHouse Council does not exist§!;;;;;;;;;;;;;x
HOUSE_DRES_STR_CT;[global_h_dr_str.GetValue];;;;;;;;;;;;;x
HOUSE_HLAALU_STR_CT;[global_h_hl_str.GetValue];;;;;;;;;;;;;x
HOUSE_REDORAN_STR_CT;[global_h_re_str.GetValue];;;;;;;;;;;;;x
HOUSE_INDORIL_STR_CT;[global_h_in_str.GetValue];;;;;;;;;;;;;x
HOUSE_TELVANNI_STR_CT;[global_h_te_str.GetValue];;;;;;;;;;;;;x
HOUSE_SADRAS_STR_CT;[global_h_sa_str.GetValue];;;;;;;;;;;;;x
HOUSE_SUL_STR_CT;[global_h_su_str.GetValue];;;;;;;;;;;;;x
HOUSE_VELOTH_STR_CT;[global_h_ve_str.GetValue];;;;;;;;;;;;;x
HOUSE_DAGOTH_STR_CT;[global_h_da_str.GetValue];;;;;;;;;;;;;x
MODIFIER_STRENGTH_LIST_CT;Breakdown of what can change a House Council strength:;;;;;;;;;;;;;x
GREAT_HOUSE_STRENGTH_CT;Great House (King-tier title): §G+10§!;;;;;;;;;;;;;x
TRIBUNAL_HOUSE_STRENGTH_CT;Archcanon part of the House: §G+10§!;;;;;;;;;;;;;x
ekgreathouses.101.desc;With the dismissal of your late Mouth, [From.GetFullName], [Root.GetBestName] has no representative in the House Council.;;;;;;;;;;;;;x
ekgreathouses.101.opt1;I will personally lead the Council.;;;;;;;;;;;;;x
ekgreathouses.101.opt2;I will appoint a new Mouth.;;;;;;;;;;;;;x
pledge_great_house;Pledge to a Great House;;;;;;;;;;;;;x
pledge_great_house_desc;Pledge your membership at one of the Great Houses;;;;;;;;;;;;;x
pledge_house_dagoth;Pledge to  Great House Dagoth;;;;;;;;;;;;;x
