zlocalisation;This file is for me, Korba, to place localisation that should probably be rewritten before release rather than place it into the main localisation files. Feel free to add your own.;;;;;;;;;;;;;x
otherfiles;Other files might need your help, torture_localisation, flea_ixa_localisations;;;;;;;;;;;;;x
informplotter;Inform the main plotter.;;;;;;;;;;;;;x
kambition180d;You go on an amazing adventure but Korba right now is uninspired and so can't think of an event chain to write. He's also waiting for the adventure framework from teotl. Good News! You have the Amulet of Kings!  Tea and biscuits all-round!;;;;;;;;;;;;;x
kplot2d;[From.GetBestName] (the plotbacker) informs you that an attempt will be made to kidnap the target whilst they're travelling.;;;;;;;;;;;;;x
kplot2o1;Make it so.;;;;;;;;;;;;;x
kplot2o2;I don't think this is such a good idea.;;;;;;;;;;;;;x
kplot3d;Text to notify the victim they've been kidnapped by [From.GetTitledFirstName].;;;;;;;;;;;;;x
kplot3o;Oh no!;;;;;;;;;;;;;x
EVTOPTALoR.886;Tell us more about this mythical realm of Yokuda.;Dites-m'en plus sur ce royaume mythique de Hindoustan.;Erzählt uns mehr über dieses mysteriöse Reich der Hindustani.;;Cuéntanos más acerca de este mítico reino de Indostán.;;;;;;;;;x
kplot2tt1;Kidnap Succeeds.;;;;;;;;;;;;;x
EVTDESCLoR.840;Supporters of the Blue and Yellow teams have clashed at the Imperial Arena and riots have broken out! The City Guards are fighting to contain the situation, but the Blades are also standing by. They would make mincemeat of any hooligans before the riot has a chance of spreading to other districts, but there could be significant collateral damage...;Les supporters des Bleus et des Verts s'affrontent dans l'Hippodrome et des émeutes ont éclaté ! La Garde de la cité se bat pour contenir la situation, mais la Garde varègue est aussi au garde-à-vous. Ses hommes vont hacher menu tous les vandales avant qu;Unterstützer der blauen und grünen Streitwagen-Mannschaft sind im Hippodrom aufeinandergestoßen und Ausschreitungen sind losgebrochen! Die Stadtwache kämpft darum, die Situation unter Kontrolle zu halten, doch die Warägerwachen halten sich bereit. Sie wür;;¡Los seguidores de los equipos Azul y Verde tuvieron un enfrentamiento en el Hipódromo y los disturbios han estallado! La Guardia de la Ciudad está luchando para controlar la situación, pero la la Guardia varega también está en estado de alerta. Ellos harían picadillo a cualquier alterado para evitar que los disturbios se expandieran hacia otros distritos, pero eso provocaría inumerables daños colaterales...;;;;;;;;;x
EVTDESCLoR.841;Hundreds of rioting supporters are hacked down as the Katana-wielding Blades charge into their ranks. Many attempt to flee, but the Blades give chase and show no mercy to those they catch. The streets are littered with the mangled corpses of hooligans... and a few dozen innocent bystanders. The Blades can be a brutal tool when needed but one to be wielded with care.;Des centaines d'émeutiers, des supporters de courses de chars, sont massacrés sous la hache des Nordiques qui chargent dans leurs rangs. Plusieurs tentent de s'enfuir, mais les Varègues les prennent en chasse et n'ont aucune pitié pour ceux qu'ils attrape;Hunderte von aufrührerischen Streitwagen-Unterstützern werden niedergemetzelt, als die axtschwingenden Wikinger in die Ränge stürmen. Viele versuchen zu fliehen, doch die Waräger verfolgen sie und zeigen denjenigen, die sie erwischen, keine Gnade. Die Str;;Cientos de fanáticos exaltados son descuartizados con las hachas de los hombres nórdicos. Muchos de ellos tratan de huir, pero los varegos no dudan en darles caza y no muestran ningún atisbo de piedad. Las calles están llenas de cadáveres mutilados de gamberros  aficionados... y unas cuantas docenas de personas inocentes. Los varegos son una arma bruta que debe ser manejada con mucho cuidado.;;;;;;;;;x
EVTDESCLoR.842;The City Guard pulls in reinforcement from the other districts and finally manage to disperse the rioting crowds. Many neighborhoods are burning and looting is widespread in those districts the Guard was forced to abandon, but the loss of life is relatively small.;La Garde de la cité appelle en renforts des membres d'autres secteurs et ils arrivent enfin à disperser les émeutiers. Plusieurs quartiers brûlent et ceux que la garde a été forcée d'abandonner ont été pillés, mais les pertes humaines sont relativement fa;Die Stadtwache holt Verstärkung aus den anderen Distrikten hinzu und schafft es schlussendlich, die ausschreitende Menge zu zerschlagen.Viele Nachbarschaften wurden niedergebrannt und Plünderung ist weitverbreitet in den Distrikten, die von der Wache gezw;;La Guardia de la Ciudad consigue refuerzos de otras barriadas y finalmente logra dispersar las multitudes vandálicas. Fuego y saqueos son comunes a lo largo de aquellos distritos donde la Guardia se vio obligada a abandonar, pero la pérdida de vidas humanas es relativamente pequeña.;;;;;;;;;x
EVTDESCLoR.846;[From.GetFirstName], your impudent daughter, seems to have fallen head over heels in love with one of your Blades bodyguards, and the feeling is mutual. She has asked your permission to marry the man.;[From.GetFirstName], votre fille effrontée, semble être tombée follement amoureuse de l'un de vos gardes du corps varègues, et ce sentiment est réciproque. Elle vous a demandé la permission d'épouser cet homme. Il semble qu'il appartient à une famille de ;[From.GetFirstName], Eure unverschämte Tochter, scheint sich bis über beide Ohren in einen Eurer Waräger-Leibwächter verliebt zu haben und die Gefühle beruhen auf Gegenseitigkeit. Sie hat Euch um Erlaubnis gebeten, diesen Mann heiraten zu dürfen. Anschein;;[From.GetFirstName], tu insolente hija, parece haberse enamorado locamente de uno de tus guardaespaldas varegas, y el sentimiento es mutuo. Ella te ha pedido permiso para casarse con él. Según parece, él pertenece a alguna nobleza menor del helado Norte, pero difícilmente puede decirse que es “de buen linaje”.;;;;;;;;;x
EVTOPTCLoR.846;Have the Blade executed!;Qu'on exécute ce Varègue !;Lasst den Waräger hinrichten!;;¡Ejecute a el varego!;;;;;;;;;x
kplot2tt2;Kidnap Fails.;;;;;;;;;;;;;x
kplot2tt3;Kidnap Fails and our involvement is revealed.;;;;;;;;;;;;;x
kplot4d;Victim is informed of failed kidnap attempt, plotter unknown.;;;;;;;;;;;;;x
kplot5d;Victim is informed of failed kidnap attempt, and plotter revealed.;;;;;;;;;;;;;x
