camel_breeder;Camel Breeder: Hammerfell Camel;;;;;;;;;;;;;x
canthavebreeder;Cannot already contain a Breeder.;;;;;;;;;;;;;x
cerigyn_breeder;Horse Breeder: Akaviri Cerigyn Nojan;;;;;;;;;;;;;x
cerigyn_breeder_desc;A thoroughbred Akaviri Cerigyn Nojan breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
courser_breeder;Horse Breeder: Iliac Courser;;;;;;;;;;;;;x
courser_breeder_desc;A thoroughbred Iliac Courser breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
destrier_breeder;Horse Breeder: Colovian Destrier;;;;;;;;;;;;;x
destrier_breeder_desc;A thoroughbred Colovian Destrier breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
GetBreeder_Camel;Hammerfell Camel;;;;;;;;;;;;;x
GetBreeder_Cerigyn;Cerigyn Nojan;;;;;;;;;;;;;x
GetBreeder_Courser;Iliac Courser;;;;;;;;;;;;;x
GetBreeder_Destrier;Colovian Destrier;;;;;;;;;;;;;x
GetBreeder_GuarCharger;Velothi Charger;;;;;;;;;;;;;x
GetBreeder_GuarFlanker;Blackmarsh Flanker;;;;;;;;;;;;;x
GetBreeder_GuarKagouti;Kagouti;;;;;;;;;;;;;x
GetBreeder_GuarSnapper;Vvardenfell Snapper;;;;;;;;;;;;;x
GetBreeder_Hobbeye;West Reach Hobbeye;;;;;;;;;;;;;x
GetBreeder_Jennet;Altmeri Jennet;;;;;;;;;;;;;x
GetBreeder_Mijako;Tsaesci Mijako;;;;;;;;;;;;;x
GetBreeder_Mountain;Nordic Mountain Horse;;;;;;;;;;;;;x
GetBreeder_Ottaka;Ottaka Camel;;;;;;;;;;;;;x
GetBreeder_Pahmar;Pahmar;;;;;;;;;;;;;x
GetBreeder_Palfrey;Bretonnian Palfrey;;;;;;;;;;;;;x
GetBreeder_Rouncey;Common Rouncey;;;;;;;;;;;;;x
GetBreeder_Senche;Senche;;;;;;;;;;;;;x
GetBreeder_Shellback;Shellback;;;;;;;;;;;;;x
guar_argonia_breeder;Guar Breeder: Blackmarsh Flanker;;;;;;;;;;;;;x
guar_charger_breeder;Guar Breeder: Velothi Charger;;;;;;;;;;;;;x
guar_kagouti_breeder;Guar Breeder: Kagouti;;;;;;;;;;;;;x
guar_snapper_breeder;Guar Breeder: Vvardenfell Snapper;;;;;;;;;;;;;x
hasbreederstock;Breeder has available stock.;;;;;;;;;;;;;x
hasmountbreeder;Province contains a Breeding Ranch.;;;;;;;;;;;;;x
hobbeye_breeder;Horse Breeder: West Reach Hobbeye;;;;;;;;;;;;;x
hobbeye_breeder_desc;A thoroughbred West Reach Hobbeye breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
jennet_breeder;Horse Breeder: Altmeri Jennet;;;;;;;;;;;;;x
jennet_breeder_desc;A thoroughbred Altmeri Jennet breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
maximum3mounts;Does not already have 3 Mounts in inventory.;;;;;;;;;;;;;x
mijako_breeder;Horse Breeder: Tsaesci Mijako;;;;;;;;;;;;;x
mijako_breeder_desc;A thoroughbred Tsaesci Mijako breeder is located in this province supplying the local ruler with a fresh supply of steeds every few years.;;;;;;;;;;;;;x
mount_argonian_shellback;Argonian Shellback;;;;;;;;;;;;;x
mount_argonian_shellback_desc;These large turtle like beasts are the preferred mounts of the Argonian's native "cavalry". While they are slower than any other mount, their shells and tough hides make them nigh-invincible.;;;;;;;;;;;;;x
mount_camel_hammerfell;Hammerfell Camel;;;;;;;;;;;;;x
mount_camel_hammerfell_desc;Single-humped Camels native to the deserts of Hammerfell. These long-legged furred beasts are better adapted to the environs of their homeland and have found wide usage amongst the Redguard.;;;;;;;;;;;;;x
mount_camel_potun;Ottaka Camel;;;;;;;;;;;;;x
mount_camel_potun_desc;The Ottaka Camel is a breed of Camel native to the area of Akavir inhabited by the Po'Tun Cat peoples and is used as their primary mode of transportation in the deserts as well as a highly efficient mount for their cavalry. While slower than a horse the beasts are highly adapted to their desert home and far much better than horses in the region.;;;;;;;;;;;;;x
mount_guar_charger;Velothi Charger;;;;;;;;;;;;;x
mount_guar_charger_desc;According to Dunmeri myth the Velothi Charger is so named due to its origins in the days of the Prophet Veloth. Bred initially as a pack animal for the dunmer as they migrated into Morrowind and Vvardenfell this particular strain of the reptilian Guar proved itself to be very fast and agile, at least compared to many of the wildlife of Morrowind, and it quickly earned the favour of the Dunmeri Cavalry, for what it was in those days. Today the Velothi Charger is still the preferred mount of the Dunmer Riders, it may not be as fast as the newer breeds nor as agile but it has better staying power, it's thick hide and stubborn nature serving it well on the battlefield.;;;;;;;;;;;;;x
mount_guar_flanker;Blackmarsh Flanker;;;;;;;;;;;;;x
