WONDER_IN_CAPITAL_CT;§Y[FromFrom.GetName]§! is located in §Y[Root.GetBestName]§! capital province, §Y[FromFromFrom.GetName]§!;;;;;;;;;;;;;x
WONDER_IN_DEMESNE_CT;§Y[FromFrom.GetName]§! is located in §Y[Root.GetBestName]§! personal demesne;;;;;;;;;;;;;x
upgrade_plating_ebony;Ebony Plating;;;;;;;;;;;;;x
upgrade_plating_ebony_desc;The rich, darkness of the ebony surfacing to this statue enhance the lines and details of it's intended subject.;;;;;;;;;;;;;x
upgrade_statues_ancestors;Ancestor Statues;;;;;;;;;;;;;x
upgrade_statues_ancestors_desc;A set of detailed statues said to represent the ancestors of [Root.GetTitledName].;;;;;;;;;;;;;x
upgrade_standingstones_decision_tt;Unlocks Decision §YRewrite the Stars§!, allowing a character to change their birthsign once a year.;;;;;;;;;;;;;x
skyforge_master_modifier_tt;Unlocks the §YMastersmith of the Skyforge§! minor title.;;;;;;;;;;;;;x
upgrade_skyforge_master;Skyforge;;;;;;;;;;;;;x
title_skyforge_master_desc;An honorific bestowed upon a single individual who has shown a mastery of metalworking. They will oversee all works undertaken at the Skyforge to ensure the highest quality creations for their master.;;;;;;;;;;;;;x
title_skyforge_master;Mastersmith of the Skyforge;;;;;;;;;;;;;x
upgrade_execution_chamber;The Crucible;;;;;;;;;;;;;x
upgrade_execution_chamber_desc;When closed the Crucible outwardly looks unremarkable, however this chamber set beneath the great Skyforge is a place of dread to those that have displeased it's master. The Crucible is a devious execution device where the intended is sealed within and showered in molten metal from the forge above. The final result, as the Crucible is opened, is a metal statue of the victim, locked in their terrified death pose for eternity.;;;;;;;;;;;;;x
wonder_skyforge;Jorrvaskr;;;;;;;;;;;;;x
wonder_skyforge_desc;According to local legend, Jorrvaskr is the oldest building in Whiterun. It once existed by itself on the mountain, with the rest of the town springing up around it over the centuries. Jorrvaskr itself was originally a longboat made for the Return of the Five Hundred Companions of Ysgramor. Its captain was Jeek of the River, and its crew consisted of twenty-two men.;;;;;;;;;;;;;x
skyforge_smithing_enabled_tt;Unlocks Decision §GUse the Skyforge§!.\nMay attract famous Blacksmiths and Engineers to your realm.;;;;;;;;;;;;;x
use_skyforge_decision;Use the Skyforge;;;;;;;;;;;;;x
use_skyforge_decision_desc;Make use of your great Skyforge to craft an item of wonder.;;;;;;;;;;;;;x
rewrite_stars_decision;Rewrite the Stars;;;;;;;;;;;;;x
rewrite_stars_decision_desc;Change your fates, rewrite the stars and choose a new birthsign, forging your own path through history.;;;;;;;;;;;;;x
has_not_used_skyforge_recently;Has §YNOT§! used the Skyforge recently.;;;;;;;;;;;;;x
skyforge_is_not_damaged;The Skyforge is §YNOT§! damaged.;;;;;;;;;;;;;x
has_not_changed_birthsign_recently;Has §YNOT§! changed Birthsign recently.;;;;;;;;;;;;;x
upgrade_port_master;Office of the Portmaster;;;;;;;;;;;;;x
upgrade_port_master_desc;A proper Office for the Portmaster, a highly lucrative appointee with responsibility for the administration of the entire Port and all its inhabitants.;;;;;;;;;;;;;x
wonder_senchal;Great Port of Senchal;;;;;;;;;;;;;x
wonder_senchal_desc;An infamous yet influential Port on the tip of the Quin'rawl Peninsula. The Docks dwarf even those of the Imperial City and the shores and streets of the adjoining settlements are filled to the brim with crowded bazaars and open-air markets. The highly-populated harbors contain all sorts of pirates, smugglers and legitimate merchants that operate across the southern seas and the Port is almost the size of a city in and of itself.;;;;;;;;;;;;;x
upgrade_warehouse_senchal;Expanded Warehouses;;;;;;;;;;;;;x
