Those baronies were removed from their original location in favor of other baronies and now are free to be placed somewhere else. They're already localised in 000_Baronies.csv.

b_name (Original Location)

HIGH ROCK

b_scaer (Betony)
b_iroise (Betony)
b_morlais (Daggerfall)
b_redon (Daggerfall)
b_palestel (Daggerfall)
b_aubusson (Tulune)
b_neverais (Aubigny)
b_brelade (Ilessan)
b_grouville (Anticlere)
b_lostwithiel (Shalgora)
b_crumlin (Dwynnen)
b_newcastle (Penmarch)
b_lanfair  (Northmoor)
b_darwen (Daenia)
b_todmor (Daenia)
b_dulyn (Ykalon)
b_rannoch (Phrygias)
b_ironedge (Phrygias)
b_farthing (Phrygias)
b_faybranch (Phrygias)
b_kingsguard (Camlorn)
b_ambleside (Camlorn)
b_marchlyn (Graymont)
b_morddu (Orvault)
b_douane (Darguard)
b_gylglac (Darguard)
b_marchwiel (Blain)
b_romphaire (Urvaius)
b_greytower (Urvaius)
b_arkrane (Bhoriane)
b_grimmarket (Alcaire)
b_whitecroft (Wayrest)
b_tamwell (Wayrest)
b_midvale (Wayrest)
b_baelbrone (Menevia)
b_arvagh (Wrothgarian)
b_drumalee(Wrothgarian)
b_aurillac (Gauvadon)
b_montauban (Gauvadon)
b_laggan (Koegria)
b_whithorn (Grimrock)
b_llawrioc (Lorient)
b_killbride (Shornhelm)
b_claydig (Shornhelm)
b_vermeir (Whitehaven)
b_blackbridge (Shieldwall)
b_hesdin (Garret)
b_elgin (Garret)
b_fortlands (Old Gate)
b_okalinkeep (Normar)
b_ophir (Normar)
b_normaine (Irmgard)
b_clunruighe (Thorkan)
b_glebeinn (Thorkan)
b_clacton (Middlemarch)
b_swindleford (Northpoint)
b_berk (Northpoint)
b_weland (Markwasten)
b_corveen (Dorven)
b_mullan (Dorven)
b_heyford (Castlejoy)
b_quentin (Ravenspring)
b_riasmoor (Kathgran)
b_rothainn (Kathgran)
b_ardara (Farrun)
b_berades (Lesperon)
b_begada (Firebrand)
b_breakwater (Orlais)
b_alagna (Bjoulsae)
b_meyrin (Bjoulsae)
b_woodwyn (Evermore)
b_grimdyke (Evermore)
b_kildrum (Azra's Crossing)
b_gortgarn (Dunkarn)

HAMMERFELL

b_anot (Saray)
b_katabinu (Saray)
b_kesamud (Heldorn)
b_yellandu (Heldorn)
b_kahane (Verkarth)
b_skevane (Thorstad)
b_khaybar (Thorstad)
b_rabig (Thorstad)
b_yanbu (Thorstad)
b_kuba (Thorstad)
b_madain (Lainlyn) 
b_mughayra (Lainlyn)
b_samur (Lainlyn) 
b_tawala (Lainlyn) 
b_medina (Lainlyn)
b_sangam (Lainlyn)
b_lacaleah (Lainlyn)
b_chipoken (Karnver)
b_jeddah (Karnver)
b_taif (Karnver)
b_turubah (Karnver)
b_jmumum (Karnver)
b_balumath (Totambu)
b_radifah (Totambu)
b_tuwayr (Totambu)
b_tyer (Totambu)
b_qurayyat (Totambu)
b_damman (Tigonus)
b_holuf(Tigonus)
b_tophel (Tigonus) 
b_petra (Tigonus)
b_wadi (Tigonus)
b_bozrah (Tigonus)
b_tayma (Rhanano)
b_leuke (Rhanano)
b_higra (Rhanano)
b_raikia (Vulnim)
b_farsh (Vulnim)
b_sidi (Vulnim)
b_milha (Vulnim)
b_mecca (Vulnim)
b_hamza (Ayasofya) 
b_husseiniya (Ayasofya)
b_lajya (Bergama)
b_alan (Bergama)
b_sakakah (Bergama)
b_aladan (Bergama)
b_dumat (Bergama)
b_owerri (Sentinel)
b_akure (Sentinel)
b_elifaz (Sentinel)
b_yotvata (Sentinel) 
b_shaka (Sentinel)
b_duma (Sentinel)
b_snowline (Dragonstar)
b_ulaheib (Dragontail)
b_papascrossing (Lankara)
b_abuwe (Belkarth)
b_koregon (Dragonwall)
b_cuthah (Elinhir)
b_ecbatana (Elinhir)
b_sana (Abdir)

SKYRIM

b_bleedingcrown (Amol)
